TABLE=077 | AREA=Xã Tân Quan
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5203-5279 | LINES=2931 ---
P=5208 | X=0090.100-0240.020 | Y=0492.010-0505.970 | Giáp Đường Cao Bá Quát
P=5208 | X=0090.100-0124.430 | Y=0506.010-0519.970 | 1.500
P=5208 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 1.100
P=5208 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 900
P=5208 | X=0090.100-0113.000 | Y=0562.010-0575.970 | 135
P=5208 | X=0090.100-0165.960 | Y=0576.010-0589.970 | Đường số 20
P=5208 | X=0090.100-0233.280 | Y=0590.010-0603.970 | HLLG Đường Quốc lộ 13
P=5208 | X=0090.100-0264.640 | Y=0604.010-0617.970 | Ngã tư tiếp giáp đường số 21
P=5208 | X=0090.100-0124.430 | Y=0618.010-0631.970 | 2.300
P=5208 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 1.600
P=5208 | X=0090.100-0124.430 | Y=0646.010-0659.970 | 1.400
P=5208 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 136
P=5208 | X=0090.100-0165.960 | Y=0688.010-0701.970 | Đường số 20
P=5208 | X=0090.100-0264.640 | Y=0702.010-0715.970 | Ngã tư tiếp giáp đường số 21
P=5209 | X=0090.100-0149.370 | Y=0072.010-0085.970 | Hết tuyến
P=5209 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 1.700
P=5209 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 1.200
P=5209 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 1.000
P=5209 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 137
P=5209 | X=0090.100-0165.960 | Y=0156.010-0169.970 | Đường số 21
P=5209 | X=0090.100-0509.540 | Y=0170.010-0183.970 | Ngã ba tiếp giáp với đường trung tâm hành chính huyện cũ đi phường
P=5209 | X=0090.100-0154.570 | Y=0184.010-0197.970 | Minh Hưng
P=5209 | X=0090.100-0383.500 | Y=0198.010-0211.970 | Ngã ba hết ranh thửa đất số 21 tờ bản đồ số 107
P=5209 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.700
P=5209 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 1.200
P=5209 | X=0090.100-0124.430 | Y=0240.010-0253.970 | 1.000
P=5209 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 138
P=5209 | X=0090.100-0165.960 | Y=0282.010-0295.970 | Đường số 21
P=5209 | X=0090.100-0383.500 | Y=0296.010-0309.970 | Ngã ba hết ranh thửa đất số 21 tờ bản đồ số 107
P=5209 | X=0090.100-0149.370 | Y=0310.010-0323.970 | Hết tuyến
P=5209 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 1.700
P=5209 | X=0090.100-0124.430 | Y=0338.010-0351.970 | 1.200
P=5209 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 1.000
P=5209 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 139
P=5209 | X=0090.100-0165.960 | Y=0394.010-0407.970 | Đường số 22
P=5209 | X=0090.100-0233.280 | Y=0408.010-0421.970 | HLLG Đường Quốc lộ 13
P=5209 | X=0090.100-0259.360 | Y=0422.010-0435.970 | Ngã tư giáp với đường số 21
P=5209 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 2.300
P=5209 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.600
P=5209 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 1.400
P=5209 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 140
P=5209 | X=0090.100-0165.960 | Y=0506.010-0519.970 | Đường số 22
P=5209 | X=0090.100-0259.360 | Y=0520.010-0533.970 | Ngã tư giáp với đường số 21
P=5209 | X=0090.100-0149.370 | Y=0534.010-0547.970 | Hết tuyến
P=5209 | X=0090.100-0124.440 | Y=0548.010-0561.970 | 2 300
P=5209 | X=0090.100-0124.430 | Y=0562.010-0575.970 | 1.600
P=5209 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 1.400
P=5209 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 141
P=5209 | X=0090.100-0165.960 | Y=0618.010-0631.970 | Đường số 23
P=5209 | X=0090.100-0170.690 | Y=0632.010-0645.970 | Đường ĐH 12
P=5209 | X=0090.100-0271.450 | Y=0646.010-0659.970 | Ranh giới phường Chơn Thành
P=5209 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.200
P=5209 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 870
P=5209 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 740
P=5210 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 142
P=5210 | X=0090.100-0165.960 | Y=0086.010-0099.970 | Đường số 24
