TABLE=017 | AREA=Xã Đại Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5761-5762 | LINES=47 ---
P=5859 | X=0090.100-0242.290 | Y=0128.010-0141.970 | Đường Nguyễn Hữu Cảnh
P=5859 | X=0090.100-0234.530 | Y=0170.010-0183.970 | Đường Huỳnh Văn Nghệ
P=5859 | X=0090.100-0207.280 | Y=0184.010-0197.970 | Đường Hùng Vương
P=5859 | X=0090.100-0248.670 | Y=0198.010-0211.970 | Đường Nguyễn Trung Trực
P=5859 | X=0090.100-0234.530 | Y=0240.010-0253.970 | Đường Huỳnh Văn Nghệ
P=5859 | X=0090.100-0248.670 | Y=0254.010-0267.970 | Đường Nguyễn Trung Trực
P=5859 | X=0090.100-0207.310 | Y=0268.010-0281.970 | Đường Trương Định
P=5859 | X=0090.100-0222.180 | Y=0310.010-0323.970 | Đường Trịnh Hoài Đức
P=5859 | X=0090.100-0248.670 | Y=0324.010-0337.970 | Đường Nguyễn Trung Trực
P=5859 | X=0090.100-0251.050 | Y=0338.010-0351.970 | Đường Trần Thượng Xuyên
P=5859 | X=0090.100-0222.380 | Y=0380.010-0393.970 | Đường Lê Quang Định
P=5859 | X=0090.100-0207.280 | Y=0394.010-0407.970 | Đường Hùng Vương
P=5859 | X=0090.100-0214.660 | Y=0408.010-0421.970 | Đường Hồ Thị Hương
P=5859 | X=0090.100-0191.040 | Y=0450.010-0463.970 | Đường 9 tháng 4
P=5859 | X=0090.100-0214.660 | Y=0464.010-0477.970 | Đường Hồ Thị Hương
P=5859 | X=0090.100-0200.150 | Y=0478.010-0491.970 | Đường Ngô Quyền
P=5859 | X=0090.100-0286.680 | Y=0520.010-0533.970 | Đường 21 tháng 4 (Quốc lộ 1 cũ)
P=5859 | X=0090.100-0253.020 | Y=0534.010-0547.970 | Giáp ranh phường Bình Lộc
P=5859 | X=0090.100-0367.090 | Y=0548.010-0561.970 | Giáp Công ty cổ phần xây dựng số 2 Đồng Nai
P=5859 | X=0090.100-0286.680 | Y=0590.010-0603.970 | Đường 21 tháng 4 (Quốc lộ 1 cũ)
P=5859 | X=0090.100-0363.740 | Y=0604.010-0617.970 | Đầu Công ty cổ phần xây dựng số 2 Đồng Nai
P=5859 | X=0090.100-0218.760 | Y=0618.010-0631.970 | Cầu vượt Long Khánh
P=5859 | X=0090.100-0286.680 | Y=0660.010-0673.970 | Đường 21 tháng 4 (Quốc lộ 1 cũ)
P=5859 | X=0090.100-0218.760 | Y=0674.010-0687.970 | Cầu vượt Long Khánh
P=5859 | X=0090.100-0182.680 | Y=0688.010-0701.970 | Giáp Tượng Đài
P=5860 | X=0090.100-0286.680 | Y=0086.010-0099.970 | Đường 21 tháng 4 (Quốc lộ 1 cũ)
P=5860 | X=0090.100-0179.350 | Y=0100.010-0113.970 | Đầu Tượng Đài
P=5860 | X=0090.100-0197.330 | Y=0114.010-0127.970 | Giáp Cầu Gia Liêu
P=5860 | X=0090.100-0207.280 | Y=0156.010-0169.970 | Đường Hùng Vương
P=5860 | X=0090.100-0160.250 | Y=0170.010-0183.970 | Đường 21/4
P=5860 | X=0090.100-0252.630 | Y=0184.010-0197.970 | Đường Cách Mạng Tháng 8
P=5860 | X=0090.100-0207.280 | Y=0226.010-0239.970 | Đường Hùng Vương
P=5860 | X=0090.100-0252.630 | Y=0240.010-0253.970 | Đường Cách Mạng Tháng 8
P=5860 | X=0090.100-0194.940 | Y=0254.010-0267.970 | Đường Lý Thái Tổ
P=5860 | X=0090.100-0202.900 | Y=0296.010-0309.970 | Đường Đào Trí Phú
P=5860 | X=0090.100-0234.530 | Y=0310.010-0323.970 | Đường Huỳnh Văn Nghệ
P=5860 | X=0090.100-0251.050 | Y=0324.010-0337.970 | Đường Trần Thượng Xuyên
P=5860 | X=0090.100-0248.670 | Y=0366.010-0379.970 | Đường Nguyễn Trung Trực
P=5860 | X=0090.100-0197.770 | Y=0380.010-0393.970 | Hẻm 50 Khổng Tử
P=5860 | X=0090.100-0214.660 | Y=0394.010-0407.970 | Đường Hồ Thị Hương
P=5860 | X=0090.100-0248.670 | Y=0436.010-0449.970 | Đường Nguyễn Trung Trực
P=5860 | X=0090.100-0214.660 | Y=0450.010-0463.970 | Đường Hồ Thị Hương
P=5860 | X=0090.100-0195.500 | Y=0464.010-0477.970 | Giáp cầu Suối Cải
P=5860 | X=0090.100-0209.510 | Y=0506.010-0519.970 | Đường Trần Văn Thi
P=5860 | X=0090.100-0203.560 | Y=0520.010-0533.970 | Đường Hoàng Diệu
P=5860 | X=0090.100-0191.040 | Y=0534.010-0547.970 | Đường 9 tháng 4
P=5860 | X=0090.100-0201.290 | Y=0576.010-0589.970 | Đường Lê Văn Vận
P=5860 | X=0090.100-0203.560 | Y=0590.010-0603.970 | Đường Hoàng Diệu
P=5860 | X=0090.100-0191.040 | Y=0604.010-0617.970 | Đường 9 tháng 4
P=5860 | X=0090.100-0191.610 | Y=0646.010-0659.970 | Đường Phạm Lạc
P=5860 | X=0090.100-0203.560 | Y=0660.010-0673.970 | Đường Hoàng Diệu
P=5860 | X=0090.100-0191.040 | Y=0674.010-0687.970 | Đường 9 tháng 4
