TABLE=049 | AREA=Xã Tà Lài
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5977-5985 | LINES=251 ---
P=5980 | X=0090.100-0518.330 | Y=0562.010-0575.970 | Hết ranh thửa đất số 200 tờ BĐĐC số 166 về bên phải và hết ranh thửa
P=5980 | X=0090.100-0395.850 | Y=0576.010-0589.970 | đất số 348, tờ BĐĐC số 166 về bên trái xã Tân Phú
P=5980 | X=0090.100-0156.220 | Y=0618.010-0631.970 | Đường 129
P=5980 | X=0090.100-0154.580 | Y=0632.010-0645.970 | Quốc lộ 20
P=5980 | X=0090.100-0280.730 | Y=0646.010-0659.970 | Đường rẽ vào tượng đài Đức Mẹ
P=5980 | X=0090.100-0156.220 | Y=0688.010-0701.970 | Đường 129
P=5980 | X=0090.100-0280.730 | Y=0702.010-0715.970 | Đường rẽ vào tượng đài Đức Mẹ
P=5981 | X=0090.100-0199.880 | Y=0072.010-0085.970 | Đường Giang Điền
P=5981 | X=0090.100-0199.880 | Y=0114.010-0127.970 | Đường Giang Điền
P=5981 | X=0090.100-0156.220 | Y=0128.010-0141.970 | Đường 129
P=5981 | X=0090.100-0513.680 | Y=0142.010-0155.970 | Hết ranh thửa đất số 107 tờ BĐĐC số 198 về bên phải và đến hết ranh
P=5981 | X=0090.100-0356.360 | Y=0156.010-0169.970 | thửa đất số 100, tờ BĐĐC số 198 về bên trái
P=5981 | X=0090.100-0186.310 | Y=0198.010-0211.970 | Đường Suối Cọp
P=5981 | X=0090.100-0156.220 | Y=0212.010-0225.970 | Đường 129
P=5981 | X=0090.100-0513.680 | Y=0226.010-0239.970 | Hết ranh thửa đất số 184 tờ BĐĐC số 186 về bên phải và đến hết ranh
P=5981 | X=0090.100-0356.360 | Y=0240.010-0253.970 | thửa đất số 137, tờ BĐĐC số 186 về bên trái
P=5981 | X=0090.100-0191.430 | Y=0282.010-0295.970 | Đường Bàu Rừng
P=5981 | X=0090.100-0156.220 | Y=0296.010-0309.970 | Đường 129
P=5981 | X=0090.100-0518.330 | Y=0310.010-0323.970 | Hết ranh thửa đất số 237 tờ BĐĐC số 181 về bên phải và hết ranh thửa
P=5981 | X=0090.100-0325.310 | Y=0324.010-0337.970 | đất số 207, tờ BĐĐC số 181 về bên trái
P=5981 | X=0090.100-0222.160 | Y=0366.010-0379.970 | Đường số 2 Ngọc Lâm
P=5981 | X=0090.100-0154.580 | Y=0380.010-0393.970 | Quốc lộ 20
P=5981 | X=0090.100-0518.330 | Y=0394.010-0407.970 | Hết ranh thửa đất số 125 tờ BĐĐC số 168 về bên phải và hết ranh thửa
P=5981 | X=0090.100-0325.310 | Y=0408.010-0421.970 | đất số 519, tờ BĐĐC số 168 về bên trái
P=5981 | X=0090.100-0179.580 | Y=0450.010-0463.970 | Đường Km 130
P=5981 | X=0090.100-0154.580 | Y=0464.010-0477.970 | Quốc lộ 20
P=5981 | X=0090.100-0510.700 | Y=0478.010-0491.970 | Hết ranh thửa đất số 62 tờ BĐĐC số 177 về bên phải và hết ranh thửa
P=5981 | X=0090.100-0317.680 | Y=0492.010-0505.970 | đất số 19, tờ BĐĐC số 177 về bên trái
P=5981 | X=0090.100-0191.320 | Y=0534.010-0547.970 | Đường Cắt Kiếng
P=5981 | X=0090.100-0154.580 | Y=0548.010-0561.970 | Quốc lộ 20
P=5981 | X=0090.100-0518.330 | Y=0562.010-0575.970 | Hết ranh thửa đất số 116 tờ BĐĐC số 161 về bên phải và hết ranh thửa
P=5981 | X=0090.100-0325.310 | Y=0576.010-0589.970 | đất số 117, tờ BĐĐC số 161 về bên trái
P=5981 | X=0090.100-0186.300 | Y=0618.010-0631.970 | Đường Cầu Suối
