TABLE=020 | AREA=Phường Bảo Vinh
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5763-5764 | LINES=45 ---
P=5865 | X=0090.100-0261.460 | Y=0296.010-0309.970 | Giáp ranh phường Hàng Gòn
P=5865 | X=0090.100-0205.380 | Y=0338.010-0351.970 | Đường Lê Hữu Trác
P=5865 | X=0090.100-0160.250 | Y=0352.010-0365.970 | Đường 21/4
P=5865 | X=0090.100-0266.430 | Y=0366.010-0379.970 | Hết ranh phường Long Khánh
P=5865 | X=0090.100-0226.760 | Y=0408.010-0421.970 | Đường Lương Thế Vinh
P=5865 | X=0090.100-0160.250 | Y=0422.010-0435.970 | Đường 21/4
P=5865 | X=0090.100-0233.490 | Y=0436.010-0449.970 | Ranh phường Hàng Gòn
P=5865 | X=0090.100-0222.410 | Y=0478.010-0491.970 | Đường Đoàn Thị Điểm
P=5865 | X=0090.100-0160.250 | Y=0492.010-0505.970 | Đường 21/4
P=5865 | X=0090.100-0311.320 | Y=0506.010-0519.970 | Giáp thửa đất số 21, tờ BĐĐC số 115
P=5865 | X=0090.100-0217.970 | Y=0548.010-0561.970 | Đường Phan Huy Chú
P=5865 | X=0090.100-0160.250 | Y=0562.010-0575.970 | Đường 21/4
P=5865 | X=0090.100-0510.140 | Y=0576.010-0589.970 | Tuyến đường qua khu đô thị mới (từ đường Nguyễn Trãi đến đường Lê
P=5865 | X=0090.100-0167.500 | Y=0590.010-0603.970 | Hồng Phong)
P=5865 | X=0090.100-0212.680 | Y=0632.010-0645.970 | Đường Hồ Tùng Mậu
P=5865 | X=0090.100-0264.200 | Y=0646.010-0659.970 | Đường Nguyễn Thị Minh Khai
P=5865 | X=0090.100-0214.660 | Y=0660.010-0673.970 | Đường Hồ Thị Hương
P=5865 | X=0090.100-0212.680 | Y=0702.010-0715.970 | Đường Hồ Tùng Mậu
P=5866 | X=0090.100-0214.660 | Y=0072.010-0085.970 | Đường Hồ Thị Hương
P=5866 | X=0090.100-0243.930 | Y=0086.010-0099.970 | Đường Nguyễn Chí Thanh
P=5866 | X=0090.100-0224.420 | Y=0128.010-0141.970 | Đường Phan Đăng Lưu
P=5866 | X=0090.100-0214.660 | Y=0142.010-0155.970 | Đường Hồ Thị Hương
P=5866 | X=0090.100-0200.150 | Y=0156.010-0169.970 | Đường Ngô Quyền
P=5866 | X=0090.100-0243.930 | Y=0198.010-0211.970 | Đường Nguyễn Chí Thanh
P=5866 | X=0090.100-0224.400 | Y=0212.010-0225.970 | Đường Phạm Thế Hiển
P=5866 | X=0090.100-0204.410 | Y=0226.010-0239.970 | Đường Lý Tự Trọng
P=5866 | X=0090.100-0274.090 | Y=0268.010-0281.970 | Đường Điểu Xiển (Bàu Trâm 1)
P=5866 | X=0090.100-0200.150 | Y=0282.010-0295.970 | Đường Ngô Quyền
P=5866 | X=0090.100-0264.110 | Y=0296.010-0309.970 | Đường Ngô Quyền vào 200m
P=5866 | X=0090.100-0274.090 | Y=0338.010-0351.970 | Đường Điểu Xiển (Bàu Trâm 1)
P=5866 | X=0090.100-0264.110 | Y=0352.010-0365.970 | Đường Ngô Quyền vào 200m
P=5866 | X=0090.100-0199.350 | Y=0366.010-0379.970 | Ngã ba đi Miếu Bà
P=5866 | X=0090.100-0274.090 | Y=0408.010-0421.970 | Đường Điểu Xiển (Bàu Trâm 1)
P=5866 | X=0090.100-0199.350 | Y=0422.010-0435.970 | Ngã ba đi Miếu Bà
P=5866 | X=0090.100-0216.160 | Y=0436.010-0449.970 | Ngã ba cầu Hòa Bình
P=5866 | X=0090.100-0203.020 | Y=0478.010-0491.970 | Đường Bàu Trâm 1
P=5866 | X=0090.100-0191.240 | Y=0492.010-0505.970 | Đường Điểu Xiển
P=5866 | X=0090.100-0216.160 | Y=0506.010-0519.970 | Ngã ba cầu Hòa Bình
P=5866 | X=0090.100-0203.020 | Y=0548.010-0561.970 | Đường Bàu Trâm 1
P=5866 | X=0090.100-0216.160 | Y=0562.010-0575.970 | Ngã ba cầu Hòa Bình
P=5866 | X=0090.100-0233.340 | Y=0576.010-0589.970 | Giáp ranh xã Xuân Định
P=5866 | X=0090.100-0260.320 | Y=0618.010-0631.970 | Đường Bàu Trâm - Xuân Thọ
P=5866 | X=0090.100-0216.160 | Y=0632.010-0645.970 | Ngã ba cầu Hòa Bình
P=5866 | X=0090.100-0226.140 | Y=0646.010-0659.970 | Giáp ranh xã Xuân Lộc
P=5866 | X=0090.100-0214.660 | Y=0688.010-0701.970 | Đường Hồ Thị Hương
P=5866 | X=0090.100-0159.400 | Y=0702.010-0715.970 | Đường Lê A
P=5867 | X=0090.100-0190.040 | Y=0072.010-0085.970 | Đường Khổng Tử
P=5867 | X=0090.100-0214.660 | Y=0114.010-0127.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0190.040 | Y=0128.010-0141.970 | Đường Khổng Tử
P=5867 | X=0090.100-0264.200 | Y=0142.010-0155.970 | Đường Nguyễn Thị Minh Khai
P=5867 | X=0090.100-0214.660 | Y=0184.010-0197.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0264.200 | Y=0198.010-0211.970 | Đường Nguyễn Thị Minh Khai
P=5867 | X=0090.100-0218.810 | Y=0212.010-0225.970 | Giáp cầu Xuân Thanh
P=5867 | X=0090.100-0214.660 | Y=0254.010-0267.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0215.470 | Y=0268.010-0281.970 | Đầu cầu Xuân Thanh
P=5867 | X=0090.100-0226.140 | Y=0282.010-0295.970 | Giáp ranh xã Xuân Lộc
P=5867 | X=0090.100-0247.720 | Y=0324.010-0337.970 | Đường Nguyễn Tri Phương
P=5867 | X=0090.100-0200.220 | Y=0338.010-0351.970 | Đường Nguyễn Du
P=5867 | X=0090.100-0220.980 | Y=0352.010-0365.970 | Nguyễn Thị Minh Khai
P=5867 | X=0090.100-0247.720 | Y=0394.010-0407.970 | Đường Nguyễn Tri Phương
P=5867 | X=0090.100-0220.980 | Y=0408.010-0421.970 | Nguyễn Thị Minh Khai
P=5867 | X=0090.100-0236.410 | Y=0422.010-0435.970 | Đường Thích Quảng Đức
P=5867 | X=0090.100-0225.480 | Y=0464.010-0477.970 | Đường Hoàng Văn Thụ
P=5867 | X=0090.100-0214.660 | Y=0478.010-0491.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0200.150 | Y=0492.010-0505.970 | Đường Ngô Quyền
P=5867 | X=0090.100-0224.070 | Y=0534.010-0547.970 | Đường Châu Văn Liêm
P=5867 | X=0090.100-0214.660 | Y=0548.010-0561.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0200.150 | Y=0562.010-0575.970 | Đường Ngô Quyền
P=5867 | X=0090.100-0199.720 | Y=0604.010-0617.970 | Đường Ngô Gia Tự
P=5867 | X=0090.100-0214.660 | Y=0618.010-0631.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0200.150 | Y=0632.010-0645.970 | Đường Ngô Quyền
P=5867 | X=0090.100-0208.550 | Y=0674.010-0687.970 | Đường Hà Huy Giáp
P=5867 | X=0090.100-0214.660 | Y=0688.010-0701.970 | Đường Hồ Thị Hương
P=5867 | X=0090.100-0200.150 | Y=0702.010-0715.970 | Đường Ngô Quyền
P=5868 | X=0090.100-0204.410 | Y=0100.010-0113.970 | Đường Lý Tự Trọng
P=5868 | X=0090.100-0214.660 | Y=0114.010-0127.970 | Đường Hồ Thị Hương
P=5868 | X=0090.100-0200.150 | Y=0128.010-0141.970 | Đường Ngô Quyền
P=5868 | X=0090.100-0219.770 | Y=0170.010-0183.970 | Đường Võ Duy Dương
P=5868 | X=0090.100-0217.270 | Y=0184.010-0197.970 | Đường Hồng Thập Tự
P=5868 | X=0090.100-0160.250 | Y=0198.010-0211.970 | Đường 21/4
P=5868 | X=0090.100-0228.870 | Y=0240.010-0253.970 | Đường Lương Đình Của
P=5868 | X=0090.100-0217.270 | Y=0254.010-0267.970 | Đường Hồng Thập Tự
P=5868 | X=0090.100-0308.810 | Y=0268.010-0281.970 | Đường bên hông cây xăng Tín Nghĩa
P=5868 | X=0090.100-0251.050 | Y=0310.010-0323.970 | Đường Trần Thượng Xuyên
P=5868 | X=0090.100-0207.280 | Y=0324.010-0337.970 | Đường Hùng Vương
P=5868 | X=0090.100-0214.660 | Y=0338.010-0351.970 | Đường Hồ Thị Hương
P=5868 | X=0090.100-0220.340 | Y=0380.010-0393.970 | Đường Phạm Ngũ Lão
P=5868 | X=0090.100-0228.870 | Y=0394.010-0407.970 | Đường Lương Định Của
P=5868 | X=0090.100-0160.250 | Y=0408.010-0421.970 | Đường 21/4
P=5868 | X=0090.100-0216.800 | Y=0450.010-0463.970 | Đường Trần Huy Liệu
P=5868 | X=0090.100-0271.350 | Y=0464.010-0477.970 | Đường Cách Mạng Tháng Tám
P=5868 | X=0090.100-0211.770 | Y=0478.010-0491.970 | Đường Quang Trung
P=5868 | X=0090.100-0207.310 | Y=0520.010-0533.970 | Đường Trương Định
P=5868 | X=0090.100-0217.270 | Y=0534.010-0547.970 | Đường Hồng Thập Tự
P=5868 | X=0090.100-0214.660 | Y=0548.010-0561.970 | Đường Hồ Thị Hương
P=5868 | X=0090.100-0261.770 | Y=0590.010-0603.970 | Đường Hoa Sen - Ruộng Dầu
P=5868 | X=0090.100-0214.660 | Y=0604.010-0617.970 | Đường Hồ Thị Hương
P=5868 | X=0090.100-0158.330 | Y=0618.010-0631.970 | Đường số 1
P=5868 | X=0090.100-0181.260 | Y=0660.010-0673.970 | Đường Thổ Lùn
P=5868 | X=0090.100-0191.240 | Y=0674.010-0687.970 | Đường Điểu Xiển
P=5868 | X=0090.100-0200.150 | Y=0688.010-0701.970 | Đường Ngô Quyền
P=5869 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 20
P=5869 | X=0090.100-0192.300 | Y=0086.010-0099.970 | Phường Bảo Vinh
P=5869 | X=0090.100-0251.820 | Y=0156.010-0169.970 | Đường Suối Chồn - Bàu Cối
P=5869 | X=0090.100-0248.670 | Y=0170.010-0183.970 | Đường Nguyễn Trung Trực
P=5869 | X=0090.100-0197.150 | Y=0184.010-0197.970 | Ngã ba Suối Chồn
P=5869 | X=0090.100-0251.820 | Y=0226.010-0239.970 | Đường Suối Chồn - Bàu Cối
P=5869 | X=0090.100-0197.150 | Y=0240.010-0253.970 | Ngã ba Suối Chồn
P=5869 | X=0090.100-0218.480 | Y=0254.010-0267.970 | Chùa Quảng Hạnh Tự
P=5869 | X=0090.100-0251.820 | Y=0296.010-0309.970 | Đường Suối Chồn - Bàu Cối
P=5869 | X=0090.100-0218.480 | Y=0310.010-0323.970 | Chùa Quảng Hạnh Tự
P=5869 | X=0090.100-0201.200 | Y=0324.010-0337.970 | Hết cơ sở Thủ Mây
P=5869 | X=0090.100-0251.820 | Y=0366.010-0379.970 | Đường Suối Chồn - Bàu Cối
P=5869 | X=0090.100-0201.200 | Y=0380.010-0393.970 | Hết cơ sở Thủ Mây
P=5869 | X=0090.100-0227.700 | Y=0394.010-0407.970 | Giáp ranh xã Xuân Bắc
P=5869 | X=0090.100-0248.670 | Y=0436.010-0449.970 | Đường Nguyễn Trung Trực
P=5869 | X=0090.100-0272.890 | Y=0450.010-0463.970 | Giáp ranh phường Long Khánh
P=5869 | X=0090.100-0243.700 | Y=0464.010-0477.970 | Đường Suối Chồn Bàu Cối
