TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5964 | X=0090.100-0518.660 | Y=0520.010-0533.970 | Đường nối từ đường Cầu Trắng đến đường 107 (bên hông nhà thờ Ngọc
P=5964 | X=0090.100-0132.230 | Y=0534.010-0547.970 | Thanh)
P=5964 | X=0090.100-0195.240 | Y=0548.010-0561.970 | Đường Cầu Trắng
P=5964 | X=0090.100-0351.240 | Y=0562.010-0575.970 | Đường 107 (bên hông nhà thờ Ngọc Thanh)
P=5964 | X=0090.100-0195.240 | Y=0604.010-0617.970 | Đường Cầu Trắng
P=5964 | X=0090.100-0252.630 | Y=0618.010-0631.970 | Đường Cách Mạng Tháng 8
P=5964 | X=0090.100-0146.430 | Y=0632.010-0645.970 | Cổng Lớn
P=5964 | X=0090.100-0195.240 | Y=0674.010-0687.970 | Đường Cầu Trắng
P=5964 | X=0090.100-0146.430 | Y=0688.010-0701.970 | Cống Lớn
P=5964 | X=0090.100-0251.080 | Y=0702.010-0715.970 | Giáp ranh xã Ngọc Định cũ
P=5965 | X=0090.100-0195.240 | Y=0100.010-0113.970 | Đường Cầu Trắng
P=5965 | X=0090.100-0251.080 | Y=0114.010-0127.970 | Giáp ranh xã Ngọc Định cũ
P=5965 | X=0090.100-0145.960 | Y=0128.010-0141.970 | Giáp suối
P=5965 | X=0090.100-0154.580 | Y=0170.010-0183.970 | Quốc lộ 20
P=5965 | X=0090.100-0158.980 | Y=0184.010-0197.970 | Cầu La Ngà
P=5965 | X=0090.100-0309.760 | Y=0198.010-0211.970 | Hết nghĩa trang liệt sỹ xã Định Quán
P=5965 | X=0090.100-0154.580 | Y=0240.010-0253.970 | Quốc lộ 20
P=5965 | X=0090.100-0286.240 | Y=0254.010-0267.970 | Nghĩa trang liệt sỹ xã Định Quán
P=5965 | X=0090.100-0231.080 | Y=0268.010-0281.970 | Hết nghĩa địa Phú Ngọc
P=5965 | X=0090.100-0154.580 | Y=0310.010-0323.970 | Quốc lộ 20
P=5965 | X=0090.100-0231.080 | Y=0324.010-0337.970 | Hết nghĩa địa Phú Ngọc
P=5965 | X=0090.100-0200.640 | Y=0338.010-0351.970 | Ngã 3 Thanh Tùng
P=5965 | X=0090.100-0154.580 | Y=0380.010-0393.970 | Quốc lộ 20
P=5965 | X=0090.100-0200.640 | Y=0394.010-0407.970 | Ngã 3 Thanh Tùng
P=5965 | X=0090.100-0367.910 | Y=0408.010-0421.970 | Ngã ba đường Trần Phú (ngã ba Làng Thượng)
P=5965 | X=0090.100-0154.580 | Y=0450.010-0463.970 | Quốc lộ 20
P=5965 | X=0090.100-0367.910 | Y=0464.010-0477.970 | Ngã ba đường Trần Phú (ngã ba Làng Thượng)
P=5965 | X=0090.100-0334.550 | Y=0478.010-0491.970 | Ngã tư Trạm y tế thị trấn Định Quán (cũ)
P=5965 | X=0090.100-0154.580 | Y=0520.010-0533.970 | Quốc lộ 20
P=5965 | X=0090.100-0334.550 | Y=0534.010-0547.970 | Ngã tư Trạm y tế thị trấn Định Quán (cũ)
P=5965 | X=0090.100-0300.600 | Y=0548.010-0561.970 | Giáp chi nhánh Điện lực Định Quán
P=5965 | X=0090.100-0154.580 | Y=0590.010-0603.970 | Quốc lộ 20
P=5965 | X=0090.100-0300.600 | Y=0604.010-0617.970 | Giáp chi nhánh Điện lực Định Quán
P=5965 | X=0090.100-0152.020 | Y=0618.010-0631.970 | Cầu Trắng
