TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0968 | X=0505.390-0522.030 | Y=0521.860-0531.180 | 350
P=0968 | X=0111.890-0342.970 | Y=0537.290-0548.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0968 | X=0111.890-0353.000 | Y=0554.810-0566.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0968 | X=0111.890-0145.410 | Y=0566.330-0577.570 | ≤500m.
P=0968 | X=0111.890-0384.910 | Y=0584.090-0595.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13
P=0968 | X=0111.890-0367.480 | Y=0595.610-0606.850 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ
P=0968 | X=0111.890-0362.680 | Y=0607.130-0618.370 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 567, tờ
P=0968 | X=0111.890-0361.640 | Y=0618.670-0629.910 | BĐĐC số 37 về bên trái, xã Xuân Thành có hiện trạng là
P=0968 | X=0111.890-0247.660 | Y=0630.190-0641.430 | đường nhựa, bê tông xi măng:
P=0968 | X=0095.060-0106.180 | Y=0640.950-0650.270 | 24
P=0968 | X=0408.620-0425.260 | Y=0640.950-0650.270 | 530
P=0968 | X=0445.610-0462.250 | Y=0640.950-0650.270 | 370
P=0968 | X=0505.390-0522.030 | Y=0640.950-0650.270 | 320
P=0968 | X=0111.890-0343.440 | Y=0647.710-0658.950 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0968 | X=0111.890-0365.200 | Y=0665.230-0676.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0968 | X=0111.890-0206.840 | Y=0676.510-0687.750 | >500m đến ≤1.000m.
P=0968 | X=0111.890-0335.060 | Y=0694.030-0705.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0969 | X=0111.890-0384.910 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13
P=0969 | X=0111.890-0367.480 | Y=0090.020-0101.260 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ
P=0969 | X=0111.890-0362.680 | Y=0101.540-0112.780 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 567, tờ
P=0969 | X=0111.890-0361.640 | Y=0113.060-0124.300 | BĐĐC số 37 về bên trái, xã Xuân Thành có hiện trạng là
P=0969 | X=0095.060-0247.660 | Y=0124.610-0136.050 | 25 đường nhựa, bê tông xi măng:
P=0969 | X=0408.620-0425.260 | Y=0126.730-0136.050 | 400
P=0969 | X=0445.610-0462.250 | Y=0126.730-0136.050 | 280
P=0969 | X=0505.390-0522.030 | Y=0126.730-0136.050 | 240
P=0969 | X=0111.890-0353.000 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0969 | X=0111.890-0154.030 | Y=0155.290-0164.610 | >1.000m.
P=0969 | X=0111.890-0335.530 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0969 | X=0111.890-0385.400 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0969 | X=0111.890-0373.660 | Y=0200.230-0211.470 | ra Đường lô 13 đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0969 | X=0111.890-0379.270 | Y=0211.750-0222.990 | đất số 535, tờ BĐĐC số 37 về bên phải và hết ranh thửa đất
P=0969 | X=0111.890-0373.180 | Y=0223.270-0234.510 | số 567, tờ BĐĐC số 37 về bên trái, xã Xuân Thành có hiện
P=0969 | X=0095.060-0283.670 | Y=0234.790-0246.230 | 26 trạng là đường nhựa, bê tông xi măng:
P=0969 | X=0408.620-0425.260 | Y=0236.910-0246.230 | 530
P=0969 | X=0445.610-0462.250 | Y=0236.910-0246.230 | 370
