TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0986 | X=0111.890-0381.350 | Y=0531.020-0542.260 | số 112 về bên phải và hết ranh thửa đất số 108, tờ BĐĐC số
P=0986 | X=0111.890-0384.310 | Y=0542.570-0553.810 | 130 về bên trái, xã Xuân Thành có hiện trạng là đường nhựa,
P=0986 | X=0092.180-0108.820 | Y=0550.450-0559.770 | 126
P=0986 | X=0408.620-0425.260 | Y=0550.450-0559.770 | 360
P=0986 | X=0445.610-0462.250 | Y=0550.450-0559.770 | 250
P=0986 | X=0505.390-0522.030 | Y=0550.450-0559.770 | 220
P=0986 | X=0111.890-0185.970 | Y=0554.090-0565.330 | bê tông xi măng:
P=0986 | X=0111.890-0353.000 | Y=0571.610-0582.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0986 | X=0111.890-0154.030 | Y=0585.010-0594.330 | >1.000m.
P=0986 | X=0111.890-0335.530 | Y=0600.650-0611.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0986 | X=0230.980-0296.110 | Y=0618.430-0629.670 | Ngã ba đường
P=0986 | X=0111.890-0212.470 | Y=0624.190-0635.430 | Đường Xuân Trường -
P=0986 | X=0306.360-0363.800 | Y=0626.070-0635.390 | Giáp ranh xã
P=0986 | X=0092.180-0108.820 | Y=0631.830-0641.150 | 127
P=0986 | X=0230.980-0288.320 | Y=0631.830-0641.150 | vào trại giam
P=0986 | X=0400.460-0425.510 | Y=0631.830-0641.150 | 1.800
P=0986 | X=0437.450-0462.500 | Y=0631.830-0641.150 | 1.300
P=0986 | X=0497.230-0522.280 | Y=0631.830-0641.150 | 1.100
P=0986 | X=0111.890-0153.240 | Y=0637.590-0646.910 | Suối Cao
P=0986 | X=0306.360-0348.360 | Y=0637.590-0646.910 | Xuân Lộc
P=0986 | X=0230.980-0272.980 | Y=0643.350-0652.670 | Xuân Lộc
P=0986 | X=0111.890-0386.130 | Y=0659.230-0670.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0986 | X=0111.890-0386.810 | Y=0670.510-0681.750 | Trường - Suối Cao đoạn từ Ngã ba đường vào trại giam Xuân
P=0986 | X=0092.180-0108.820 | Y=0678.150-0687.470 | 128
P=0986 | X=0408.620-0425.260 | Y=0678.150-0687.470 | 910
P=0986 | X=0445.610-0462.250 | Y=0678.150-0687.470 | 640
P=0986 | X=0505.390-0522.030 | Y=0678.150-0687.470 | 550
P=0986 | X=0111.890-0385.510 | Y=0682.030-0693.270 | Lộc đến Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa,
P=0986 | X=0111.890-0185.970 | Y=0693.550-0704.790 | bê tông xi măng:
P=0987 | X=0111.890-0342.970 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0987 | X=0111.890-0353.000 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0987 | X=0111.890-0145.410 | Y=0107.540-0118.780 | ≤500m.
P=0987 | X=0111.890-0386.130 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0987 | X=0111.890-0386.830 | Y=0136.850-0148.090 | Trường - Suối Cao đoạn từ Ngã ba đường vào trại giam Xuân
P=0987 | X=0111.890-0385.510 | Y=0148.370-0159.610 | Lộc đến Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa,
P=0987 | X=0111.890-0185.970 | Y=0159.650-0170.890 | bê tông xi măng:
P=0987 | X=0092.180-0343.440 | Y=0176.410-0188.410 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0987 | X=0408.620-0425.290 | Y=0176.410-0185.730 | 700
P=0987 | X=0445.610-0462.250 | Y=0176.410-0185.730 | 490
P=0987 | X=0505.390-0522.030 | Y=0176.410-0185.730 | 420
P=0987 | X=0111.890-0365.200 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0987 | X=0111.890-0206.840 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=0987 | X=0111.890-0335.060 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0987 | X=0111.890-0386.130 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0987 | X=0111.890-0386.810 | Y=0253.030-0264.270 | Trường - Suối Cao đoạn từ Ngã ba đường vào trại giam Xuân
P=0987 | X=0111.890-0385.510 | Y=0264.550-0275.790 | Lộc đến Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa,
P=0987 | X=0111.890-0185.970 | Y=0276.070-0287.310 | bê tông xi măng:
P=0987 | X=0092.180-0108.820 | Y=0283.980-0293.300 | 130
P=0987 | X=0408.620-0425.260 | Y=0283.980-0293.300 | 560
P=0987 | X=0445.610-0462.250 | Y=0283.980-0293.300 | 390
P=0987 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 340
P=0987 | X=0111.890-0353.000 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0987 | X=0111.890-0154.030 | Y=0307.020-0316.340 | >1.000m.
P=0987 | X=0111.890-0335.530 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0987 | X=0111.890-0385.400 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0987 | X=0111.890-0373.190 | Y=0351.700-0362.940 | ra Đường Xuân Trường - Suối Cao đoạn từ Ngã ba đường
P=0987 | X=0111.890-0373.910 | Y=0363.220-0374.460 | vào trại giam Xuân Lộc đến Giáp ranh xã Xuân Lộc có hiện
P=0987 | X=0111.890-0283.670 | Y=0374.760-0386.000 | trạng là đường nhựa, bê tông xi măng:
P=0987 | X=0092.180-0108.820 | Y=0382.640-0391.960 | 131
P=0987 | X=0408.620-0425.260 | Y=0382.640-0391.960 | 820
P=0987 | X=0445.610-0462.250 | Y=0382.640-0391.960 | 570
P=0987 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 490
P=0987 | X=0111.890-0342.970 | Y=0392.280-0403.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0987 | X=0111.890-0353.000 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0987 | X=0111.890-0145.410 | Y=0421.320-0432.560 | ≤500m.
P=0987 | X=0111.890-0385.400 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0987 | X=0111.890-0373.180 | Y=0450.620-0461.860 | ra Đường Xuân Trường - Suối Cao đoạn từ Ngã ba đường
P=0987 | X=0111.890-0373.910 | Y=0462.140-0473.380 | vào trại giam Xuân Lộc đến Giáp ranh xã Xuân Lộc có hiện
P=0987 | X=0111.890-0283.670 | Y=0473.660-0484.900 | trạng là đường nhựa, bê tông xi măng:
P=0987 | X=0092.180-0343.440 | Y=0490.180-0502.420 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0987 | X=0408.620-0425.260 | Y=0490.180-0499.500 | 630
P=0987 | X=0445.610-0462.250 | Y=0490.180-0499.500 | 440
P=0987 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 380
P=0987 | X=0111.890-0365.200 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0987 | X=0111.890-0206.840 | Y=0519.980-0531.220 | >500m đến ≤1.000m.
P=0987 | X=0111.890-0335.060 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0987 | X=0111.890-0385.400 | Y=0555.290-0566.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0987 | X=0111.890-0373.190 | Y=0566.810-0578.050 | ra Đường Xuân Trường - Suối Cao đoạn từ Ngã ba đường
P=0987 | X=0111.890-0373.910 | Y=0578.330-0589.570 | vào trại giam Xuân Lộc đến Giáp ranh xã Xuân Lộc có hiện
P=0987 | X=0111.890-0283.670 | Y=0589.850-0601.090 | trạng là đường nhựa, bê tông xi măng:
P=0987 | X=0092.180-0108.820 | Y=0597.730-0607.050 | 133
P=0987 | X=0408.620-0425.260 | Y=0597.730-0607.050 | 500
P=0987 | X=0445.610-0462.250 | Y=0597.730-0607.050 | 350
P=0987 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 300
P=0987 | X=0111.890-0353.000 | Y=0607.370-0618.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0987 | X=0111.890-0154.030 | Y=0620.790-0630.110 | >1.000m.
P=0987 | X=0111.890-0335.530 | Y=0636.430-0647.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0987 | X=0230.980-0287.230 | Y=0654.190-0665.430 | Cách đường
P=0987 | X=0306.360-0384.210 | Y=0659.950-0671.190 | Qua đường Xuân
P=0987 | X=0111.890-0291.460 | Y=0665.710-0676.950 | Đường trung tâm xã Suối Xuân Thành -
P=0987 | X=0092.180-0108.820 | Y=0673.350-0682.670 | 134
P=0987 | X=0306.360-0384.940 | Y=0673.350-0682.670 | Thành - Suối Cao
P=0987 | X=0400.460-0425.510 | Y=0673.350-0682.670 | 1.700
P=0987 | X=0437.450-0462.500 | Y=0673.350-0682.670 | 1.200
P=0987 | X=0497.230-0522.280 | Y=0673.350-0682.670 | 1.000
P=0987 | X=0111.890-0186.360 | Y=0677.230-0688.470 | Cao cũ đi cao su
P=0987 | X=0230.980-0304.270 | Y=0679.110-0688.430 | Suối Cao - Xuân
P=0987 | X=0306.360-0386.290 | Y=0684.630-0693.950 | - Xuân Bắc 250 m
P=0987 | X=0230.980-0278.750 | Y=0690.390-0699.710 | Bắc 250 m
P=0987 | X=0092.180-0385.880 | Y=0706.290-0717.530 | 135 Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0987 | X=0408.620-0425.260 | Y=0708.180-0717.500 | 860
P=0987 | X=0445.610-0462.250 | Y=0708.180-0717.500 | 600
P=0987 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 520
P=0988 | X=0111.890-0364.290 | Y=0072.500-0083.740 | tâm xã Suối Cao cũ đi cao su đoạn từ Cách đường Xuân
P=0988 | X=0111.890-0373.170 | Y=0084.020-0095.260 | Thành - Suối Cao - Xuân Bắc 250 m đến Qua đường Xuân
P=0988 | X=0111.890-0377.260 | Y=0095.540-0106.780 | Thành - Suối Cao - Xuân Bắc 250 m có hiện trạng là đường
P=0988 | X=0111.890-0215.030 | Y=0107.060-0118.300 | nhựa, bê tông xi măng:
P=0988 | X=0111.890-0342.970 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0988 | X=0111.890-0353.000 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0988 | X=0111.890-0145.410 | Y=0153.410-0164.650 | ≤500m.
P=0988 | X=0111.890-0385.880 | Y=0171.170-0182.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0988 | X=0111.890-0364.290 | Y=0182.690-0193.930 | tâm xã Suối Cao cũ đi cao su đoạn từ Cách đường Xuân
P=0988 | X=0111.890-0373.170 | Y=0194.210-0205.450 | Thành - Suối Cao - Xuân Bắc 250 m đến Qua đường Xuân
P=0988 | X=0111.890-0377.260 | Y=0205.750-0216.990 | Thành - Suối Cao - Xuân Bắc 250 m có hiện trạng là đường
P=0988 | X=0111.890-0215.000 | Y=0217.270-0228.510 | nhựa, bê tông xi măng:
P=0988 | X=0092.180-0108.820 | Y=0228.270-0237.590 | 136
P=0988 | X=0408.620-0425.260 | Y=0228.270-0237.590 | 660
P=0988 | X=0445.610-0462.250 | Y=0228.270-0237.590 | 460
P=0988 | X=0505.390-0522.030 | Y=0228.270-0237.590 | 400
P=0988 | X=0111.890-0343.440 | Y=0234.790-0246.030 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0988 | X=0111.890-0365.200 | Y=0252.310-0263.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0988 | X=0111.890-0206.840 | Y=0263.830-0275.070 | >500m đến ≤1.000m.
P=0988 | X=0111.890-0335.060 | Y=0281.380-0292.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0988 | X=0111.890-0385.880 | Y=0299.140-0310.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0988 | X=0111.890-0364.290 | Y=0310.660-0321.900 | tâm xã Suối Cao cũ đi cao su đoạn từ Cách đường Xuân
P=0988 | X=0111.890-0373.170 | Y=0321.940-0333.180 | Thành - Suối Cao - Xuân Bắc 250 m đến Qua đường Xuân
P=0988 | X=0111.890-0377.260 | Y=0333.460-0344.700 | Thành - Suối Cao - Xuân Bắc 250 m có hiện trạng là đường
P=0988 | X=0092.180-0215.000 | Y=0344.980-0356.420 | 137 nhựa, bê tông xi măng:
P=0988 | X=0408.620-0425.260 | Y=0347.100-0356.420 | 530
P=0988 | X=0445.610-0462.250 | Y=0347.100-0356.420 | 370
P=0988 | X=0505.390-0522.030 | Y=0347.100-0356.420 | 320
P=0988 | X=0111.890-0353.000 | Y=0362.500-0373.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0988 | X=0111.890-0154.030 | Y=0375.920-0385.240 | >1.000m.
P=0988 | X=0111.890-0335.530 | Y=0391.560-0402.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0988 | X=0111.890-0385.400 | Y=0409.320-0420.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0988 | X=0111.890-0377.010 | Y=0420.840-0432.080 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ Cách
P=0988 | X=0111.890-0373.160 | Y=0432.360-0443.600 | đường Xuân Thành - Suối Cao - Xuân Bắc 250 m đến Qua
P=0988 | X=0111.890-0366.940 | Y=0443.880-0455.120 | đường Xuân Thành - Suối Cao - Xuân Bắc 250 m có hiện
P=0988 | X=0092.180-0283.670 | Y=0455.420-0466.860 | 138 trạng là đường nhựa, bê tông xi măng:
P=0988 | X=0408.620-0425.260 | Y=0457.540-0466.860 | 770
P=0988 | X=0445.610-0462.250 | Y=0457.540-0466.860 | 540
P=0988 | X=0505.390-0522.030 | Y=0457.540-0466.860 | 460
P=0988 | X=0111.890-0342.970 | Y=0472.940-0484.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0988 | X=0111.890-0353.000 | Y=0490.220-0501.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0988 | X=0111.890-0145.410 | Y=0501.740-0512.980 | ≤500m.
P=0988 | X=0111.890-0385.400 | Y=0519.500-0530.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0988 | X=0111.890-0377.010 | Y=0531.020-0542.260 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ Cách
P=0988 | X=0111.890-0373.160 | Y=0542.570-0553.810 | đường Xuân Thành - Suối Cao - Xuân Bắc 250 m đến Qua
P=0988 | X=0111.890-0366.940 | Y=0554.090-0565.330 | đường Xuân Thành - Suối Cao - Xuân Bắc 250 m có hiện
P=0988 | X=0111.890-0283.670 | Y=0565.610-0576.850 | trạng là đường nhựa, bê tông xi măng:
P=0988 | X=0092.180-0108.820 | Y=0576.370-0585.690 | 139
P=0988 | X=0408.620-0425.260 | Y=0576.370-0585.690 | 590
P=0988 | X=0445.610-0462.250 | Y=0576.370-0585.690 | 410
P=0988 | X=0505.390-0522.030 | Y=0576.370-0585.690 | 350
P=0988 | X=0111.890-0343.440 | Y=0583.130-0594.370 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0988 | X=0111.890-0365.200 | Y=0600.650-0611.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0988 | X=0111.890-0206.840 | Y=0612.170-0623.410 | >500m đến ≤1.000m.
P=0988 | X=0111.890-0335.060 | Y=0629.710-0640.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0988 | X=0111.890-0385.400 | Y=0647.470-0658.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0988 | X=0111.890-0377.010 | Y=0658.750-0669.990 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ Cách
P=0988 | X=0092.180-0373.160 | Y=0670.270-0681.510 | 140 đường Xuân Thành - Suối Cao - Xuân Bắc 250 m đến Qua
P=0988 | X=0408.620-0425.260 | Y=0672.150-0681.470 | 480
P=0988 | X=0445.610-0462.250 | Y=0672.150-0681.470 | 340
P=0988 | X=0505.390-0522.030 | Y=0672.150-0681.470 | 290
P=0988 | X=0111.890-0366.940 | Y=0681.790-0693.030 | đường Xuân Thành - Suối Cao - Xuân Bắc 250 m có hiện
P=0988 | X=0111.890-0283.670 | Y=0693.310-0704.550 | trạng là đường nhựa, bê tông xi măng:
P=0989 | X=0111.890-0353.000 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0989 | X=0111.890-0154.030 | Y=0091.900-0101.220 | >1.000m.
P=0989 | X=0111.890-0335.530 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0989 | X=0111.890-0360.920 | Y=0125.330-0136.570 | Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ giáp
P=0989 | X=0111.890-0388.060 | Y=0136.850-0148.090 | đường Xuân Trường - Suối Cao đến cách đường Xuân Thành
P=0989 | X=0111.890-0387.100 | Y=0148.370-0159.610 | - Suối Cao - Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số
P=0989 | X=0092.180-0108.820 | Y=0156.010-0165.330 | 141
P=0989 | X=0400.460-0425.510 | Y=0156.010-0165.330 | 1.200
P=0989 | X=0445.610-0462.250 | Y=0156.010-0165.330 | 840
P=0989 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 720
P=0989 | X=0111.890-0385.950 | Y=0159.650-0170.890 | 47, tờ BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ
P=0989 | X=0111.890-0381.580 | Y=0171.170-0182.410 | BĐĐC số 84 về bên trái đến Cách đường Xuân Thành - Suối
P=0989 | X=0111.890-0212.960 | Y=0184.570-0193.890 | Cao - Xuân Bắc 250 m
P=0989 | X=0111.890-0385.880 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0989 | X=0111.890-0359.730 | Y=0211.990-0223.230 | tâm xã Suối Cao cũ đi cao su đoạn từ giáp đường Xuân
P=0989 | X=0111.890-0385.580 | Y=0223.510-0234.750 | Trường - Suối Cao đến cách đường Xuân Thành - Suối Cao -
P=0989 | X=0111.890-0359.770 | Y=0235.030-0246.270 | Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số 47, tờ
P=0989 | X=0111.890-0388.300 | Y=0246.550-0257.790 | BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ BĐĐC
P=0989 | X=0111.890-0377.660 | Y=0258.070-0269.310 | số 84 về bên trái đến Cách đường Xuân Thành - Suối Cao -
P=0989 | X=0092.180-0108.820 | Y=0265.950-0275.270 | 142
P=0989 | X=0408.620-0425.260 | Y=0265.950-0275.270 | 600
P=0989 | X=0445.610-0462.250 | Y=0265.950-0275.270 | 420
P=0989 | X=0505.390-0522.030 | Y=0265.950-0275.270 | 340
P=0989 | X=0111.890-0364.760 | Y=0269.590-0280.830 | Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông xi
P=0989 | X=0111.890-0139.890 | Y=0281.110-0292.350 | măng:
P=0989 | X=0111.890-0342.970 | Y=0298.660-0309.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0989 | X=0111.890-0353.000 | Y=0315.940-0327.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0989 | X=0111.890-0145.410 | Y=0327.460-0338.700 | ≤500m.
P=0989 | X=0111.890-0385.880 | Y=0345.220-0356.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0989 | X=0111.890-0359.730 | Y=0356.740-0367.980 | tâm xã Suối Cao cũ đi cao su đoạn từ giáp đường Xuân
P=0989 | X=0111.890-0385.580 | Y=0368.280-0379.520 | Trường - Suối Cao đến cách đường Xuân Thành - Suối Cao -
P=0989 | X=0111.890-0359.770 | Y=0379.800-0391.040 | Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số 47, tờ
P=0989 | X=0111.890-0388.300 | Y=0391.320-0402.560 | BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ BĐĐC
P=0989 | X=0111.890-0377.660 | Y=0402.840-0414.080 | số 84 về bên trái đến Cách đường Xuân Thành - Suối Cao -
P=0989 | X=0092.180-0364.760 | Y=0414.360-0428.680 | 143 Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông xi
P=0989 | X=0408.620-0425.260 | Y=0419.360-0428.680 | 520
P=0989 | X=0445.610-0462.250 | Y=0419.360-0428.680 | 360
P=0989 | X=0505.390-0522.030 | Y=0419.360-0428.680 | 310
P=0989 | X=0111.890-0139.890 | Y=0425.880-0437.120 | măng:
P=0989 | X=0111.890-0343.440 | Y=0443.400-0454.640 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0989 | X=0111.890-0365.200 | Y=0460.940-0472.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0989 | X=0111.890-0206.840 | Y=0472.220-0483.460 | >500m đến ≤1.000m.
P=0989 | X=0111.890-0335.060 | Y=0489.740-0500.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0989 | X=0111.890-0385.880 | Y=0507.500-0518.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trung
P=0989 | X=0111.890-0359.730 | Y=0519.020-0530.260 | tâm xã Suối Cao cũ đi cao su đoạn từ giáp đường Xuân
P=0989 | X=0111.890-0385.580 | Y=0530.540-0541.780 | Trường - Suối Cao đến cách đường Xuân Thành - Suối Cao -
P=0989 | X=0111.890-0359.770 | Y=0542.090-0553.330 | Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số 47, tờ
P=0989 | X=0111.890-0388.300 | Y=0553.610-0564.850 | BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ BĐĐC
P=0989 | X=0111.890-0377.660 | Y=0565.130-0576.370 | số 84 về bên trái đến Cách đường Xuân Thành - Suối Cao -
P=0989 | X=0092.180-0108.820 | Y=0573.010-0582.330 | 144
P=0989 | X=0408.620-0425.260 | Y=0573.010-0582.330 | 450
P=0989 | X=0445.610-0462.250 | Y=0573.010-0582.330 | 320
P=0989 | X=0505.390-0522.030 | Y=0573.010-0582.330 | 270
P=0989 | X=0111.890-0364.760 | Y=0576.650-0587.890 | Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông xi
P=0989 | X=0111.890-0139.890 | Y=0588.170-0599.410 | măng:
P=0989 | X=0111.890-0353.000 | Y=0605.690-0616.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0989 | X=0111.890-0154.030 | Y=0619.110-0628.430 | >1.000m.
P=0989 | X=0111.890-0335.530 | Y=0634.510-0645.750 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0989 | X=0111.890-0385.400 | Y=0652.270-0663.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0989 | X=0111.890-0372.680 | Y=0663.790-0675.030 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ giáp
P=0989 | X=0092.180-0388.060 | Y=0675.310-0686.550 | 145 đường Xuân Trường - Suối Cao đến cách đường Xuân Thành
P=0989 | X=0408.620-0425.260 | Y=0677.190-0686.510 | 540
P=0989 | X=0445.610-0462.250 | Y=0677.190-0686.510 | 380
P=0989 | X=0505.390-0522.030 | Y=0677.190-0686.510 | 330
P=0989 | X=0111.890-0387.100 | Y=0686.830-0698.070 | - Suối Cao - Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số
P=0989 | X=0111.890-0385.950 | Y=0698.350-0709.590 | 47, tờ BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ
P=0990 | X=0111.890-0381.580 | Y=0072.500-0083.740 | BĐĐC số 84 về bên trái đến Cách đường Xuân Thành - Suối
P=0990 | X=0111.890-0382.040 | Y=0084.020-0095.260 | Cao - Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông
P=0990 | X=0111.890-0149.720 | Y=0095.540-0106.780 | xi măng:
P=0990 | X=0111.890-0342.970 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0990 | X=0111.890-0353.000 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0990 | X=0111.890-0145.410 | Y=0142.130-0153.370 | ≤500m.
P=0990 | X=0111.890-0385.400 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0990 | X=0111.890-0372.680 | Y=0171.170-0182.410 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ giáp
P=0990 | X=0111.890-0388.060 | Y=0182.690-0193.930 | đường Xuân Trường - Suối Cao đến cách đường Xuân Thành
P=0990 | X=0111.890-0387.100 | Y=0194.210-0205.450 | - Suối Cao - Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số
P=0990 | X=0111.890-0385.950 | Y=0205.750-0216.990 | 47, tờ BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ
P=0990 | X=0111.890-0381.580 | Y=0217.270-0228.510 | BĐĐC số 84 về bên trái đến Cách đường Xuân Thành - Suối
P=0990 | X=0092.180-0382.040 | Y=0228.790-0243.110 | 146 Cao - Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông
P=0990 | X=0408.620-0425.260 | Y=0233.790-0243.110 | 470
P=0990 | X=0445.610-0462.250 | Y=0233.790-0243.110 | 330
P=0990 | X=0505.390-0522.030 | Y=0233.790-0243.110 | 280
P=0990 | X=0111.890-0149.720 | Y=0240.310-0251.550 | xi măng:
P=0990 | X=0111.890-0343.440 | Y=0257.830-0269.070 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0990 | X=0111.890-0365.200 | Y=0275.350-0286.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0990 | X=0111.890-0206.840 | Y=0286.900-0298.140 | >500m đến ≤1.000m.
P=0990 | X=0111.890-0335.060 | Y=0304.420-0315.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0990 | X=0111.890-0385.400 | Y=0321.940-0333.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0990 | X=0111.890-0372.680 | Y=0333.460-0344.700 | ra Đường trung tâm xã Suối Cao cũ đi cao su đoạn từ giáp
P=0990 | X=0111.890-0388.060 | Y=0344.980-0356.220 | đường Xuân Trường - Suối Cao đến cách đường Xuân Thành
P=0990 | X=0111.890-0387.100 | Y=0356.500-0367.740 | - Suối Cao - Xuân Bắc 250 m và đoạn từ Hết ranh thửa đất số
P=0990 | X=0111.890-0385.950 | Y=0368.040-0379.280 | 47, tờ BĐĐC số 84 về bên phải và hết ranh thửa đất số 65, tờ
P=0990 | X=0111.890-0381.580 | Y=0379.560-0390.800 | BĐĐC số 84 về bên trái đến Cách đường Xuân Thành - Suối
P=0990 | X=0092.180-0108.820 | Y=0387.440-0396.760 | 147
P=0990 | X=0408.620-0425.260 | Y=0387.440-0396.760 | 410
P=0990 | X=0445.610-0462.250 | Y=0387.440-0396.760 | 290
P=0990 | X=0505.390-0522.030 | Y=0387.440-0396.760 | 250
P=0990 | X=0111.890-0382.040 | Y=0391.080-0402.320 | Cao - Xuân Bắc 250 m có hiện trạng là đường nhựa, bê tông
