TABLE=093 | AREA=Xã Phú Trung | SECTION=non-agricultural | SEGMENTS=1
P=2139 | X=0505.390-0522.030 | Y=0466.660-0475.980 | 460
P=2139 | X=0102.770-0173.560 | Y=0470.540-0481.780 | Phước Tân (cũ)
P=2139 | X=0266.740-0292.980 | Y=0478.180-0487.500 | Riềng
P=2139 | X=0266.740-0344.120 | Y=0494.300-0505.540 | Ngã ba Đường đi
P=2139 | X=0186.070-0344.120 | Y=0505.820-0517.060 | Đường ĐT 759 + Phước Tân - Phú
P=2139 | X=0102.770-0176.950 | Y=0511.580-0522.820 | Đường Bù Nho -
P=2139 | X=0186.070-0345.080 | Y=0517.340-0528.580 | 200m về xã Phú Trung (cũ) kết nối
P=2139 | X=0090.500-0101.620 | Y=0519.220-0528.540 | 15
P=2139 | X=0366.860-0383.500 | Y=0519.220-0528.540 | 510
P=2139 | X=0415.820-0432.460 | Y=0519.220-0528.540 | 360
P=2139 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 310
P=2139 | X=0102.770-0173.560 | Y=0523.100-0534.340 | Phước Tân (cũ)
P=2139 | X=0266.740-0340.660 | Y=0528.860-0540.100 | Đường ĐT 753B
P=2139 | X=0186.070-0212.310 | Y=0530.740-0540.060 | Riềng
P=2139 | X=0266.740-0320.740 | Y=0540.410-0551.650 | (ĐH 312 cũ)
P=2139 | X=0186.070-0264.670 | Y=0558.410-0569.650 | Ngã ba đường xã
P=2139 | X=0186.070-0252.660 | Y=0571.810-0581.130 | Phú Trung - xã
P=2139 | X=0102.770-0176.950 | Y=0575.690-0586.930 | Đường Bù Nho -
P=2139 | X=0266.740-0344.810 | Y=0577.570-0586.890 | Giáp ranh xã Phú
P=2139 | X=0186.070-0256.860 | Y=0581.450-0592.690 | Phước Tân (cũ)
P=2139 | X=0090.500-0101.620 | Y=0583.330-0592.650 | 16
P=2139 | X=0366.860-0383.500 | Y=0583.330-0592.650 | 360
P=2139 | X=0415.820-0432.460 | Y=0583.330-0592.650 | 250
P=2139 | X=0505.390-0522.030 | Y=0583.330-0592.650 | 210
P=2139 | X=0102.770-0173.560 | Y=0587.210-0598.450 | Phước Tân (cũ)
P=2139 | X=0266.740-0292.980 | Y=0589.090-0598.410 | Riềng
P=2139 | X=0186.070-0264.490 | Y=0592.970-0604.210 | kết nối đường ĐT
P=2139 | X=0186.070-0266.230 | Y=0604.250-0615.490 | 753B (ĐH 312 cũ)
P=2139 | X=0102.770-0168.610 | Y=0622.270-0633.510 | Đường xã Phú
P=2139 | X=0266.740-0351.400 | Y=0624.150-0633.470 | Giáp lô CS NT (hết
P=2139 | X=0186.070-0259.990 | Y=0628.030-0639.270 | Đường ĐT 753B
P=2139 | X=0090.500-0181.750 | Y=0633.790-0645.030 | 17 Trung - xã Phước
P=2139 | X=0266.740-0354.200 | Y=0633.790-0645.030 | ranh thửa đất số 21
P=2139 | X=0366.860-0383.500 | Y=0635.670-0644.990 | 510
P=2139 | X=0415.820-0432.460 | Y=0635.670-0644.990 | 360
P=2139 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 310
P=2139 | X=0186.070-0240.070 | Y=0639.550-0650.790 | (ĐH 312 cũ)
P=2139 | X=0102.770-0140.200 | Y=0645.310-0656.550 | Tân (cũ)
P=2139 | X=0266.740-0290.100 | Y=0647.190-0656.510 | tờ 29
P=2139 | X=0102.770-0168.610 | Y=0663.310-0674.550 | Đường xã Phú
P=2139 | X=0266.740-0354.010 | Y=0663.310-0674.550 | Hết thửa đất 251 tờ
P=2139 | X=0186.070-0250.750 | Y=0665.190-0674.510 | Giáp lô CS NT
P=2139 | X=0090.500-0249.790 | Y=0674.830-0686.070 | 18 Trung - xã Phước (hết ranh thửa
P=2139 | X=0266.740-0350.760 | Y=0676.710-0686.030 | 115 của ông Phạm
P=2139 | X=0366.860-0383.500 | Y=0676.710-0686.030 | 460
P=2139 | X=0415.820-0432.460 | Y=0676.710-0686.030 | 320
P=2139 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 280
P=2139 | X=0102.770-0140.200 | Y=0686.350-0697.590 | Tân (cũ)
P=2139 | X=0186.070-0256.660 | Y=0686.350-0697.590 | đất số 21 tờ 24)
P=2139 | X=0266.740-0315.780 | Y=0686.350-0697.590 | Văn Thông
P=2139 | X=0090.500-0249.020 | Y=0704.370-0715.610 | 19 Đường Phú Trung Đường ĐH3 2
P=2139 | X=0266.740-0354.120 | Y=0704.370-0715.610 | Giáp đường Phước
P=2139 | X=0366.860-0383.500 | Y=0706.260-0715.580 | 460
P=2139 | X=0415.820-0432.460 | Y=0706.260-0715.580 | 320
P=2139 | X=0505.390-0522.030 | Y=0706.260-0715.580 | 280
P=2140 | X=0102.770-0179.560 | Y=0072.740-0083.980 | - Phước Tân (cũ)
P=2140 | X=0266.740-0346.430 | Y=0072.740-0083.980 | Tân - Bù Nho (cũ)
P=2140 | X=0102.770-0182.550 | Y=0084.260-0095.500 | kết nối ĐH 312 cũ
P=2140 | X=0102.770-0152.280 | Y=0095.780-0107.020 | với ĐT 759
P=2140 | X=0090.500-0150.130 | Y=0113.780-0125.020 | 20 Đường N4
P=2140 | X=0186.070-0236.340 | Y=0115.660-0124.980 | Toàn tuyến
P=2140 | X=0358.700-0383.750 | Y=0115.660-0124.980 | 1.400
P=2140 | X=0415.820-0432.460 | Y=0115.660-0124.980 | 950
P=2140 | X=0505.390-0522.030 | Y=0115.660-0124.980 | 820
P=2140 | X=0090.500-0150.130 | Y=0131.810-0143.050 | 21 Đường N5
P=2140 | X=0186.070-0236.340 | Y=0133.690-0143.010 | Toàn tuyến
P=2140 | X=0358.700-0383.750 | Y=0133.690-0143.010 | 1.400
P=2140 | X=0415.820-0432.460 | Y=0133.690-0143.010 | 950
P=2140 | X=0505.390-0522.030 | Y=0133.690-0143.010 | 820
P=2140 | X=0090.500-0150.130 | Y=0149.810-0161.050 | 22 Đường N7
P=2140 | X=0186.070-0236.340 | Y=0151.690-0161.010 | Toàn tuyến
P=2140 | X=0358.700-0383.750 | Y=0151.690-0161.010 | 1.400
P=2140 | X=0415.820-0432.460 | Y=0151.690-0161.010 | 950
P=2140 | X=0505.390-0522.030 | Y=0151.690-0161.010 | 820
P=2140 | X=0090.500-0150.130 | Y=0167.810-0179.050 | 23 Đường D1
P=2140 | X=0186.070-0236.340 | Y=0169.690-0179.010 | Toàn tuyến
P=2140 | X=0358.700-0383.750 | Y=0169.690-0179.010 | 1.200
P=2140 | X=0415.820-0432.460 | Y=0169.690-0179.010 | 860
P=2140 | X=0505.390-0522.030 | Y=0169.690-0179.010 | 730
P=2140 | X=0102.770-0183.980 | Y=0185.810-0197.050 | Đường giao thông
P=2140 | X=0102.770-0155.330 | Y=0197.330-0208.570 | đấu nối trục
P=2140 | X=0102.770-0183.990 | Y=0208.870-0220.110 | đường Quốc lộ 14
P=2140 | X=0090.500-0101.620 | Y=0216.510-0225.830 | 24
P=2140 | X=0186.070-0236.340 | Y=0216.510-0225.830 | Toàn tuyến
P=2140 | X=0366.860-0383.500 | Y=0216.510-0225.830 | 460
P=2140 | X=0415.820-0432.460 | Y=0216.510-0225.830 | 320
P=2140 | X=0505.390-0522.030 | Y=0216.510-0225.830 | 280
P=2140 | X=0102.770-0176.270 | Y=0220.390-0231.630 | và ĐT 753B (ĐH
P=2140 | X=0102.770-0174.120 | Y=0231.670-0242.910 | 312 cũ) phạm vi
P=2140 | X=0102.770-0127.730 | Y=0245.070-0254.390 | 200m
P=2140 | X=0102.770-0183.980 | Y=0261.190-0272.430 | Đường giao thông
P=2140 | X=0102.770-0155.330 | Y=0272.710-0283.950 | đấu nối trục
P=2140 | X=0090.500-0101.620 | Y=0280.350-0289.670 | 25
P=2140 | X=0186.070-0236.340 | Y=0280.350-0289.670 | Toàn tuyến
P=2140 | X=0366.860-0383.500 | Y=0280.350-0289.670 | 430
P=2140 | X=0415.820-0432.460 | Y=0280.350-0289.670 | 300
P=2140 | X=0505.390-0522.030 | Y=0280.350-0289.670 | 260
P=2140 | X=0102.770-0170.050 | Y=0284.260-0295.500 | Đường ĐT 759
P=2140 | X=0102.770-0165.630 | Y=0297.660-0306.980 | phạm vi 200m
P=2140 | X=0102.770-0183.880 | Y=0313.780-0325.020 | Đường Đồng Tâm
P=2140 | X=0266.740-0349.160 | Y=0313.780-0325.020 | Giáp ranh phường
P=2140 | X=0186.070-0257.910 | Y=0319.540-0330.780 | Đường Thác Ba
P=2140 | X=0090.500-0101.620 | Y=0321.420-0330.740 | 26
P=2140 | X=0366.860-0383.500 | Y=0321.420-0330.740 | 380
P=2140 | X=0415.820-0432.460 | Y=0321.420-0330.740 | 270
P=2140 | X=0505.390-0522.030 | Y=0321.420-0330.740 | 230
P=2140 | X=0266.740-0322.530 | Y=0325.300-0336.540 | Phước Long
P=2140 | X=0102.770-0135.740 | Y=0327.180-0336.500 | - Bù Tố
P=2140 | X=0090.500-0150.130 | Y=0343.300-0354.540 | 27 Đường D2
P=2140 | X=0186.070-0236.340 | Y=0345.180-0354.500 | Toàn tuyến
P=2140 | X=0358.700-0383.750 | Y=0345.180-0354.500 | 1.000
P=2140 | X=0415.820-0432.460 | Y=0345.180-0354.500 | 710
P=2140 | X=0505.390-0522.030 | Y=0345.180-0354.500 | 610
P=2140 | X=0266.740-0345.410 | Y=0361.300-0372.540 | Hết ranh thửa đất
P=2140 | X=0102.770-0160.210 | Y=0367.080-0378.320 | Đường Thôn
P=2140 | X=0186.070-0253.350 | Y=0372.840-0384.080 | Đường ĐT 759
P=2140 | X=0266.740-0350.120 | Y=0372.840-0384.080 | số 18 tờ bản đồ số
P=2140 | X=0090.500-0101.620 | Y=0374.720-0384.040 | 28
P=2140 | X=0366.860-0383.500 | Y=0374.720-0384.040 | 380
P=2140 | X=0415.820-0432.460 | Y=0374.720-0384.040 | 270
P=2140 | X=0505.390-0522.030 | Y=0374.720-0384.040 | 230
P=2140 | X=0102.770-0149.170 | Y=0378.600-0389.840 | Đồng Tiến
P=2140 | X=0266.740-0277.860 | Y=0386.240-0395.560 | 76
P=2140 | X=0186.070-0241.820 | Y=0404.240-0413.560 | Ngã ba Bình
P=2140 | X=0102.770-0158.040 | Y=0408.120-0419.360 | Đường Bình
P=2140 | X=0266.740-0347.450 | Y=0410.000-0419.320 | Giáp ranh xã Bình
P=2140 | X=0090.500-0101.620 | Y=0415.760-0425.080 | 29
P=2140 | X=0186.070-0259.620 | Y=0415.760-0425.080 | Trung (Tiếp giáp
P=2140 | X=0366.860-0383.500 | Y=0415.760-0425.080 | 380
P=2140 | X=0415.820-0432.460 | Y=0415.760-0425.080 | 270
P=2140 | X=0505.390-0522.030 | Y=0415.760-0425.080 | 230
P=2140 | X=0102.770-0182.990 | Y=0419.640-0430.880 | Trung đi Bình Tân
P=2140 | X=0266.740-0284.100 | Y=0421.520-0430.840 | Tân
P=2140 | X=0186.070-0254.950 | Y=0425.400-0436.640 | đường ĐT 759)
P=2140 | X=0102.770-0158.040 | Y=0443.400-0454.640 | Đường Bình
P=2140 | X=0186.070-0241.340 | Y=0449.180-0460.420 | Đường Bình
P=2140 | X=0266.740-0349.160 | Y=0449.180-0460.420 | Giáp ranh phường
P=2140 | X=0090.500-0179.190 | Y=0454.940-0466.180 | 30 Trung đi Phường
P=2140 | X=0366.860-0383.500 | Y=0456.820-0466.140 | 380
P=2140 | X=0415.820-0432.460 | Y=0456.820-0466.140 | 270
P=2140 | X=0505.390-0522.030 | Y=0456.820-0466.140 | 230
P=2140 | X=0186.070-0320.830 | Y=0460.700-0471.940 | Trung đi Bình Tân Phước Bình
P=2140 | X=0102.770-0156.840 | Y=0466.220-0477.460 | Phước Bình
P=2140 | X=0266.740-0339.800 | Y=0486.100-0495.420 | Ngã ba tiếp giáp
P=2140 | X=0266.740-0330.900 | Y=0495.740-0506.980 | đường xã Phú
P=2140 | X=0186.070-0259.140 | Y=0497.620-0506.940 | Ngã ba tiếp giáp
P=2140 | X=0102.770-0161.170 | Y=0501.500-0512.740 | Đường Đồng
P=2140 | X=0186.070-0254.100 | Y=0507.260-0518.500 | ĐT 759 (từ đầu
P=2140 | X=0266.740-0345.720 | Y=0507.260-0518.500 | Trung - xã Phước
P=2140 | X=0090.500-0170.260 | Y=0513.020-0524.260 | 31 Tháp đi xã Phú
P=2140 | X=0366.860-0383.500 | Y=0514.900-0524.220 | 380
P=2140 | X=0415.820-0432.460 | Y=0514.900-0524.220 | 270
P=2140 | X=0505.390-0522.030 | Y=0514.900-0524.220 | 230
P=2140 | X=0186.070-0249.590 | Y=0518.780-0530.020 | thửa đất 69 tờ
P=2140 | X=0266.740-0343.730 | Y=0518.780-0530.020 | Tân (cũ) (đến hết
P=2140 | X=0102.770-0129.010 | Y=0526.420-0535.740 | Trung
P=2140 | X=0186.070-0252.580 | Y=0530.300-0541.540 | bản đồ số 115)
P=2140 | X=0266.740-0348.970 | Y=0530.300-0541.540 | thửa đất số 500 tờ
P=2140 | X=0266.740-0333.240 | Y=0541.850-0553.090 | bản đồ số 115)
P=2140 | X=0186.070-0263.620 | Y=0561.730-0571.050 | Toàn tuyến thuộc
P=2140 | X=0102.770-0180.880 | Y=0565.610-0576.850 | Các tuyến đường
P=2140 | X=0186.070-0250.110 | Y=0571.370-0582.610 | các tờ bản đồ:
P=2140 | X=0090.500-0101.620 | Y=0573.250-0582.570 | 32
P=2140 | X=0366.860-0383.500 | Y=0573.250-0582.570 | 380
P=2140 | X=0415.820-0432.460 | Y=0573.250-0582.570 | 270
P=2140 | X=0505.390-0522.030 | Y=0573.250-0582.570 | 230
P=2140 | X=0102.770-0158.750 | Y=0579.010-0588.330 | trung tâm xã
P=2140 | X=0186.070-0247.350 | Y=0584.770-0594.090 | 23, 24, 31, 46
P=2140 | X=0186.070-0259.990 | Y=0600.890-0612.130 | Đường ĐT 753B
P=2140 | X=0266.740-0345.830 | Y=0606.650-0617.890 | Đến lô cao Su NT
P=2140 | X=0102.770-0237.770 | Y=0612.410-0623.650 | Đường thôn Phú (Ngã ba hội
P=2140 | X=0266.740-0347.090 | Y=0618.190-0629.430 | (hết ranh thửa đất
P=2140 | X=0090.500-0101.620 | Y=0620.070-0629.390 | 33
P=2140 | X=0366.860-0383.500 | Y=0620.070-0629.390 | 380
P=2140 | X=0415.820-0432.460 | Y=0620.070-0629.390 | 270
P=2140 | X=0505.390-0522.030 | Y=0620.070-0629.390 | 230
P=2140 | X=0186.070-0259.600 | Y=0623.950-0635.190 | trường thôn Phú
P=2140 | X=0102.770-0115.090 | Y=0625.830-0635.150 | An
P=2140 | X=0266.740-0313.080 | Y=0631.590-0640.910 | 245 tờ 15)
P=2140 | X=0186.070-0201.660 | Y=0637.350-0646.670 | An)
P=2140 | X=0102.770-0183.980 | Y=0653.470-0664.710 | Đường giao thông
P=2140 | X=0090.500-0101.620 | Y=0661.110-0670.430 | 34
P=2140 | X=0186.070-0236.340 | Y=0661.110-0670.430 | Toàn tuyến
P=2140 | X=0366.860-0383.500 | Y=0661.110-0670.430 | 360
P=2140 | X=0415.820-0432.460 | Y=0661.110-0670.430 | 250
P=2140 | X=0505.390-0522.030 | Y=0661.110-0670.430 | 210
P=2140 | X=0102.770-0131.870 | Y=0666.630-0675.950 | liên xã
P=2140 | X=0102.770-0180.880 | Y=0682.750-0693.990 | Các tuyến đường
P=2140 | X=0090.500-0236.340 | Y=0696.150-0705.470 | 35 giao thông còn lại Toàn tuyến
P=2140 | X=0366.860-0383.500 | Y=0696.150-0705.470 | 260
P=2140 | X=0415.820-0432.460 | Y=0696.150-0705.470 | 180
P=2140 | X=0505.390-0522.030 | Y=0696.150-0705.470 | 150
P=2140 | X=0102.770-0169.340 | Y=0705.810-0717.050 | trên địa bàn xã
