TABLE=073 | AREA=Xã Lộc Thạnh | SECTION=non-agricultural | SEGMENTS=1
P=2049 | X=0344.280-0360.920 | Y=0707.220-0716.540 | 410
P=2049 | X=0399.980-0416.620 | Y=0707.220-0716.540 | 280
P=2049 | X=0505.390-0522.030 | Y=0707.220-0716.540 | 240
P=2050 | X=0102.770-0160.120 | Y=0072.740-0083.980 | - Lộc An (cũ)
P=2050 | X=0210.310-0277.140 | Y=0074.620-0083.940 | Huyền Thông 6
P=2050 | X=0271.540-0330.120 | Y=0090.740-0101.980 | Đường Quốc
P=2050 | X=0210.310-0264.380 | Y=0098.380-0107.700 | Cống làng 9
P=2050 | X=0102.770-0205.110 | Y=0102.260-0113.500 | Đường liên xã Lộc Tấn
P=2050 | X=0271.540-0318.420 | Y=0104.140-0113.460 | lộ 13 (giáp
P=2050 | X=0093.380-0098.980 | Y=0109.900-0119.220 | 9
P=2050 | X=0210.310-0268.950 | Y=0109.900-0119.220 | (giáp ranh xã
P=2050 | X=0344.280-0360.920 | Y=0109.900-0119.220 | 920
P=2050 | X=0399.980-0416.620 | Y=0109.900-0119.220 | 640
P=2050 | X=0505.390-0522.030 | Y=0109.900-0119.220 | 550
P=2050 | X=0102.770-0156.370 | Y=0115.660-0124.980 | - Lộc Thạnh
P=2050 | X=0271.540-0324.120 | Y=0115.660-0124.980 | ranh xã Lộc
P=2050 | X=0210.310-0249.930 | Y=0121.450-0130.770 | Lộc Tấn)
P=2050 | X=0271.540-0313.320 | Y=0127.210-0136.530 | Hòa (cũ))
P=2050 | X=0102.770-0200.080 | Y=0143.330-0154.570 | Các tuyến đường đấu
P=2050 | X=0102.770-0318.840 | Y=0154.850-0166.090 | nối trực tiếp ra đường Giáp ranh xã Trạm kiểm
P=2050 | X=0090.500-0101.620 | Y=0162.490-0171.810 | 10
P=2050 | X=0344.280-0360.920 | Y=0162.490-0171.810 | 410
P=2050 | X=0399.980-0416.620 | Y=0162.490-0171.810 | 280
P=2050 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 240
P=2050 | X=0271.540-0326.520 | Y=0166.370-0177.610 | soát Hoa Lư
P=2050 | X=0102.770-0246.660 | Y=0168.250-0177.570 | Quốc lộ 13 trong phạm Lộc Tấn
P=2050 | X=0102.770-0205.260 | Y=0179.530-0188.850 | vi 200m (tính từ HLLG)
P=2050 | X=0102.770-0195.760 | Y=0195.650-0206.890 | Đường 1 3B (Đường
P=2050 | X=0210.310-0266.060 | Y=0197.530-0206.850 | Ngã ba Chiu
P=2050 | X=0090.500-0101.620 | Y=0203.310-0212.630 | 11
P=2050 | X=0271.540-0319.380 | Y=0203.310-0212.630 | Cầu suối 2
P=2050 | X=0344.280-0360.920 | Y=0203.310-0212.630 | 570
P=2050 | X=0399.980-0416.620 | Y=0203.310-0212.630 | 400
