TABLE=085 | AREA=Xã Thiện Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2102 | X=0107.330-0181.910 | Y=0662.830-0674.070 | Đường Tôn Thất
P=2102 | X=0092.900-0104.020 | Y=0670.470-0679.790 | 42
P=2102 | X=0206.470-0256.740 | Y=0670.470-0679.790 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0670.470-0679.790 | 1.900
P=2102 | X=0422.090-0447.140 | Y=0670.470-0679.790 | 1.300
P=2102 | X=0497.230-0522.280 | Y=0670.470-0679.790 | 1.200
P=2102 | X=0107.330-0130.210 | Y=0676.230-0685.550 | Tùng
P=2102 | X=0107.330-0191.430 | Y=0692.350-0703.590 | Đường Suối Đá ấp
P=2102 | X=0206.470-0368.580 | Y=0692.350-0703.590 | Đường Nguyễn Hết ranh đất bà Bùi
P=2102 | X=0092.900-0104.020 | Y=0699.990-0709.310 | 43
P=2102 | X=0374.780-0399.830 | Y=0699.990-0709.310 | 1.900
P=2102 | X=0422.090-0447.140 | Y=0699.990-0709.310 | 1.300
P=2102 | X=0497.230-0522.280 | Y=0699.990-0709.310 | 1.200
P=2102 | X=0107.330-0164.770 | Y=0705.780-0715.100 | Thanh Trung
P=2102 | X=0206.470-0224.790 | Y=0705.780-0715.100 | Huệ
P=2102 | X=0282.340-0348.200 | Y=0705.780-0715.100 | Thị Thùy Dung
P=2103 | X=0282.340-0369.330 | Y=0072.740-0083.980 | (thửa đất số 212 và
P=2103 | X=0282.340-0361.950 | Y=0084.260-0095.500 | thửa đất số 24, tờ
P=2103 | X=0282.340-0343.320 | Y=0095.780-0107.020 | bản đồ số 02)
P=2103 | X=0206.470-0275.700 | Y=0113.780-0125.020 | Hết ranh đất bà
P=2103 | X=0206.470-0262.900 | Y=0127.210-0136.530 | Bùi Thị Thùy
P=2103 | X=0107.330-0191.430 | Y=0136.850-0148.090 | Đường Suối Đá ấp
P=2103 | X=0206.470-0273.870 | Y=0136.850-0148.090 | Dung (thửa đất
P=2103 | X=0282.340-0318.180 | Y=0142.610-0153.850 | Suối Đá
P=2103 | X=0092.900-0104.020 | Y=0144.490-0153.810 | 44
P=2103 | X=0374.780-0399.830 | Y=0144.490-0153.810 | 1.400
P=2103 | X=0430.250-0446.890 | Y=0144.490-0153.810 | 950
P=2103 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 820
P=2103 | X=0107.330-0164.770 | Y=0150.250-0159.570 | Thanh Trung
P=2103 | X=0206.470-0273.540 | Y=0150.250-0159.570 | số 212 và thửa
P=2103 | X=0206.470-0262.550 | Y=0159.650-0170.890 | đất số 24, tờ
P=2103 | X=0206.470-0267.460 | Y=0171.170-0182.410 | bản đồ số 02)
P=2103 | X=0107.330-0191.430 | Y=0189.170-0200.410 | Đường Suối Đá ấp
P=2103 | X=0206.470-0242.290 | Y=0194.930-0206.170 | Suối Đá
P=2103 | X=0282.340-0354.680 | Y=0194.930-0206.170 | Đường Lê Duẩn
P=2103 | X=0092.900-0104.020 | Y=0196.810-0206.130 | 45
P=2103 | X=0374.780-0399.830 | Y=0196.810-0206.130 | 1.900
P=2103 | X=0422.090-0447.140 | Y=0196.810-0206.130 | 1.300
P=2103 | X=0497.230-0522.280 | Y=0196.810-0206.130 | 1.200
P=2103 | X=0107.330-0164.770 | Y=0202.590-0211.910 | Thanh Trung
P=2103 | X=0206.470-0260.580 | Y=0218.710-0229.950 | Giáp đường
P=2103 | X=0282.340-0347.720 | Y=0218.710-0229.950 | Ngã ba đi ấp 3
P=2103 | X=0107.330-0196.950 | Y=0224.470-0235.710 | Đường Nguyễn Văn
P=2103 | X=0206.470-0357.540 | Y=0230.230-0241.470 | Hoàng Văn Thụ Thanh Hòa (phía
P=2103 | X=0092.900-0104.020 | Y=0232.110-0241.430 | 46
P=2103 | X=0374.780-0399.830 | Y=0232.110-0241.430 | 3.200
P=2103 | X=0422.090-0447.140 | Y=0232.110-0241.430 | 2.200
P=2103 | X=0497.230-0522.280 | Y=0232.110-0241.430 | 1.900
P=2103 | X=0107.330-0163.710 | Y=0237.870-0247.190 | Trỗi (nối dài)
P=2103 | X=0206.470-0225.910 | Y=0243.630-0252.950 | (D1)
P=2103 | X=0282.340-0303.000 | Y=0243.630-0252.950 | Bắc)
P=2103 | X=0206.470-0271.860 | Y=0259.750-0270.990 | Ngã ba đi ấp 3
P=2103 | X=0107.330-0196.950 | Y=0265.510-0276.750 | Đường Nguyễn Văn
P=2103 | X=0282.340-0371.950 | Y=0267.390-0276.710 | Ranh xã Thanh Hòa
P=2103 | X=0092.900-0104.020 | Y=0273.150-0282.470 | 47
P=2103 | X=0206.470-0281.670 | Y=0273.150-0282.470 | Thanh Hòa (phía
P=2103 | X=0374.780-0399.830 | Y=0273.150-0282.470 | 1.600
P=2103 | X=0422.090-0447.140 | Y=0273.150-0282.470 | 1.100
P=2103 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 960
P=2103 | X=0282.340-0299.620 | Y=0277.030-0288.270 | (cũ)
P=2103 | X=0107.330-0163.710 | Y=0278.910-0288.230 | Trỗi (nổi dài)
P=2103 | X=0206.470-0227.110 | Y=0284.700-0294.020 | Bắc)
P=2103 | X=0282.340-0367.670 | Y=0302.700-0312.020 | Giáp ranh xã Thiện
P=2103 | X=0107.330-0184.220 | Y=0312.340-0323.580 | Đường ấp Thanh
P=2103 | X=0282.340-0364.390 | Y=0312.340-0323.580 | Hưng cũ (thửa đất
P=2103 | X=0206.470-0278.820 | Y=0318.100-0329.340 | Đường Lê Duẩn
P=2103 | X=0092.900-0104.020 | Y=0319.980-0329.300 | 48
P=2103 | X=0374.780-0399.830 | Y=0319.980-0329.300 | 1.400
P=2103 | X=0430.250-0446.890 | Y=0319.980-0329.300 | 950
P=2103 | X=0505.390-0522.030 | Y=0319.980-0329.300 | 820
P=2103 | X=0282.340-0368.620 | Y=0323.860-0335.100 | số 01, tờ bản đồ số
P=2103 | X=0107.330-0133.570 | Y=0325.740-0335.060 | Trung
P=2103 | X=0282.340-0296.740 | Y=0337.260-0346.580 | 04)
P=2103 | X=0107.330-0175.830 | Y=0353.380-0364.620 | Đường ranh ấp
P=2103 | X=0206.470-0359.730 | Y=0364.900-0376.140 | Đường Lê Duẩn Ngã ba Kiết Lành
P=2103 | X=0092.900-0195.760 | Y=0366.780-0376.100 | 49 Thanh Tâm - Thanh
P=2103 | X=0374.780-0399.830 | Y=0366.780-0376.100 | 1.400
P=2103 | X=0422.090-0447.140 | Y=0366.780-0376.100 | 1.000
P=2103 | X=0505.390-0522.030 | Y=0366.780-0376.100 | 860
P=2103 | X=0107.330-0126.360 | Y=0376.200-0387.440 | Sơn
P=2103 | X=0107.330-0270.430 | Y=0394.200-0405.440 | Đường cặp hàng rào Đường Hoàng
P=2103 | X=0282.340-0367.180 | Y=0394.200-0405.440 | Đến ranh đội Quản
P=2103 | X=0092.900-0104.020 | Y=0401.840-0411.160 | 50
P=2103 | X=0374.780-0399.830 | Y=0401.840-0411.160 | 1.400
P=2103 | X=0422.090-0447.140 | Y=0401.840-0411.160 | 1.000
P=2103 | X=0505.390-0522.030 | Y=0401.840-0411.160 | 860
P=2103 | X=0206.470-0244.500 | Y=0405.720-0416.960 | Văn Thụ
P=2103 | X=0282.340-0336.440 | Y=0405.720-0416.960 | lý thị trường
P=2103 | X=0107.330-0175.110 | Y=0407.600-0416.920 | Công an huyện
P=2103 | X=0107.330-0188.540 | Y=0423.720-0434.960 | Đường giao thông
P=2103 | X=0107.330-0199.360 | Y=0435.240-0446.480 | đấu nối từ đường Lê
P=2103 | X=0107.330-0179.200 | Y=0446.760-0458.000 | Duẩn và Đường
P=2103 | X=0092.900-0182.070 | Y=0460.180-0469.500 | 51 Nguyễn Huệ vào
P=2103 | X=0206.470-0256.740 | Y=0460.180-0469.500 | Toàn tuyến
P=2103 | X=0374.780-0399.830 | Y=0460.180-0469.500 | 1.400
P=2103 | X=0430.250-0446.890 | Y=0460.180-0469.500 | 950
P=2103 | X=0505.390-0522.030 | Y=0460.180-0469.500 | 820
P=2103 | X=0107.330-0194.800 | Y=0469.820-0481.060 | 200m (trừ các đoạn
P=2103 | X=0107.330-0205.350 | Y=0481.340-0492.580 | đã quy định giá đất cụ
P=2103 | X=0107.330-0204.300 | Y=0494.740-0504.060 | thể trong phụ lục này)
P=2103 | X=0107.330-0184.700 | Y=0510.860-0522.100 | Đường nhựa bên
P=2103 | X=0282.340-0366.940 | Y=0510.860-0522.100 | Đến ngã ba đường
P=2103 | X=0107.330-0190.960 | Y=0522.380-0533.620 | hông Bệnh viện đa
P=2103 | X=0206.470-0266.980 | Y=0522.380-0533.620 | Đường Phạm
P=2103 | X=0282.340-0367.750 | Y=0522.380-0533.620 | Nhựa (hết thửa đất
P=2103 | X=0092.900-0104.020 | Y=0530.020-0539.340 | 52
P=2103 | X=0374.780-0399.830 | Y=0530.020-0539.340 | 1.200
P=2103 | X=0430.250-0446.890 | Y=0530.020-0539.340 | 840
P=2103 | X=0505.390-0522.030 | Y=0530.020-0539.340 | 720
P=2103 | X=0107.330-0195.280 | Y=0533.930-0545.170 | khoa huyện Bù Đốp
P=2103 | X=0282.340-0360.950 | Y=0533.930-0545.170 | số 374, tờ bản đồ
P=2103 | X=0206.470-0260.580 | Y=0535.810-0545.130 | Ngọc Thạch
P=2103 | X=0107.330-0124.610 | Y=0545.450-0556.690 | (cũ)
P=2103 | X=0282.340-0309.960 | Y=0547.330-0556.650 | số 17)
P=2103 | X=0107.330-0205.830 | Y=0563.450-0574.690 | Đường bê tông quanh
P=2103 | X=0092.900-0190.460 | Y=0574.970-0586.210 | 53 Bệnh viện đa khoa
P=2103 | X=0206.470-0256.740 | Y=0576.850-0586.170 | Toàn tuyến
P=2103 | X=0382.940-0399.580 | Y=0576.850-0586.170 | 880
P=2103 | X=0430.250-0446.890 | Y=0576.850-0586.170 | 620
P=2103 | X=0505.390-0522.030 | Y=0576.850-0586.170 | 530
P=2103 | X=0107.330-0190.870 | Y=0586.250-0597.490 | huyện Bù Đốp (cũ)
P=2103 | X=0107.330-0202.950 | Y=0604.250-0615.490 | Đường trong khu đấu
P=2103 | X=0107.330-0193.110 | Y=0617.650-0626.970 | giá Trung Tâm Y tế
P=2103 | X=0092.900-0104.020 | Y=0623.430-0632.750 | 54
P=2103 | X=0206.470-0256.740 | Y=0623.430-0632.750 | Toàn tuyến
P=2103 | X=0382.940-0399.580 | Y=0623.430-0632.750 | 880
P=2103 | X=0430.250-0446.890 | Y=0623.430-0632.750 | 620
P=2103 | X=0505.390-0522.030 | Y=0623.430-0632.750 | 530
P=2103 | X=0107.330-0205.590 | Y=0627.310-0638.550 | cũ (Đường vào hồ bơi
P=2103 | X=0107.330-0155.570 | Y=0640.710-0650.030 | Hạnh Ngộ)
P=2103 | X=0206.470-0281.700 | Y=0658.710-0668.030 | Ngã ba (hết ranh
P=2103 | X=0282.340-0347.730 | Y=0664.470-0673.790 | Ranh xã Thiện
P=2103 | X=0206.470-0271.140 | Y=0668.350-0679.590 | thửa đất số 24
P=2103 | X=0107.330-0200.290 | Y=0674.110-0685.350 | Đường nhựa đi công
P=2103 | X=0282.340-0364.390 | Y=0674.110-0685.350 | Hưng cũ (thửa đất
P=2103 | X=0206.470-0270.420 | Y=0679.870-0691.110 | và thửa đất số
P=2103 | X=0092.900-0104.020 | Y=0681.750-0691.070 | 55
P=2103 | X=0382.940-0399.580 | Y=0681.750-0691.070 | 740
P=2103 | X=0430.250-0446.890 | Y=0681.750-0691.070 | 520
P=2103 | X=0505.390-0522.030 | Y=0681.750-0691.070 | 450
P=2103 | X=0282.340-0368.620 | Y=0685.630-0696.870 | số 94, tờ bản đồ số
P=2103 | X=0107.330-0144.130 | Y=0687.510-0696.830 | ty Chuối
P=2103 | X=0206.470-0276.420 | Y=0691.390-0702.630 | 11 tờ bản đồ số
P=2103 | X=0282.340-0291.220 | Y=0699.030-0708.350 | 5)
P=2103 | X=0206.470-0220.870 | Y=0704.820-0714.140 | 28)
P=2104 | X=0282.340-0359.980 | Y=0080.620-0089.940 | Ngã ba (Hết thửa
P=2104 | X=0107.330-0189.750 | Y=0084.500-0095.740 | Đường nhựa đi ấp
P=2104 | X=0206.470-0277.230 | Y=0084.500-0095.740 | Thửa đất số 94,
P=2104 | X=0282.340-0360.950 | Y=0090.260-0101.500 | số 104, tờ bản đồ
P=2104 | X=0092.900-0104.020 | Y=0092.140-0101.460 | 56
P=2104 | X=0382.940-0399.580 | Y=0092.140-0101.460 | 740
P=2104 | X=0430.250-0446.890 | Y=0092.140-0101.460 | 520
P=2104 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 450
P=2104 | X=0107.330-0157.560 | Y=0096.020-0107.260 | Thanh Sơn
P=2104 | X=0206.470-0276.420 | Y=0096.020-0107.260 | tờ bản đồ số 20
P=2104 | X=0282.340-0309.960 | Y=0103.660-0112.980 | số 20)
P=2104 | X=0282.340-0367.970 | Y=0119.810-0131.050 | Hết thửa đất số 86,
P=2104 | X=0107.330-0189.750 | Y=0131.330-0142.570 | Đường nhựa đi ấp
P=2104 | X=0206.470-0352.280 | Y=0131.330-0142.570 | Thửa đất số 91, tờ bản đồ số 20
P=2104 | X=0092.900-0104.020 | Y=0138.970-0148.290 | 57
P=2104 | X=0382.940-0399.580 | Y=0138.970-0148.290 | 740
P=2104 | X=0430.250-0446.890 | Y=0138.970-0148.290 | 520
P=2104 | X=0505.390-0522.030 | Y=0138.970-0148.290 | 450
P=2104 | X=0206.470-0357.080 | Y=0142.850-0154.090 | tờ bản đồ số 20 (xưởng điều Thu
P=2104 | X=0107.330-0160.850 | Y=0144.730-0154.050 | Thanh Thủy
P=2104 | X=0282.340-0309.480 | Y=0154.370-0165.610 | Đoàn)
P=2104 | X=0107.330-0189.750 | Y=0172.370-0183.610 | Đường nhựa đi ấp
P=2104 | X=0206.470-0260.580 | Y=0172.370-0183.610 | Thửa đất số
P=2104 | X=0282.340-0371.350 | Y=0178.130-0189.370 | Hết Thửa đất số 77,
P=2104 | X=0206.470-0271.630 | Y=0183.650-0194.890 | 114, tờ bản đồ
P=2104 | X=0092.900-0190.950 | Y=0185.530-0194.850 | 58 Thanh Thủy (Cổng
P=2104 | X=0382.940-0399.580 | Y=0185.530-0194.850 | 600
P=2104 | X=0430.250-0446.890 | Y=0185.530-0194.850 | 420
P=2104 | X=0505.390-0522.030 | Y=0185.530-0194.850 | 360
P=2104 | X=0282.340-0352.280 | Y=0189.410-0200.650 | tờ bản đồ số 13
P=2104 | X=0107.330-0146.210 | Y=0195.170-0206.410 | chào ấp)
P=2104 | X=0206.470-0230.790 | Y=0197.050-0206.370 | số 13
P=2104 | X=0282.340-0367.970 | Y=0213.190-0224.430 | Hết thửa đất số 13,
P=2104 | X=0107.330-0179.190 | Y=0218.950-0230.190 | Đường nhựa ấp
P=2104 | X=0206.470-0260.580 | Y=0218.950-0230.190 | Thửa đất số
P=2104 | X=0282.340-0352.280 | Y=0224.710-0235.950 | tờ bản đồ số 11
P=2104 | X=0092.900-0189.270 | Y=0230.470-0241.710 | 59 Thanh Trung đi ấp
P=2104 | X=0206.470-0271.630 | Y=0230.470-0241.710 | 574, tờ bản đồ
P=2104 | X=0382.940-0399.580 | Y=0232.350-0241.670 | 540
P=2104 | X=0430.250-0446.890 | Y=0232.350-0241.670 | 380
P=2104 | X=0505.390-0522.030 | Y=0232.350-0241.670 | 320
P=2104 | X=0282.340-0357.560 | Y=0238.110-0247.430 | (Hết ranh thị trấn
P=2104 | X=0107.330-0149.350 | Y=0241.990-0253.230 | Thiện Cư
P=2104 | X=0206.470-0230.790 | Y=0243.870-0253.190 | số 11
P=2104 | X=0282.340-0357.670 | Y=0247.750-0258.990 | Thanh Bình (cũ))
P=2104 | X=0282.340-0356.850 | Y=0265.750-0276.990 | Trụ sở ấp Thanh
P=2104 | X=0107.330-0189.750 | Y=0277.270-0288.510 | Đường nhựa đi ấp
P=2104 | X=0282.340-0362.710 | Y=0277.270-0288.510 | Tâm (hết thửa đất
P=2104 | X=0206.470-0258.980 | Y=0279.150-0288.470 | Ngã ba Kiết
P=2104 | X=0092.900-0104.020 | Y=0284.940-0294.260 | 60
P=2104 | X=0382.940-0399.580 | Y=0284.940-0294.260 | 960
P=2104 | X=0430.250-0446.890 | Y=0284.940-0294.260 | 670
P=2104 | X=0505.390-0522.030 | Y=0284.940-0294.260 | 580
P=2104 | X=0107.330-0157.560 | Y=0288.820-0300.060 | Thanh Sơn
P=2104 | X=0282.340-0368.620 | Y=0288.820-0300.060 | số 42, tờ bản đồ số
P=2104 | X=0206.470-0228.630 | Y=0290.700-0300.020 | Lành
P=2104 | X=0282.340-0296.740 | Y=0302.220-0311.540 | 12)
P=2104 | X=0282.340-0351.320 | Y=0318.340-0329.580 | Hết thửa đất số
P=2104 | X=0107.330-0189.750 | Y=0324.100-0335.340 | Đường nhựa đi ấp
P=2104 | X=0206.470-0258.980 | Y=0325.980-0335.300 | Ngã ba Kiết
P=2104 | X=0282.340-0360.700 | Y=0329.860-0341.100 | 413, tờ bản đồ số
P=2104 | X=0092.900-0104.020 | Y=0331.740-0341.060 | 61
P=2104 | X=0382.940-0399.580 | Y=0331.740-0341.060 | 960
P=2104 | X=0430.250-0446.890 | Y=0331.740-0341.060 | 670
P=2104 | X=0505.390-0522.030 | Y=0331.740-0341.060 | 580
P=2104 | X=0107.330-0157.560 | Y=0335.620-0346.860 | Thanh Sơn
P=2104 | X=0206.470-0228.630 | Y=0337.500-0346.820 | Lành
P=2104 | X=0282.340-0293.460 | Y=0343.260-0352.580 | 11
P=2104 | X=0107.330-0185.440 | Y=0359.380-0370.620 | Các tuyến đường
P=2104 | X=0107.330-0199.840 | Y=0372.800-0382.120 | trong Khu quy hoạch
P=2104 | X=0092.900-0104.020 | Y=0378.560-0387.880 | 62
P=2104 | X=0206.470-0256.740 | Y=0378.560-0387.880 | Toàn tuyến
P=2104 | X=0374.780-0399.830 | Y=0378.560-0387.880 | 1.100
P=2104 | X=0430.250-0446.890 | Y=0378.560-0387.880 | 780
P=2104 | X=0505.390-0522.030 | Y=0378.560-0387.880 | 670
P=2104 | X=0107.330-0195.010 | Y=0382.200-0393.440 | song song Chu Văn
P=2104 | X=0107.330-0180.880 | Y=0395.600-0404.920 | An, Nguyễn Huệ
P=2104 | X=0107.330-0189.260 | Y=0411.720-0422.960 | Đường nhựa (Sao
P=2104 | X=0206.470-0367.970 | Y=0411.720-0422.960 | Đường Nguyễn Hết thửa đất số 01,
P=2104 | X=0092.900-0104.020 | Y=0419.360-0428.680 | 63
P=2104 | X=0382.940-0399.580 | Y=0419.360-0428.680 | 640
P=2104 | X=0430.250-0446.890 | Y=0419.360-0428.680 | 450
P=2104 | X=0505.390-0522.030 | Y=0419.360-0428.680 | 380
P=2104 | X=0282.340-0352.280 | Y=0423.240-0434.480 | tờ bản đồ số 45
P=2104 | X=0107.330-0130.850 | Y=0425.120-0434.440 | Biển)
P=2104 | X=0206.470-0224.790 | Y=0425.120-0434.440 | Huệ
P=2104 | X=0107.330-0194.780 | Y=0441.240-0452.480 | Đường bê tông bên
P=2104 | X=0206.470-0365.310 | Y=0447.000-0458.240 | Thửa đất số 01, Thửa đất số 37, tờ
P=2104 | X=0092.900-0196.370 | Y=0452.780-0464.020 | 64 hông Trường THCS
P=2104 | X=0382.940-0399.580 | Y=0454.660-0463.980 | 640
P=2104 | X=0430.250-0446.890 | Y=0454.660-0463.980 | 450
P=2104 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 380
P=2104 | X=0206.470-0340.040 | Y=0458.540-0469.780 | tờ bản đồ số 36 bản đồ số 36
P=2104 | X=0107.330-0159.240 | Y=0466.180-0475.500 | Thanh Bình
P=2104 | X=0107.330-0187.090 | Y=0482.300-0493.540 | Đường nhựa giáp
P=2104 | X=0092.900-0256.740 | Y=0495.700-0505.020 | 65 ranh Trụ Sở khối Mặt Toàn tuyến
P=2104 | X=0374.780-0399.830 | Y=0495.700-0505.020 | 1.900
P=2104 | X=0422.090-0447.140 | Y=0495.700-0505.020 | 1.300
P=2104 | X=0497.230-0522.280 | Y=0495.700-0505.020 | 1.200
P=2104 | X=0107.330-0174.390 | Y=0505.340-0516.580 | trận - Đoàn thể
P=2104 | X=0107.330-0192.380 | Y=0523.340-0534.580 | Tuyến đường song
P=2104 | X=0107.330-0205.840 | Y=0534.890-0546.130 | song giữa đường Chu
P=2104 | X=0092.900-0104.020 | Y=0542.530-0551.850 | 66
P=2104 | X=0206.470-0256.740 | Y=0542.530-0551.850 | Toàn tuyến
P=2104 | X=0374.780-0399.830 | Y=0542.530-0551.850 | 2.400
P=2104 | X=0422.090-0447.140 | Y=0542.530-0551.850 | 1.700
P=2104 | X=0497.230-0522.280 | Y=0542.530-0551.850 | 1.400
P=2104 | X=0107.330-0186.390 | Y=0546.410-0557.650 | Văn An và đường
P=2104 | X=0107.330-0161.880 | Y=0559.810-0569.130 | Nguyễn Trãi
P=2104 | X=0107.330-0193.590 | Y=0575.930-0587.170 | Các đường đấu nối
P=2104 | X=0107.330-0201.970 | Y=0587.450-0598.690 | giữa đường Chu Văn
P=2104 | X=0092.900-0104.020 | Y=0595.090-0604.410 | 67
P=2104 | X=0206.470-0256.740 | Y=0595.090-0604.410 | Toàn tuyến
P=2104 | X=0374.780-0399.830 | Y=0595.090-0604.410 | 2.400
P=2104 | X=0422.090-0447.140 | Y=0595.090-0604.410 | 1.700
P=2104 | X=0497.230-0522.280 | Y=0595.090-0604.410 | 1.400
P=2104 | X=0107.330-0202.950 | Y=0598.970-0610.210 | An và đường Nguyễn
P=2104 | X=0107.330-0124.680 | Y=0612.130-0621.450 | Trãi
P=2104 | X=0107.330-0193.590 | Y=0628.270-0639.510 | Các đường đấu nối
P=2104 | X=0107.330-0201.970 | Y=0639.790-0651.030 | giữa đường Chu Văn
P=2104 | X=0092.900-0104.020 | Y=0647.430-0656.750 | 68
