TABLE=074 | AREA=Xã Lộc Quang | SECTION=non-agricultural | SEGMENTS=1
P=2059 | X=0107.330-0177.080 | Y=0475.540-0484.860 | hóa thôn Tàu Ô
P=2059 | X=0239.140-0289.220 | Y=0475.540-0484.860 | thôn Tàu Ô
P=2059 | X=0309.240-0364.700 | Y=0479.420-0490.660 | bản đồ số 7)
P=2059 | X=0239.140-0298.760 | Y=0499.300-0508.620 | Từ hành lang
P=2059 | X=0239.140-0299.220 | Y=0508.940-0520.180 | lộ giới đường
P=2059 | X=0239.140-0287.700 | Y=0522.100-0531.420 | Quốc lộ 13
P=2059 | X=0107.330-0218.790 | Y=0525.980-0537.220 | Đường nhựa vào hồ Sen
P=2059 | X=0309.240-0365.980 | Y=0525.980-0537.220 | Ranh đường
P=2059 | X=0239.140-0279.870 | Y=0531.740-0542.980 | (thửa đất
P=2059 | X=0092.900-0104.020 | Y=0533.620-0542.940 | 82
P=2059 | X=0380.540-0405.590 | Y=0533.620-0542.940 | 1.800
P=2059 | X=0426.410-0451.460 | Y=0533.620-0542.940 | 1.300
P=2059 | X=0497.230-0522.280 | Y=0533.620-0542.940 | 1.100
P=2059 | X=0309.240-0335.950 | Y=0537.530-0548.770 | sắt cũ
P=2059 | X=0107.330-0133.570 | Y=0539.410-0548.730 | Trắng
P=2059 | X=0239.140-0307.140 | Y=0545.170-0554.490 | không tiếp giáp
P=2059 | X=0239.140-0306.680 | Y=0554.810-0566.050 | đường Quốc lộ
P=2059 | X=0239.140-0253.540 | Y=0568.210-0577.530 | 13)
P=2059 | X=0239.140-0298.760 | Y=0586.210-0595.530 | Từ hành lang
P=2059 | X=0239.140-0299.220 | Y=0595.850-0607.090 | lộ giới đường
P=2059 | X=0309.240-0367.900 | Y=0607.370-0618.610 | Đến hết thửa
P=2059 | X=0239.140-0287.700 | Y=0609.250-0618.570 | Quốc lộ 13
P=2059 | X=0107.330-0220.720 | Y=0613.130-0624.370 | Đường nhựa vào Trường
P=2059 | X=0239.140-0279.870 | Y=0618.910-0630.150 | (thửa đất
P=2059 | X=0309.240-0405.590 | Y=0618.910-0630.150 | đất số 229, tờ 1.600
P=2059 | X=0092.900-0104.020 | Y=0620.790-0630.110 | 83
P=2059 | X=0426.410-0451.460 | Y=0620.790-0630.110 | 1.100
P=2059 | X=0505.390-0522.030 | Y=0620.790-0630.110 | 970
P=2059 | X=0107.330-0198.020 | Y=0626.550-0635.870 | Tiểu học Tân Khai B
P=2059 | X=0239.140-0366.940 | Y=0630.430-0641.670 | không tiếp giáp bản đồ số 26
P=2059 | X=0239.140-0306.680 | Y=0641.950-0653.190 | đường Quốc lộ
P=2059 | X=0239.140-0253.540 | Y=0655.350-0664.670 | 13)
P=2059 | X=0107.330-0224.310 | Y=0671.470-0682.710 | Đường nhựa vào đập Bàu
P=2059 | X=0239.140-0295.380 | Y=0671.470-0682.710 | Ngã ba Đình
P=2059 | X=0309.240-0362.870 | Y=0673.350-0682.670 | Công ty cấp
P=2059 | X=0092.900-0104.020 | Y=0679.110-0688.430 | 84
P=2059 | X=0380.540-0405.590 | Y=0679.110-0688.430 | 1.400
P=2059 | X=0426.410-0451.460 | Y=0679.110-0688.430 | 1.000
P=2059 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 860
P=2059 | X=0309.240-0358.200 | Y=0682.750-0693.990 | thoát nước
P=2059 | X=0107.330-0122.930 | Y=0684.630-0693.950 | Úm
P=2059 | X=0239.140-0258.660 | Y=0684.630-0693.950 | thần
P=2059 | X=0092.900-0279.700 | Y=0700.770-0712.010 | 85 Đường nhựa vào cầu Huyện Ngã năm
P=2059 | X=0309.240-0366.680 | Y=0702.660-0711.980 | Giáp ranh xã
P=2059 | X=0380.540-0405.590 | Y=0702.660-0711.980 | 1.700
P=2059 | X=0426.410-0451.460 | Y=0702.660-0711.980 | 1.200
P=2059 | X=0497.230-0522.280 | Y=0702.660-0711.980 | 1.000
P=2060 | X=0107.330-0117.890 | Y=0072.740-0083.980 | ủy
P=2060 | X=0309.240-0353.950 | Y=0074.620-0083.940 | Tân Quan
P=2060 | X=0107.330-0218.060 | Y=0090.740-0101.980 | Đường nhựa tổ 2, thôn 2
P=2060 | X=0239.140-0361.100 | Y=0090.740-0101.980 | Đường Quốc lộ Đường Bắc
P=2060 | X=0092.900-0104.020 | Y=0098.380-0107.700 | 86
P=2060 | X=0380.540-0405.590 | Y=0098.380-0107.700 | 2.300
P=2060 | X=0426.410-0451.460 | Y=0098.380-0107.700 | 1.600
P=2060 | X=0497.230-0522.280 | Y=0098.380-0107.700 | 1.400
P=2060 | X=0107.330-0146.930 | Y=0104.140-0113.460 | (tuyến 1)
P=2060 | X=0239.140-0250.260 | Y=0104.140-0113.460 | 13
P=2060 | X=0309.240-0344.590 | Y=0104.140-0113.460 | Nam 12
P=2060 | X=0107.330-0361.100 | Y=0120.290-0131.530 | Đường nhựa tổ 1 -2, thôn 2 Đường Quốc lộ Đường Bắc
P=2060 | X=0092.900-0104.020 | Y=0127.930-0137.250 | 87
P=2060 | X=0380.540-0405.590 | Y=0127.930-0137.250 | 2.300
P=2060 | X=0426.410-0451.460 | Y=0127.930-0137.250 | 1.600
P=2060 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 1.400
P=2060 | X=0107.330-0146.930 | Y=0133.690-0143.010 | (tuyến 2)
P=2060 | X=0239.140-0250.260 | Y=0133.690-0143.010 | 13
P=2060 | X=0309.240-0344.590 | Y=0133.690-0143.010 | Nam 12
P=2060 | X=0239.140-0361.100 | Y=0149.810-0161.050 | Đường Quốc lộ Đường Bắc
P=2060 | X=0092.900-0195.960 | Y=0155.570-0166.810 | 88 Đường nhựa thôn 1
P=2060 | X=0380.540-0405.590 | Y=0157.450-0166.770 | 2.300
P=2060 | X=0426.410-0451.460 | Y=0157.450-0166.770 | 1.600
P=2060 | X=0497.230-0522.280 | Y=0157.450-0166.770 | 1.400
P=2060 | X=0239.140-0250.260 | Y=0163.210-0172.530 | 13
P=2060 | X=0309.240-0344.590 | Y=0163.210-0172.530 | Nam 12
P=2060 | X=0239.140-0291.350 | Y=0181.210-0190.530 | Ngã ba chợ
P=2060 | X=0309.240-0367.160 | Y=0185.090-0196.330 | Đến hết ranh
P=2060 | X=0239.140-0295.560 | Y=0192.730-0202.050 | Tân Hiệp (từ
P=2060 | X=0309.240-0376.630 | Y=0196.610-0207.850 | thửa đất số 27,
P=2060 | X=0092.900-0152.540 | Y=0202.390-0213.630 | 89 Đường xã
P=2060 | X=0239.140-0306.530 | Y=0202.390-0213.630 | thửa đất số 60,
P=2060 | X=0380.540-0405.590 | Y=0204.270-0213.590 | 1.500
P=2060 | X=0426.410-0451.450 | Y=0204.270-0213.590 | 1.100
P=2060 | X=0505.390-0522.030 | Y=0204.270-0213.590 | 920
P=2060 | X=0309.240-0365.260 | Y=0207.910-0219.150 | tờ bản đồ số
P=2060 | X=0239.140-0295.160 | Y=0213.670-0224.910 | tờ bản đồ số
P=2060 | X=0309.240-0320.360 | Y=0221.310-0230.630 | 81
P=2060 | X=0239.140-0253.540 | Y=0227.070-0236.390 | 82)
P=2060 | X=0239.140-0291.540 | Y=0245.070-0254.390 | Từ hết ranh
P=2060 | X=0239.140-0306.530 | Y=0254.710-0265.950 | thửa đất số 27,
P=2060 | X=0092.900-0152.540 | Y=0260.470-0271.710 | 90 Đường xã
P=2060 | X=0309.240-0405.590 | Y=0260.470-0271.710 | Ngã tư quận 1 1.100
P=2060 | X=0434.570-0451.210 | Y=0262.350-0271.670 | 760
P=2060 | X=0505.390-0522.030 | Y=0262.350-0271.670 | 650
P=2060 | X=0239.140-0295.160 | Y=0266.230-0277.470 | tờ bản đồ số
P=2060 | X=0239.140-0250.260 | Y=0279.630-0288.950 | 81
P=2060 | X=0107.330-0230.210 | Y=0295.780-0307.020 | Đường giao thông phía Tây
P=2060 | X=0239.140-0294.430 | Y=0301.540-0312.780 | Ngã tư cổng
P=2060 | X=0309.240-0353.240 | Y=0303.420-0312.740 | Giáp ranh
P=2060 | X=0107.330-0215.900 | Y=0307.300-0318.540 | Quốc lộ 13 kết nối Chơn
P=2060 | X=0239.140-0296.580 | Y=0313.060-0324.300 | Nông trường
P=2060 | X=0309.240-0369.320 | Y=0313.060-0324.300 | phường Minh
P=2060 | X=0092.900-0104.020 | Y=0314.940-0324.260 | 91
P=2060 | X=0380.540-0405.590 | Y=0314.940-0324.260 | 4.500
P=2060 | X=0426.410-0451.460 | Y=0314.940-0324.260 | 3.200
P=2060 | X=0497.230-0522.280 | Y=0314.940-0324.260 | 2.700
P=2060 | X=0107.330-0231.820 | Y=0318.820-0330.060 | Thành - Hoa Lư (Đường ĐT
P=2060 | X=0309.240-0334.280 | Y=0324.580-0335.820 | Hưng
P=2060 | X=0239.140-0255.780 | Y=0326.460-0335.780 | 425
P=2060 | X=0107.330-0133.980 | Y=0332.220-0341.540 | 752B)
P=2060 | X=0309.240-0359.950 | Y=0348.340-0359.580 | Ngã tư Tân
P=2060 | X=0107.330-0230.210 | Y=0359.860-0371.100 | Đường giao thông phía Tây
P=2060 | X=0309.240-0366.060 | Y=0361.740-0371.060 | Lập thứ nhất
P=2060 | X=0239.140-0294.430 | Y=0365.640-0376.880 | Ngã tư cổng
P=2060 | X=0107.330-0215.900 | Y=0371.400-0382.640 | Quốc lộ 13 kết nối Chơn
P=2060 | X=0309.240-0368.840 | Y=0371.400-0382.640 | (đến hết ranh
P=2060 | X=0239.140-0296.580 | Y=0377.160-0388.400 | Nông trường
P=2060 | X=0092.900-0104.020 | Y=0379.040-0388.360 | 92
P=2060 | X=0380.540-0405.590 | Y=0379.040-0388.360 | 1.800
P=2060 | X=0426.410-0451.460 | Y=0379.040-0388.360 | 1.300
P=2060 | X=0497.230-0522.280 | Y=0379.040-0388.360 | 1.100
P=2060 | X=0107.330-0231.820 | Y=0382.920-0394.160 | Thành - Hoa Lư (Đường ĐT
P=2060 | X=0309.240-0376.630 | Y=0382.920-0394.160 | thửa đất số 73,
P=2060 | X=0239.140-0255.780 | Y=0390.560-0399.880 | 425
P=2060 | X=0309.240-0365.260 | Y=0394.200-0405.440 | tờ bản đồ số
P=2060 | X=0107.330-0136.850 | Y=0396.080-0405.400 | 75 2B)
P=2060 | X=0309.240-0323.640 | Y=0407.600-0416.920 | 73)
P=2060 | X=0239.140-0289.850 | Y=0423.720-0434.960 | Ngã tư Tân
P=2060 | X=0107.330-0230.210 | Y=0435.240-0446.480 | Đường giao thông phía Tây
P=2060 | X=0239.140-0295.960 | Y=0437.120-0446.440 | Lập thứ nhất
P=2060 | X=0107.330-0215.900 | Y=0446.760-0458.000 | Quốc lộ 13 kết nối Chơn
P=2060 | X=0239.140-0291.540 | Y=0448.640-0457.960 | (từ hết ranh
P=2060 | X=0309.240-0366.680 | Y=0448.640-0457.960 | Giáp ranh xã
P=2060 | X=0092.900-0104.020 | Y=0454.420-0463.740 | 93
P=2060 | X=0380.540-0405.590 | Y=0454.420-0463.740 | 1.600
P=2060 | X=0426.410-0451.460 | Y=0454.420-0463.740 | 1.100
P=2060 | X=0505.390-0522.030 | Y=0454.420-0463.740 | 970
P=2060 | X=0107.330-0231.820 | Y=0458.300-0469.540 | Thành - Hoa Lư (Đường ĐT
P=2060 | X=0239.140-0352.920 | Y=0458.300-0469.540 | thửa đất số 73, Minh Đức
P=2060 | X=0239.140-0295.160 | Y=0469.820-0481.060 | tờ bản đồ số
P=2060 | X=0107.330-0133.980 | Y=0471.700-0481.020 | 752B)
P=2060 | X=0239.140-0253.540 | Y=0483.220-0492.540 | 73)
P=2060 | X=0239.140-0298.760 | Y=0501.220-0510.540 | Từ hành lang
P=2060 | X=0239.140-0299.220 | Y=0510.860-0522.100 | lộ giới đường
P=2060 | X=0309.240-0367.900 | Y=0516.620-0527.860 | Đến hết thửa
P=2060 | X=0239.140-0306.200 | Y=0522.380-0533.620 | ĐT 756C (thửa
P=2060 | X=0107.330-0229.010 | Y=0524.260-0533.580 | Tuyến số 1 thuộc trung tâm
P=2060 | X=0309.240-0405.590 | Y=0528.140-0539.380 | đất số 253, tờ 1.000
P=2060 | X=0092.900-0104.020 | Y=0530.020-0539.340 | 94
P=2060 | X=0434.570-0451.210 | Y=0530.020-0539.340 | 700
P=2060 | X=0505.390-0522.030 | Y=0530.020-0539.340 | 600
P=2060 | X=0107.330-0220.390 | Y=0533.930-0545.170 | hành chính Tân Hiệp (cũ)
P=2060 | X=0239.140-0302.120 | Y=0533.930-0545.170 | đất không tiếp
P=2060 | X=0309.240-0366.940 | Y=0539.690-0550.930 | bản đồ số 81
P=2060 | X=0239.140-0306.970 | Y=0545.450-0556.690 | giáp đường ĐT
P=2060 | X=0239.140-0266.250 | Y=0558.850-0568.170 | 756C)
P=2060 | X=0239.140-0367.900 | Y=0574.970-0586.210 | Từ thửa đất số Đến hết thửa
P=2060 | X=0107.330-0229.010 | Y=0582.370-0591.690 | Tuyến số 2 thuộc trung tâm
P=2060 | X=0239.140-0405.590 | Y=0586.250-0597.490 | 97, tờ bản đồ đất số 235, tờ 1.000
P=2060 | X=0092.900-0104.020 | Y=0588.130-0597.450 | 95
P=2060 | X=0434.570-0451.210 | Y=0588.130-0597.450 | 700
P=2060 | X=0505.390-0522.030 | Y=0588.130-0597.450 | 600
P=2060 | X=0107.330-0220.390 | Y=0592.010-0603.250 | hành chính Tân Hiệp (cũ)
P=2060 | X=0309.240-0366.940 | Y=0597.770-0609.010 | bản đồ số 81
P=2060 | X=0239.140-0263.460 | Y=0599.650-0608.970 | số 82
P=2060 | X=0107.330-0223.950 | Y=0615.770-0627.010 | Đường nhựa đi Trung tâm
P=2060 | X=0309.240-0366.680 | Y=0617.650-0626.970 | Giáp ranh xã
P=2060 | X=0239.140-0303.300 | Y=0621.550-0632.790 | Ngã tư quận 1
P=2060 | X=0092.900-0104.020 | Y=0623.430-0632.750 | 96
P=2060 | X=0388.700-0405.340 | Y=0623.430-0632.750 | 810
P=2060 | X=0434.570-0451.210 | Y=0623.430-0632.750 | 570
P=2060 | X=0505.390-0522.030 | Y=0623.430-0632.750 | 490
P=2060 | X=0309.240-0352.920 | Y=0627.310-0638.550 | Minh Đức
P=2060 | X=0107.330-0212.550 | Y=0629.190-0638.510 | bảo trợ xã hội Tân Hiệp
P=2060 | X=0309.240-0376.540 | Y=0647.190-0656.510 | Cổng Nông trại
P=2060 | X=0092.900-0214.910 | Y=0651.070-0662.310 | 97 Đường nhựa đi Phú Gia
P=2060 | X=0239.140-0303.300 | Y=0651.070-0662.310 | Ngã tư quận 1
P=2060 | X=0388.700-0405.340 | Y=0652.950-0662.270 | 810
P=2060 | X=0434.570-0451.210 | Y=0652.950-0662.270 | 570
P=2060 | X=0505.390-0522.030 | Y=0652.950-0662.270 | 490
P=2060 | X=0309.240-0345.540 | Y=0658.710-0668.030 | Phú Gia
P=2060 | X=0107.330-0218.760 | Y=0674.830-0686.070 | Đường nhựa đi thôn Bàu
P=2060 | X=0309.240-0366.210 | Y=0674.830-0686.070 | Nhà văn hóa
P=2060 | X=0239.140-0303.300 | Y=0680.590-0691.830 | Ngã tư quận 1
P=2060 | X=0092.900-0104.020 | Y=0682.470-0691.790 | 98
P=2060 | X=0388.700-0405.340 | Y=0682.470-0691.790 | 810
P=2060 | X=0434.570-0451.210 | Y=0682.470-0691.790 | 570
P=2060 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 490
P=2060 | X=0107.330-0231.420 | Y=0686.350-0697.590 | Lùng (đường do xã quản lý)
P=2060 | X=0309.240-0374.370 | Y=0688.230-0697.550 | thôn Bàu Lùng
P=2060 | X=0092.900-0221.900 | Y=0704.370-0715.610 | 99 Đường bê tông trục chính
P=2060 | X=0239.140-0367.160 | Y=0704.370-0715.610 | Từ thửa đất số Đến hết ranh
P=2060 | X=0388.700-0405.340 | Y=0706.260-0715.580 | 500
P=2060 | X=0434.570-0451.210 | Y=0706.260-0715.580 | 350
P=2060 | X=0505.390-0522.030 | Y=0706.260-0715.580 | 300
P=2061 | X=0239.140-0359.980 | Y=0072.740-0083.980 | 449, tờ bản đồ thửa đất số
P=2061 | X=0107.330-0177.030 | Y=0074.620-0083.940 | thôn Tân hiệp 1
P=2061 | X=0309.240-0374.390 | Y=0084.260-0095.500 | 200, tờ bản đồ
P=2061 | X=0239.140-0263.460 | Y=0086.140-0095.460 | số 81
P=2061 | X=0309.240-0333.560 | Y=0097.660-0106.980 | số 85
P=2061 | X=0239.140-0287.060 | Y=0113.780-0125.020 | Đường ĐT
P=2061 | X=0309.240-0367.160 | Y=0113.780-0125.020 | Đến hết ranh
P=2061 | X=0107.330-0221.900 | Y=0125.330-0136.570 | Đường bê tông trục chính
P=2061 | X=0239.140-0363.340 | Y=0125.330-0136.570 | 756C (từ thửa Thửa đất số
P=2061 | X=0090.020-0106.660 | Y=0132.970-0142.290 | 100
P=2061 | X=0388.700-0405.340 | Y=0132.970-0142.290 | 500
P=2061 | X=0434.570-0451.210 | Y=0132.970-0142.290 | 350
P=2061 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 300
P=2061 | X=0239.140-0374.380 | Y=0136.850-0148.090 | đất số 379, tờ 297, tờ bản đồ
P=2061 | X=0107.330-0177.030 | Y=0138.730-0148.050 | thôn Tân hiệp 5
P=2061 | X=0239.140-0333.560 | Y=0148.370-0159.610 | bản đồ số 81) số 64
P=2061 | X=0309.240-0377.740 | Y=0166.370-0177.610 | Đường nhựa đi
P=2061 | X=0239.140-0287.060 | Y=0172.130-0183.370 | Đường ĐT
P=2061 | X=0309.240-0368.380 | Y=0177.650-0188.890 | Phú Gia (đến
P=2061 | X=0107.330-0221.900 | Y=0183.410-0194.650 | Đường bê tông trục chính
P=2061 | X=0239.140-0302.360 | Y=0185.290-0194.610 | 756C (từ thửa
P=2061 | X=0090.020-0106.660 | Y=0191.050-0200.370 | 101
P=2061 | X=0309.240-0369.590 | Y=0191.050-0200.370 | hết ranh thửa
P=2061 | X=0388.700-0405.340 | Y=0191.050-0200.370 | 500
P=2061 | X=0434.570-0451.210 | Y=0191.050-0200.370 | 350
P=2061 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 300
P=2061 | X=0239.140-0295.190 | Y=0194.930-0206.170 | đất số 17, tờ
P=2061 | X=0107.330-0133.080 | Y=0196.810-0206.130 | Sóc 5
P=2061 | X=0309.240-0365.310 | Y=0200.710-0211.950 | đất số 39, tờ
P=2061 | X=0239.140-0300.100 | Y=0206.470-0217.710 | bản đồ số 88)
P=2061 | X=0309.240-0370.220 | Y=0212.230-0223.470 | bản đồ số 78)
P=2061 | X=0309.240-0357.160 | Y=0230.230-0241.470 | Đường ĐT
P=2061 | X=0239.140-0287.060 | Y=0235.990-0247.230 | Đường ĐT
P=2061 | X=0309.240-0372.550 | Y=0241.750-0252.990 | 756C (đến hết
P=2061 | X=0107.330-0302.360 | Y=0247.510-0258.750 | Đường liên thôn Tân Hiệp 1 - 756C (từ thửa
P=2061 | X=0309.240-0369.430 | Y=0253.270-0264.510 | ranh thửa đất
P=2061 | X=0090.020-0106.660 | Y=0255.150-0264.470 | 102
P=2061 | X=0388.700-0405.340 | Y=0255.150-0264.470 | 500
P=2061 | X=0434.570-0451.210 | Y=0255.150-0264.470 | 350
P=2061 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 300
P=2061 | X=0239.140-0295.190 | Y=0259.030-0270.270 | đất số 68, tờ
P=2061 | X=0107.330-0156.610 | Y=0260.910-0270.230 | Tân Hiệp 5
P=2061 | X=0309.240-0368.380 | Y=0266.670-0275.990 | số 64, tờ bản
P=2061 | X=0239.140-0300.100 | Y=0270.550-0281.790 | bản đồ số 63)
P=2061 | X=0309.240-0350.760 | Y=0276.310-0287.550 | đồ số 84)
P=2061 | X=0309.240-0361.630 | Y=0296.220-0305.540 | Nhà ông Tô
P=2061 | X=0309.240-0376.550 | Y=0305.860-0317.100 | Duy Hùng (đến
P=2061 | X=0239.140-0304.290 | Y=0311.620-0322.860 | Ngã ba đường
P=2061 | X=0090.020-0234.160 | Y=0317.380-0328.620 | 103 Đường nhựa thôn Đồng Tân
P=2061 | X=0309.240-0369.590 | Y=0319.260-0328.580 | hết ranh thửa
P=2061 | X=0388.700-0405.340 | Y=0319.260-0328.580 | 900
P=2061 | X=0434.570-0451.210 | Y=0319.260-0328.580 | 630
P=2061 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 540
P=2061 | X=0239.140-0279.290 | Y=0323.140-0334.380 | ĐT 756C
P=2061 | X=0309.240-0365.310 | Y=0328.900-0340.140 | đất số 16, tờ
P=2061 | X=0309.240-0370.220 | Y=0340.180-0351.420 | bản đồ số 68)
P=2061 | X=0239.140-0291.530 | Y=0360.060-0369.380 | Nhà ông Tô
P=2061 | X=0239.140-0299.430 | Y=0371.600-0380.920 | Duy Hùng (từ
P=2061 | X=0309.240-0366.680 | Y=0377.360-0386.680 | Giáp ranh xã
P=2061 | X=0090.020-0299.490 | Y=0381.240-0392.480 | 104 Đường nhựa thôn Đồng Tân hết ranh thửa
P=2061 | X=0388.700-0405.340 | Y=0383.120-0392.440 | 720
P=2061 | X=0434.570-0451.210 | Y=0383.120-0392.440 | 500
P=2061 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 430
P=2061 | X=0309.240-0352.920 | Y=0387.000-0398.240 | Minh Đức
P=2061 | X=0239.140-0295.190 | Y=0392.760-0404.000 | đất số 16, tờ
P=2061 | X=0239.140-0300.100 | Y=0404.280-0415.520 | bản đồ số 68)
P=2061 | X=0309.240-0367.160 | Y=0422.280-0433.520 | Đến hết ranh
P=2061 | X=0239.140-0305.480 | Y=0428.040-0439.280 | Từ thửa đất số
P=2061 | X=0107.330-0230.840 | Y=0433.800-0445.040 | Đường nhựa từ ngã ba chợ
P=2061 | X=0309.240-0359.980 | Y=0433.800-0445.040 | thửa đất số
P=2061 | X=0239.140-0304.290 | Y=0439.560-0450.800 | 359, tờ bản đồ
P=2061 | X=0090.020-0106.660 | Y=0441.440-0450.760 | 105
P=2061 | X=0380.540-0405.590 | Y=0441.440-0450.760 | 1.500
P=2061 | X=0426.410-0451.460 | Y=0441.440-0450.760 | 1.100
P=2061 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 920
P=2061 | X=0107.330-0208.870 | Y=0445.320-0456.560 | Đồng Nơ đến ngã năm
P=2061 | X=0309.240-0374.390 | Y=0445.320-0456.560 | 323, tờ bản đồ
P=2061 | X=0239.140-0263.460 | Y=0452.980-0462.300 | số 95
P=2061 | X=0309.240-0333.560 | Y=0458.740-0468.060 | số 95
P=2061 | X=0309.240-0367.160 | Y=0474.860-0486.100 | Đến hết ranh
P=2061 | X=0239.140-0305.480 | Y=0480.620-0491.860 | Từ thửa đất số
P=2061 | X=0107.330-0230.600 | Y=0486.380-0497.620 | Đường nhựa thôn Đồng Nơ
P=2061 | X=0309.240-0359.980 | Y=0486.380-0497.620 | thửa đất số
P=2061 | X=0239.140-0306.440 | Y=0492.140-0503.380 | 8, tờ bản đồ số
P=2061 | X=0090.020-0106.690 | Y=0494.020-0503.340 | 106
P=2061 | X=0388.700-0405.340 | Y=0494.020-0503.340 | 540
P=2061 | X=0434.570-0451.210 | Y=0494.020-0503.340 | 380
P=2061 | X=0505.390-0522.030 | Y=0494.020-0503.340 | 320
P=2061 | X=0309.240-0374.390 | Y=0497.900-0509.140 | 105, tờ bản đồ
P=2061 | X=0107.330-0112.930 | Y=0499.780-0509.100 | 4
P=2061 | X=0239.140-0250.260 | Y=0505.540-0514.860 | 90
P=2061 | X=0309.240-0333.560 | Y=0511.300-0520.620 | số 90
P=2061 | X=0107.330-0229.830 | Y=0527.420-0538.660 | Các tuyến Đường nhựa, bê
P=2061 | X=0107.330-0237.510 | Y=0538.970-0550.210 | tông có độ rộng từ 3m trở lên
P=2061 | X=0090.020-0106.660 | Y=0546.370-0555.690 | 107
P=2061 | X=0239.140-0289.380 | Y=0546.370-0555.690 | Toàn tuyến
P=2061 | X=0388.700-0405.340 | Y=0546.370-0555.690 | 630
P=2061 | X=0434.570-0451.210 | Y=0546.370-0555.690 | 440
P=2061 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 380
P=2061 | X=0107.330-0228.170 | Y=0552.130-0561.450 | tại các thôn: 1, 2, 3, Tàu Ô,
P=2061 | X=0107.330-0135.470 | Y=0563.650-0572.970 | 5, 6, 7
P=2061 | X=0107.330-0230.100 | Y=0579.770-0591.010 | Các tuyến đường còn lại tại
P=2061 | X=0090.020-0289.380 | Y=0593.170-0602.490 | 108 các thôn: 1, 2, 3, Tàu Ô, 5, 6, Toàn tuyến
P=2061 | X=0388.700-0405.340 | Y=0593.170-0602.490 | 540
P=2061 | X=0434.570-0451.210 | Y=0593.170-0602.490 | 380
P=2061 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 320
P=2061 | X=0107.330-0112.930 | Y=0604.690-0614.010 | 7
P=2061 | X=0107.330-0235.820 | Y=0620.830-0632.070 | Đường giao thông nông thôn
P=2061 | X=0107.330-0228.420 | Y=0632.350-0643.590 | có độ rộng từ 3m trở lên tại
P=2061 | X=0107.330-0229.120 | Y=0643.870-0655.110 | các thôn: Đồng Nơ 1, Đồng
P=2061 | X=0107.330-0229.880 | Y=0655.390-0666.630 | Nơ 2, Đồng Nơ 3, Đồng Nơ
P=2061 | X=0090.020-0106.660 | Y=0663.030-0672.350 | 109
P=2061 | X=0239.140-0289.380 | Y=0663.030-0672.350 | Toàn tuyến
P=2061 | X=0388.700-0405.340 | Y=0663.030-0672.350 | 450
P=2061 | X=0434.570-0451.210 | Y=0663.030-0672.350 | 320
P=2061 | X=0505.390-0522.030 | Y=0663.030-0672.350 | 270
P=2061 | X=0107.330-0219.600 | Y=0666.910-0678.150 | 4, Đông Nơ 5, Đồng Tân,
P=2061 | X=0107.330-0233.660 | Y=0680.310-0689.630 | Tân Hiệp 1, Tân Hiệp 2, Tân
P=2061 | X=0107.330-0237.060 | Y=0691.830-0701.150 | Hiệp 3, Tân Hiệp 4, Tân Hiệp
P=2061 | X=0107.330-0233.820 | Y=0703.380-0712.700 | 5, Bàu Lùng, Tân lập và Sóc
P=2062 | X=0107.330-0112.930 | Y=0074.620-0083.940 | 5
P=2062 | X=0107.330-0230.100 | Y=0090.740-0101.980 | Các tuyến đường còn lại tại
P=2062 | X=0107.330-0229.120 | Y=0102.260-0113.500 | các thôn: Đồng Nơ 1, Đồng
P=2062 | X=0107.330-0229.880 | Y=0113.780-0125.020 | Nơ 2, Đồng Nơ 3, Đồng Nơ
P=2062 | X=0107.330-0219.600 | Y=0125.330-0136.570 | 4, Đồng Nơ 5, Đồng Tân,
P=2062 | X=0090.020-0106.660 | Y=0132.970-0142.290 | 110
P=2062 | X=0239.140-0289.380 | Y=0132.970-0142.290 | Toàn tuyến
P=2062 | X=0388.700-0405.340 | Y=0132.970-0142.290 | 360
P=2062 | X=0434.570-0451.210 | Y=0132.970-0142.290 | 250
P=2062 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 220
P=2062 | X=0107.330-0233.660 | Y=0138.730-0148.050 | Tân Hiệp 1, Tân Hiệp 2, Tân
P=2062 | X=0107.330-0237.060 | Y=0150.250-0159.570 | Hiệp 3, Tân Hiệp 4, Tân Hiệp
P=2062 | X=0107.330-0233.830 | Y=0161.530-0170.850 | 5, Bàu Lùng, Tân lập và Sóc
P=2062 | X=0107.330-0112.930 | Y=0173.050-0182.370 | 5
P=2062 | X=0107.330-0230.400 | Y=0188.930-0200.170 | Khu dân cư tại khu phố 1,
P=2062 | X=0107.330-0207.600 | Y=0200.470-0211.710 | thị trấn Tân Khai (cũ)
P=2062 | X=0090.020-0201.950 | Y=0218.710-0229.950 | 111 Đường D1, D4 và N4
