TABLE=062 | AREA=Phường An Lộc | SECTION=non-agricultural | SEGMENTS=1
P=1993 | X=0179.110-0263.660 | Y=0640.270-0651.510 | Đường Nhà máy xi
P=1993 | X=0092.900-0173.630 | Y=0646.030-0657.270 | 59 Đường TLT 43
P=1993 | X=0284.260-0350.580 | Y=0646.030-0657.270 | Đường TLT 27
P=1993 | X=0381.020-0397.660 | Y=0647.910-0657.230 | 650
P=1993 | X=0428.570-0445.210 | Y=0647.910-0657.230 | 450
P=1993 | X=0505.390-0522.030 | Y=0647.910-0657.230 | 390
P=1993 | X=0179.110-0204.390 | Y=0651.790-0663.030 | măng
P=1993 | X=0090.020-0245.410 | Y=0669.790-0681.030 | 160 Đường TLT 45 Đường TLT 46
P=1993 | X=0284.260-0346.030 | Y=0669.790-0681.030 | Đường TPT 2
P=1993 | X=0381.020-0397.660 | Y=0671.670-0680.990 | 530
P=1993 | X=0428.570-0445.210 | Y=0671.670-0680.990 | 370
P=1993 | X=0505.390-0522.030 | Y=0671.670-0680.990 | 320
P=1993 | X=0284.260-0352.940 | Y=0689.670-0698.990 | Khu bãi rác QH
P=1993 | X=0090.020-0245.410 | Y=0693.550-0704.790 | 161 Đường TLT 46 Đường TLT 29
P=1993 | X=0381.020-0397.660 | Y=0695.430-0704.750 | 530
P=1993 | X=0428.570-0445.210 | Y=0695.430-0704.750 | 370
P=1993 | X=0505.390-0522.030 | Y=0695.430-0704.750 | 320
P=1993 | X=0284.260-0357.210 | Y=0699.310-0710.550 | (Đường TLT 64)
P=1994 | X=0090.020-0239.880 | Y=0078.740-0089.980 | 162 Đường TLT 47 Đường TLT 5
P=1994 | X=0284.260-0350.580 | Y=0078.740-0089.980 | Đường TLT 46
P=1994 | X=0381.020-0397.660 | Y=0080.620-0089.940 | 610
P=1994 | X=0428.570-0445.210 | Y=0080.620-0089.940 | 430
P=1994 | X=0505.390-0522.030 | Y=0080.620-0089.940 | 360
P=1994 | X=0090.020-0245.410 | Y=0096.740-0107.980 | 163 Đường TLT 49 Đường TLT 73
P=1994 | X=0284.260-0347.710 | Y=0096.740-0107.980 | Đường TLT51
P=1994 | X=0381.020-0397.660 | Y=0098.620-0107.940 | 530
P=1994 | X=0428.570-0445.210 | Y=0098.620-0107.940 | 370
P=1994 | X=0505.390-0522.030 | Y=0098.620-0107.940 | 320
P=1994 | X=0284.260-0353.300 | Y=0114.770-0126.010 | Đường TLT 32,
P=1994 | X=0090.020-0245.410 | Y=0126.290-0137.530 | 164 Đường TLT 50 Hường TLT 46
P=1994 | X=0284.260-0348.910 | Y=0128.170-0137.490 | ranh xã Thanh
P=1994 | X=0381.020-0397.660 | Y=0128.170-0137.490 | 530
P=1994 | X=0428.570-0445.210 | Y=0128.170-0137.490 | 370
P=1994 | X=0505.390-0522.030 | Y=0128.170-0137.490 | 320
P=1994 | X=0284.260-0302.100 | Y=0139.690-0149.010 | Phú
P=1994 | X=0284.260-0350.580 | Y=0155.810-0167.050 | Đường TLT 49
P=1994 | X=0090.020-0245.410 | Y=0167.330-0178.570 | 165 Đường TLT 51 Đường TLT 31
P=1994 | X=0284.260-0362.370 | Y=0167.330-0178.570 | (nông trường cao
P=1994 | X=0381.020-0397.660 | Y=0169.210-0178.530 | 610
P=1994 | X=0428.570-0445.210 | Y=0169.210-0178.530 | 430
P=1994 | X=0505.390-0522.030 | Y=0169.210-0178.530 | 360
P=1994 | X=0284.260-0297.940 | Y=0180.730-0190.050 | su)
P=1994 | X=0090.020-0245.410 | Y=0196.850-0208.090 | 166 Đường TLT 52 Đường TLT 36
P=1994 | X=0284.260-0345.550 | Y=0198.730-0208.050 | Suối Tà Nùng
P=1994 | X=0381.020-0397.660 | Y=0198.730-0208.050 | 610
P=1994 | X=0428.570-0445.210 | Y=0198.730-0208.050 | 430
P=1994 | X=0505.390-0522.030 | Y=0198.730-0208.050 | 360
P=1994 | X=0284.260-0360.530 | Y=0214.870-0226.110 | Thửa đất số 526,
P=1994 | X=0090.020-0239.880 | Y=0220.630-0231.870 | 167 Đường TLT 53 Đường TLT 2
P=1994 | X=0381.020-0397.660 | Y=0222.510-0231.830 | 650
P=1994 | X=0428.570-0445.210 | Y=0222.510-0231.830 | 450
P=1994 | X=0505.390-0522.030 | Y=0222.510-0231.830 | 390
P=1994 | X=0284.260-0354.200 | Y=0226.390-0237.630 | tờ bản đồ số 04
P=1994 | X=0284.260-0343.250 | Y=0246.270-0255.590 | Suối cạn (hết
P=1994 | X=0179.110-0275.780 | Y=0249.910-0261.150 | Đường sắt (tờ BĐ 60,
P=1994 | X=0090.020-0173.630 | Y=0255.670-0266.910 | 168 Đường TLT 54
P=1994 | X=0284.260-0363.870 | Y=0255.670-0266.910 | thửa đất số 57, tờ
P=1994 | X=0381.020-0397.660 | Y=0257.550-0266.870 | 650
P=1994 | X=0428.570-0445.210 | Y=0257.550-0266.870 | 450
P=1994 | X=0505.390-0522.030 | Y=0257.550-0266.870 | 390
P=1994 | X=0179.110-0217.030 | Y=0263.310-0272.630 | thửa 67)
P=1994 | X=0284.260-0345.240 | Y=0267.190-0278.430 | bản đồ số 60)
P=1994 | X=0284.260-0346.250 | Y=0287.100-0296.420 | Ranh xã Minh
P=1994 | X=0090.020-0245.410 | Y=0290.980-0302.220 | 169 Đường TLT 55 Đường TLT 46
P=1994 | X=0381.020-0397.660 | Y=0292.860-0302.180 | 650
P=1994 | X=0428.570-0445.210 | Y=0292.860-0302.180 | 450
P=1994 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 390
P=1994 | X=0284.260-0303.240 | Y=0296.740-0307.980 | Đức
P=1994 | X=0090.020-0245.410 | Y=0314.740-0325.980 | 170 Đường TLT 56 Đường TLT 55
P=1994 | X=0284.260-0350.580 | Y=0314.740-0325.980 | Đường TLT 57
P=1994 | X=0381.020-0397.660 | Y=0316.620-0325.940 | 530
P=1994 | X=0428.570-0445.210 | Y=0316.620-0325.940 | 370
P=1994 | X=0505.390-0522.030 | Y=0316.620-0325.940 | 320
P=1994 | X=0284.260-0340.680 | Y=0334.620-0343.940 | Ranh xã Lộc
P=1994 | X=0090.020-0245.410 | Y=0338.500-0349.740 | 171 Đường TLT 57 Đường TLT 55
P=1994 | X=0381.020-0397.660 | Y=0340.380-0349.700 | 530
P=1994 | X=0428.570-0445.210 | Y=0340.380-0349.700 | 370
P=1994 | X=0505.390-0522.030 | Y=0340.380-0349.700 | 320
P=1994 | X=0284.260-0312.670 | Y=0346.140-0355.460 | Thành
P=1994 | X=0179.110-0274.930 | Y=0362.260-0373.500 | Đường TLT 55 lõ cao
P=1994 | X=0090.020-0173.630 | Y=0368.040-0379.280 | 172 Đường TLT 58
P=1994 | X=0284.260-0350.580 | Y=0368.040-0379.280 | Đường TLT 59
P=1994 | X=0381.020-0397.660 | Y=0369.920-0379.240 | 530
P=1994 | X=0428.570-0445.210 | Y=0369.920-0379.240 | 370
P=1994 | X=0505.390-0522.030 | Y=0369.920-0379.240 | 320
P=1994 | X=0179.110-0189.510 | Y=0375.680-0385.000 | su
P=1994 | X=0179.110-0347.560 | Y=0391.800-0403.040 | Lô cao su (hết thửa đất Lô cao su (hết
P=1994 | X=0090.020-0360.990 | Y=0403.320-0414.560 | 173 Đường TLT 59 số 207, tờ bản đồ số thửa đồ số 51, tờ
P=1994 | X=0381.020-0397.660 | Y=0405.200-0414.520 | 530
P=1994 | X=0428.570-0445.210 | Y=0405.200-0414.520 | 370
P=1994 | X=0505.390-0522.030 | Y=0405.200-0414.520 | 320
P=1994 | X=0284.260-0345.240 | Y=0414.840-0426.080 | bản đồ số 41)
P=1994 | X=0179.110-0193.510 | Y=0416.720-0426.040 | 41)
P=1994 | X=0090.020-0245.410 | Y=0432.840-0444.080 | 174 Đường TLT 60 Đường TLT 55
P=1994 | X=0284.260-0350.580 | Y=0432.840-0444.080 | Đường TLT 57
P=1994 | X=0381.020-0397.660 | Y=0434.720-0444.040 | 530
P=1994 | X=0428.570-0445.210 | Y=0434.720-0444.040 | 370
P=1994 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 320
P=1994 | X=0284.260-0353.970 | Y=0452.740-0462.060 | Hết tuyến (thửa
P=1994 | X=0179.110-0263.660 | Y=0456.620-0467.860 | Đường Nhà máy xi
P=1994 | X=0090.020-0173.630 | Y=0462.380-0473.620 | 175 Đường TLT 64
P=1994 | X=0284.260-0359.980 | Y=0462.380-0473.620 | đất số 73, tờ bản
P=1994 | X=0381.020-0397.660 | Y=0464.260-0473.580 | 530
P=1994 | X=0428.570-0445.210 | Y=0464.260-0473.580 | 370
P=1994 | X=0505.390-0522.030 | Y=0464.260-0473.580 | 320
P=1994 | X=0179.110-0204.390 | Y=0468.140-0479.380 | măng
P=1994 | X=0284.260-0325.800 | Y=0473.900-0485.140 | đồ số 57)
P=1994 | X=0284.260-0340.680 | Y=0493.780-0503.100 | Ranh xã Lộc
P=1994 | X=0090.020-0245.410 | Y=0497.660-0508.900 | 176 Đường TLT 65 Đường TLT 55
P=1994 | X=0381.020-0397.660 | Y=0499.540-0508.860 | 530
P=1994 | X=0428.570-0445.210 | Y=0499.540-0508.860 | 370
P=1994 | X=0505.390-0522.030 | Y=0499.540-0508.860 | 320
P=1994 | X=0284.260-0312.670 | Y=0505.300-0514.620 | Thành
P=1994 | X=0284.260-0353.970 | Y=0523.300-0532.620 | Hết tuyến (thửa
P=1994 | X=0090.020-0249.060 | Y=0532.970-0544.210 | 177 Đường TLT 66 Đường băng tải
P=1994 | X=0284.260-0359.980 | Y=0532.970-0544.210 | đất số 22, tờ bản
P=1994 | X=0381.020-0397.660 | Y=0534.850-0544.170 | 650
P=1994 | X=0428.570-0445.210 | Y=0534.850-0544.170 | 450
P=1994 | X=0505.390-0522.030 | Y=0534.850-0544.170 | 390
P=1994 | X=0284.260-0325.800 | Y=0544.250-0555.490 | đồ số 72)
P=1994 | X=0284.260-0352.750 | Y=0564.130-0573.450 | Ranh xã Thanh
P=1994 | X=0284.260-0351.800 | Y=0573.770-0585.010 | Phú (cũ), (thửa
P=1994 | X=0090.020-0245.410 | Y=0579.530-0590.770 | 178 Đường TLT 67 Đường TLT 55
P=1994 | X=0381.020-0397.660 | Y=0581.410-0590.730 | 530
P=1994 | X=0428.570-0445.210 | Y=0581.410-0590.730 | 370
P=1994 | X=0505.390-0522.030 | Y=0581.410-0590.730 | 320
P=1994 | X=0284.260-0359.980 | Y=0585.290-0596.530 | đất số 77, tờ bản
P=1994 | X=0284.260-0325.800 | Y=0596.810-0608.050 | đồ số 38)
P=1994 | X=0090.020-0245.410 | Y=0614.810-0626.050 | 179 Đường TLT 68 Đường TLT 67
P=1994 | X=0284.260-0350.580 | Y=0614.810-0626.050 | Đường TLT 45
P=1994 | X=0381.020-0397.660 | Y=0616.690-0626.010 | 530
P=1994 | X=0428.570-0445.210 | Y=0616.690-0626.010 | 370
P=1994 | X=0505.390-0522.030 | Y=0616.690-0626.010 | 320
P=1994 | X=0090.020-0239.880 | Y=0632.830-0644.070 | 180 Đường TLT 69 Đường TLT 5
P=1994 | X=0284.260-0350.580 | Y=0632.830-0644.070 | Đường TLT 27
P=1994 | X=0381.020-0397.660 | Y=0634.710-0644.030 | 650
P=1994 | X=0428.570-0445.210 | Y=0634.710-0644.030 | 450
P=1994 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 390
P=1994 | X=0179.110-0263.660 | Y=0650.830-0662.070 | Đường Nhà máy xi
P=1994 | X=0090.020-0173.630 | Y=0656.590-0667.830 | 181 Đường TLT 70
P=1994 | X=0284.260-0350.580 | Y=0656.590-0667.830 | Đường TLT 44
P=1994 | X=0381.020-0397.660 | Y=0658.470-0667.790 | 650
P=1994 | X=0428.570-0445.210 | Y=0658.470-0667.790 | 450
P=1994 | X=0505.390-0522.030 | Y=0658.470-0667.790 | 390
P=1994 | X=0179.110-0204.390 | Y=0662.350-0673.590 | măng
P=1994 | X=0284.260-0353.240 | Y=0680.350-0691.590 | Hết thửa đất số
P=1994 | X=0090.020-0245.410 | Y=0691.870-0703.110 | 182 Đường TLT 71 Đường TLT 24
P=1994 | X=0284.260-0362.620 | Y=0691.870-0703.110 | 154, tờ bản đồ số
P=1994 | X=0381.020-0397.660 | Y=0693.750-0703.070 | 650
P=1994 | X=0428.570-0445.210 | Y=0693.750-0703.070 | 450
P=1994 | X=0505.390-0522.030 | Y=0693.750-0703.070 | 390
P=1994 | X=0284.260-0295.380 | Y=0705.300-0714.620 | 48
P=1995 | X=0090.020-0245.410 | Y=0078.740-0089.980 | 183 Đường TLT 73 Đường TLT 32
P=1995 | X=0284.260-0346.030 | Y=0078.740-0089.980 | Đường TPT 2
P=1995 | X=0381.020-0397.660 | Y=0080.620-0089.940 | 530
P=1995 | X=0428.570-0445.210 | Y=0080.620-0089.940 | 370
P=1995 | X=0505.390-0522.030 | Y=0080.620-0089.940 | 320
P=1995 | X=0090.020-0274.260 | Y=0096.740-0107.980 | 184 Các tuyến đường rộng từ 07m trở lên
P=1995 | X=0381.020-0397.660 | Y=0098.620-0107.940 | 970
P=1995 | X=0428.570-0445.210 | Y=0098.620-0107.940 | 680
P=1995 | X=0505.390-0522.030 | Y=0098.620-0107.940 | 580
P=1995 | X=0107.330-0360.200 | Y=0114.770-0126.010 | Các đường Nội bộ trong khu phố, khu phố thuộc phường
P=1995 | X=0107.330-0347.570 | Y=0126.290-0137.530 | Phú Thịnh (cũ) (nay là Khu phố: Phú Hòa, Phú Thuận,
P=1995 | X=0090.020-0340.360 | Y=0137.810-0149.050 | 185 Phú Hưng, Phú Xuân) chưa có tên đường và có mặt
P=1995 | X=0381.020-0397.660 | Y=0139.690-0149.010 | 970
P=1995 | X=0428.570-0445.210 | Y=0139.690-0149.010 | 680
P=1995 | X=0505.390-0522.030 | Y=0139.690-0149.010 | 580
P=1995 | X=0107.330-0364.790 | Y=0149.330-0160.570 | đường hiện hữu (theo bản đồ chính quy) rộng từ 03m đến
P=1995 | X=0107.330-0275.860 | Y=0160.850-0172.090 | dưới 07m. Đường mới mở 07m - 10m
P=1995 | X=0107.330-0360.200 | Y=0178.850-0190.090 | Các đường Nội bộ trong khu phố, khu phố thuộc phường
P=1995 | X=0107.330-0345.890 | Y=0190.370-0201.610 | Phú Thịnh (cũ) (nay là khu phố: Phú Hòa, Phú Thuận,
P=1995 | X=0107.330-0344.920 | Y=0201.670-0212.910 | Phú Hưng, Phú Xuân) không có tên đường và có mặt
P=1995 | X=0090.020-0106.660 | Y=0209.310-0218.630 | 186
P=1995 | X=0381.020-0397.660 | Y=0209.310-0218.630 | 730
P=1995 | X=0428.570-0445.210 | Y=0209.310-0218.630 | 510
P=1995 | X=0505.390-0522.030 | Y=0209.310-0218.630 | 440
P=1995 | X=0107.330-0359.800 | Y=0213.190-0224.430 | đường hiện hữu (theo bản đồ chính quy) rộng dưới 03m;
P=1995 | X=0107.330-0362.590 | Y=0224.710-0235.950 | các thửa đất không giáp đường đi chung; các thửa đất có
P=1995 | X=0107.330-0251.170 | Y=0236.230-0247.470 | đường đi mới theo các lô cao su
P=1995 | X=0107.330-0349.860 | Y=0254.230-0265.470 | Các tuyến đường bê tông từ 3,5m đến dưới 07m (theo
P=1995 | X=0090.020-0106.660 | Y=0261.870-0271.190 | 187
P=1995 | X=0381.020-0397.660 | Y=0261.870-0271.190 | 810
P=1995 | X=0428.570-0445.210 | Y=0261.870-0271.190 | 570
P=1995 | X=0505.390-0522.030 | Y=0261.870-0271.190 | 490
P=1995 | X=0107.330-0187.490 | Y=0265.750-0276.990 | bản đồ chính quy)
P=1995 | X=0107.330-0338.680 | Y=0283.780-0295.020 | Các tuyến đường, tuyến hẻm còn lại có bề rộng mặt
P=1995 | X=0090.020-0361.950 | Y=0295.300-0306.540 | 188 đường theo bản đồ chính quy nhỏ hơn 3,5m thuộc các tờ
P=1995 | X=0381.020-0397.660 | Y=0297.180-0306.500 | 730
P=1995 | X=0428.570-0445.210 | Y=0297.180-0306.500 | 510
P=1995 | X=0505.390-0522.030 | Y=0297.180-0306.500 | 440
P=1995 | X=0107.330-0271.060 | Y=0306.820-0318.060 | bản đồ số 6, 7, 12, 13, 19, 26, 27, 33
P=1995 | X=0107.330-0338.680 | Y=0324.820-0336.060 | Các tuyến đường, tuyến hẻm còn lại có bề rộng mặt
P=1995 | X=0090.020-0361.950 | Y=0336.340-0347.580 | 189 đường theo bản đồ chính quy nhỏ hơn 3,5m thuộc các tờ
P=1995 | X=0381.020-0397.660 | Y=0338.220-0347.540 | 570
P=1995 | X=0428.570-0445.210 | Y=0338.220-0347.540 | 400
P=1995 | X=0505.390-0522.030 | Y=0338.220-0347.540 | 340
P=1995 | X=0107.330-0169.590 | Y=0347.860-0359.100 | bản đồ còn lại
P=1995 | X=0090.020-0216.870 | Y=0365.880-0377.120 | 190 Các tuyến đường còn lại
P=1995 | X=0381.020-0397.660 | Y=0367.760-0377.080 | 410
P=1995 | X=0428.570-0445.210 | Y=0367.760-0377.080 | 280
P=1995 | X=0505.390-0522.030 | Y=0367.760-0377.080 | 240
