TABLE=070 | AREA=Xã Lộc Thành | SECTION=non-agricultural | SEGMENTS=1
P=2044 | X=0102.770-0163.570 | Y=0074.620-0083.940 | xã Lộc Thành
P=2044 | X=0264.580-0286.980 | Y=0074.620-0083.940 | Kliêu
P=2044 | X=0201.190-0335.710 | Y=0090.740-0101.980 | Nhà văn hóa Ngã ba nhà ông
P=2044 | X=0090.500-0166.950 | Y=0096.500-0107.740 | 23 Đường liên ấp
P=2044 | X=0353.880-0370.520 | Y=0098.380-0107.700 | 410
P=2044 | X=0407.180-0423.820 | Y=0098.380-0107.700 | 280
P=2044 | X=0505.390-0522.030 | Y=0098.380-0107.700 | 240
P=2044 | X=0201.190-0240.860 | Y=0102.260-0113.500 | ấp KLiêu
P=2044 | X=0264.580-0318.660 | Y=0104.140-0113.460 | Lâm Kh Lao
P=2044 | X=0201.190-0252.880 | Y=0122.170-0131.490 | Ngã ba nhà
P=2044 | X=0264.580-0321.960 | Y=0127.930-0137.250 | Trại heo Huy
P=2044 | X=0090.500-0166.950 | Y=0131.810-0143.050 | 24 Đường liên ấp
P=2044 | X=0201.190-0255.280 | Y=0133.690-0143.010 | ông Lâm Kh
P=2044 | X=0353.880-0370.520 | Y=0133.690-0143.010 | 360
P=2044 | X=0407.180-0423.820 | Y=0133.690-0143.010 | 250
P=2044 | X=0505.390-0522.030 | Y=0133.690-0143.010 | 220
P=2044 | X=0264.580-0339.940 | Y=0139.450-0148.770 | Anh (Lộc Ninh 5)
P=2044 | X=0201.190-0217.830 | Y=0145.210-0154.530 | Lao
P=2044 | X=0201.190-0258.160 | Y=0161.330-0172.570 | Nhà văn hóa
P=2044 | X=0090.500-0166.950 | Y=0167.090-0178.330 | 25 Đường liên ấp
P=2044 | X=0264.580-0338.590 | Y=0167.090-0178.330 | Đập nước Tà Tê
P=2044 | X=0353.880-0370.520 | Y=0168.970-0178.290 | 410
P=2044 | X=0407.180-0423.820 | Y=0168.970-0178.290 | 280
P=2044 | X=0505.390-0522.030 | Y=0168.970-0178.290 | 240
P=2044 | X=0201.190-0249.720 | Y=0172.850-0184.090 | ấp Tà Tê 1
P=2044 | X=0201.190-0335.330 | Y=0190.850-0202.090 | Ngã ba nhà Thửa đất số 63,
P=2044 | X=0090.500-0166.950 | Y=0202.390-0213.630 | 26 Đường liên ấp
P=2044 | X=0201.190-0334.520 | Y=0202.390-0213.630 | ông Mã Hữu 65 tờ bản đồ số
P=2044 | X=0353.880-0370.520 | Y=0204.270-0213.590 | 360
P=2044 | X=0407.180-0423.820 | Y=0204.270-0213.590 | 250
P=2044 | X=0505.390-0522.030 | Y=0204.270-0213.590 | 220
P=2044 | X=0201.190-0212.950 | Y=0215.550-0224.870 | Kỳ
P=2044 | X=0264.580-0275.700 | Y=0215.550-0224.870 | 37
P=2044 | X=0264.580-0338.600 | Y=0231.670-0242.910 | Giáp Đường liên
P=2044 | X=0201.190-0251.680 | Y=0237.430-0248.670 | Xưởng đũa
P=2044 | X=0090.500-0166.950 | Y=0243.190-0254.430 | 27 Đường liên ấp
P=2044 | X=0264.580-0333.790 | Y=0243.190-0254.430 | ấp Tà Tê 1 - Tà
P=2044 | X=0353.880-0370.520 | Y=0245.070-0254.390 | 360
P=2044 | X=0407.180-0423.820 | Y=0245.070-0254.390 | 250
P=2044 | X=0505.390-0522.030 | Y=0245.070-0254.390 | 220
P=2044 | X=0201.190-0232.940 | Y=0250.830-0260.150 | Lộc Hà
P=2044 | X=0264.580-0284.810 | Y=0256.590-0265.910 | Tê 2
P=2044 | X=0264.580-0333.800 | Y=0272.710-0283.950 | Đường Quốc lộ
P=2044 | X=0102.770-0260.810 | Y=0278.470-0289.710 | Đường liên ấp Tà Tê Đập nước Tà
P=2044 | X=0264.580-0319.170 | Y=0284.260-0295.500 | 14C (đường
P=2044 | X=0090.500-0101.620 | Y=0286.140-0295.460 | 28
P=2044 | X=0353.880-0370.520 | Y=0286.140-0295.460 | 360
P=2044 | X=0407.180-0423.820 | Y=0286.140-0295.460 | 250
P=2044 | X=0505.390-0522.030 | Y=0286.140-0295.460 | 220
P=2044 | X=0102.770-0108.370 | Y=0291.900-0301.220 | 2
P=2044 | X=0201.190-0221.420 | Y=0291.900-0301.220 | Tê 2
P=2044 | X=0264.580-0305.630 | Y=0297.660-0306.980 | Xuyên Á)
P=2044 | X=0102.770-0166.950 | Y=0313.780-0325.020 | Đường liên ấp
P=2044 | X=0264.580-0313.140 | Y=0313.780-0325.020 | Đội 4 nông
P=2044 | X=0201.190-0263.460 | Y=0319.540-0330.780 | Cổng chào ấp
P=2044 | X=0090.500-0199.110 | Y=0325.300-0336.540 | 29 (đường cổng chào ấp
P=2044 | X=0264.580-0327.310 | Y=0325.300-0336.540 | trường cao su
P=2044 | X=0353.880-0370.520 | Y=0327.180-0336.500 | 360
P=2044 | X=0407.180-0423.820 | Y=0327.180-0336.500 | 250
P=2044 | X=0505.390-0522.030 | Y=0327.180-0336.500 | 220
P=2044 | X=0201.190-0250.450 | Y=0332.940-0342.260 | Tân Bình 1
P=2044 | X=0102.770-0155.310 | Y=0338.700-0348.020 | Tân Bình 1)
P=2044 | X=0264.580-0304.240 | Y=0338.700-0348.020 | Lộc Ninh
P=2044 | X=0201.190-0255.150 | Y=0356.700-0366.020 | Thửa số 05,
P=2044 | X=0102.770-0180.850 | Y=0360.580-0371.820 | Đường nhựa Tân
P=2044 | X=0264.580-0330.730 | Y=0362.460-0371.780 | Thửa số 24, tờ
P=2044 | X=0201.190-0257.220 | Y=0366.360-0377.600 | tờ bản đồ số
P=2044 | X=0090.500-0101.620 | Y=0368.240-0377.560 | 30
P=2044 | X=0353.880-0370.520 | Y=0368.240-0377.560 | 570
