TABLE=071 | AREA=Xã Lộc Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2046 | X=0102.770-0210.790 | Y=0307.300-0318.540 | trực tiếp ra đường Quốc
P=2046 | X=0102.770-0341.460 | Y=0318.820-0330.060 | lộ 13 trong phạm vi 200m Ngã tư Đồng Giáp ranh xã
P=2046 | X=0090.500-0101.620 | Y=0326.460-0335.780 | 26
P=2046 | X=0370.700-0387.340 | Y=0326.460-0335.780 | 770
P=2046 | X=0420.410-0437.050 | Y=0326.460-0335.780 | 540
P=2046 | X=0505.390-0522.030 | Y=0326.460-0335.780 | 460
P=2046 | X=0284.020-0342.580 | Y=0330.340-0341.580 | Lộc Thái (cũ)
P=2046 | X=0102.770-0239.100 | Y=0332.220-0341.540 | (tính từ HLLG) - trừ các Tâm
P=2046 | X=0102.770-0213.010 | Y=0341.860-0353.100 | tuyến đường đã có trong
P=2046 | X=0102.770-0141.250 | Y=0355.260-0364.580 | bảng giá
P=2046 | X=0102.770-0216.150 | Y=0371.400-0382.640 | Các tuyến đường đấu nối
P=2046 | X=0102.770-0201.830 | Y=0382.920-0394.160 | trực tiếp ra Đường ĐT
P=2046 | X=0102.770-0276.670 | Y=0394.200-0405.440 | 754 trong phạm vi 200m Ngã tư Đồng
P=2046 | X=0090.500-0101.620 | Y=0401.840-0411.160 | 27
P=2046 | X=0284.020-0323.960 | Y=0401.840-0411.160 | Cầu số 1
P=2046 | X=0370.700-0387.340 | Y=0401.840-0411.160 | 610
P=2046 | X=0420.410-0437.050 | Y=0401.840-0411.160 | 430
P=2046 | X=0505.390-0522.030 | Y=0401.840-0411.160 | 370
P=2046 | X=0102.770-0239.100 | Y=0407.600-0416.920 | (tính từ HLLG) - trừ các Tâm
P=2046 | X=0102.770-0213.010 | Y=0417.240-0428.480 | tuyến đường đã có trong
P=2046 | X=0102.770-0141.250 | Y=0430.640-0439.960 | bảng giá
P=2046 | X=0102.770-0216.150 | Y=0446.760-0458.000 | Các tuyến đường đấu nối
P=2046 | X=0102.770-0201.830 | Y=0458.300-0469.540 | trực tiếp ra Đường ĐT
P=2046 | X=0102.770-0210.540 | Y=0471.700-0481.020 | 754 trong phạm vi 200m
P=2046 | X=0284.020-0341.460 | Y=0471.700-0481.020 | Giáp ranh xã
P=2046 | X=0090.500-0101.620 | Y=0477.460-0486.780 | 28
P=2046 | X=0219.190-0259.140 | Y=0477.460-0486.780 | Cầu số 1
P=2046 | X=0370.700-0387.340 | Y=0477.460-0486.780 | 570
P=2046 | X=0420.410-0437.050 | Y=0477.460-0486.780 | 400
P=2046 | X=0505.390-0522.030 | Y=0477.460-0486.780 | 340
P=2046 | X=0102.770-0210.790 | Y=0483.220-0492.540 | (tính từ HLLG) - Trừ các
P=2046 | X=0284.020-0348.120 | Y=0483.220-0492.540 | Lộc Thịnh (cũ)
P=2046 | X=0102.770-0213.010 | Y=0492.860-0504.100 | tuyến đường đã có trong
P=2046 | X=0102.770-0141.250 | Y=0506.260-0515.580 | bảng giá
P=2046 | X=0102.770-0355.100 | Y=0522.380-0533.620 | Các tuyến đường giao thông nông thôn có mặt đường từ
P=2046 | X=0090.500-0101.620 | Y=0530.020-0539.340 | 29
P=2046 | X=0370.700-0387.340 | Y=0530.020-0539.340 | 360
P=2046 | X=0420.410-0437.050 | Y=0530.020-0539.340 | 250
P=2046 | X=0505.390-0522.030 | Y=0530.020-0539.340 | 220
P=2046 | X=0102.770-0156.850 | Y=0535.810-0545.130 | 3,5m trở lên
P=2046 | X=0090.500-0212.310 | Y=0551.930-0563.170 | 30 Các tuyến đường còn lại
P=2046 | X=0370.700-0387.340 | Y=0553.810-0563.130 | 270
P=2046 | X=0420.410-0437.050 | Y=0553.810-0563.130 | 190
P=2046 | X=0505.390-0522.030 | Y=0553.810-0563.130 | 160
