TABLE=028 | AREA=Xã Xuân Phú | SECTION=non-agricultural | SEGMENTS=1
P=1022 | X=0106.850-0338.400 | Y=0565.610-0576.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1022 | X=0106.850-0360.140 | Y=0583.130-0594.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1022 | X=0106.850-0201.800 | Y=0594.650-0605.890 | >500m đến ≤1.000m.
P=1022 | X=0106.850-0330.020 | Y=0612.170-0623.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1022 | X=0106.850-0378.710 | Y=0629.950-0641.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình
P=1022 | X=0106.850-0371.590 | Y=0641.470-0652.710 | Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất
P=1022 | X=0106.850-0365.260 | Y=0652.750-0663.990 | số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất số
P=1022 | X=0092.900-0380.610 | Y=0664.270-0678.590 | 25 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=1022 | X=0402.140-0418.780 | Y=0669.270-0678.590 | 530
P=1022 | X=0438.410-0455.050 | Y=0669.270-0678.590 | 370
P=1022 | X=0505.630-0522.270 | Y=0669.270-0678.590 | 320
P=1022 | X=0106.850-0242.600 | Y=0675.790-0687.030 | đường nhựa, bê tông xi măng:
P=1022 | X=0106.850-0347.960 | Y=0693.310-0704.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1022 | X=0106.850-0148.990 | Y=0706.740-0716.060 | >1.000m.
P=1023 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1023 | X=0106.850-0380.360 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1023 | X=0106.850-0378.070 | Y=0107.780-0119.020 | ra Đường Bình Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết
P=1023 | X=0106.850-0374.840 | Y=0119.330-0130.570 | ranh thửa đất số 18, tờ BĐĐC số 28 về bên phải và hết ranh
