TABLE=067 | AREA=Xã Đồng Tâm | SECTION=non-agricultural | SEGMENTS=1
P=2032 | X=0090.020-0106.660 | Y=0473.860-0483.180 | 103
P=2032 | X=0252.340-0302.600 | Y=0473.860-0483.180 | Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0473.860-0483.180 | 1.300
P=2032 | X=0467.210-0483.850 | Y=0473.860-0483.180 | 890
P=2032 | X=0505.390-0522.030 | Y=0473.860-0483.180 | 770
P=2032 | X=0107.330-0199.580 | Y=0477.740-0488.980 | Đường Hùng Vương
P=2032 | X=0342.360-0398.230 | Y=0495.740-0506.980 | Hết thửa đất
P=2032 | X=0252.340-0333.810 | Y=0501.500-0512.740 | Thửa đất số 73 và
P=2032 | X=0342.360-0393.590 | Y=0509.140-0518.460 | số 79 và số
P=2032 | X=0090.020-0188.070 | Y=0513.020-0524.260 | 104 Đường tuyến số 1
P=2032 | X=0252.340-0330.930 | Y=0513.020-0524.260 | số 369, tờ bản đồ
P=2032 | X=0412.460-0437.510 | Y=0514.900-0524.220 | 1.300
P=2032 | X=0467.210-0483.850 | Y=0514.900-0524.220 | 890
P=2032 | X=0505.390-0522.030 | Y=0514.900-0524.220 | 770
P=2032 | X=0342.360-0407.510 | Y=0518.780-0530.020 | 256, tờ bản đồ
P=2032 | X=0252.340-0282.180 | Y=0526.420-0535.740 | số 176
P=2032 | X=0342.360-0372.220 | Y=0532.180-0541.500 | số 205
P=2032 | X=0342.360-0401.590 | Y=0548.330-0559.570 | Hết Thửa đất
P=2032 | X=0342.360-0393.580 | Y=0561.730-0571.050 | số 36 và số
P=2032 | X=0090.020-0188.070 | Y=0565.610-0576.850 | 105 Đường tuyến số 2
P=2032 | X=0252.340-0319.620 | Y=0565.610-0576.850 | Đường ĐT 741
P=2032 | X=0412.460-0437.510 | Y=0567.490-0576.810 | 1.500
P=2032 | X=0459.050-0484.100 | Y=0567.490-0576.810 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0567.490-0576.810 | 920
P=2032 | X=0342.360-0401.990 | Y=0571.370-0582.610 | 70, tờ bản đồ
P=2032 | X=0342.360-0372.220 | Y=0584.770-0594.090 | số 231
P=2032 | X=0342.360-0401.590 | Y=0600.890-0612.130 | Hết Thửa đất
P=2032 | X=0252.340-0337.010 | Y=0606.650-0617.890 | Tiếp giáp Thửa đất
P=2032 | X=0342.360-0404.710 | Y=0614.290-0623.610 | số 29 và số 5,
P=2032 | X=0090.020-0188.070 | Y=0618.190-0629.430 | 106 Đường tuyến số 2
P=2032 | X=0252.340-0332.410 | Y=0620.070-0629.390 | số 36 và số 70, tờ
P=2032 | X=0412.460-0437.510 | Y=0620.070-0629.390 | 1.300
P=2032 | X=0467.210-0483.850 | Y=0620.070-0629.390 | 890
P=2032 | X=0505.390-0522.030 | Y=0620.070-0629.390 | 770
P=2032 | X=0342.360-0398.380 | Y=0623.950-0635.190 | tờ bản đồ số
P=2032 | X=0252.340-0315.560 | Y=0629.710-0640.950 | bản đồ số 231
P=2032 | X=0342.360-0359.000 | Y=0637.350-0646.670 | 183
P=2032 | X=0342.360-0404.390 | Y=0655.350-0664.670 | Hết ranh thửa
P=2032 | X=0252.340-0398.430 | Y=0664.750-0675.990 | Đường Cách Mạng đất số 39, tờ
P=2032 | X=0090.020-0188.070 | Y=0676.270-0687.510 | 107 Đường tuyến số 3
P=2032 | X=0252.340-0437.510 | Y=0676.270-0687.510 | Tháng Tám (Đường bản đồ số 63 2.600
P=2032 | X=0459.050-0484.100 | Y=0678.150-0687.470 | 1.800
P=2032 | X=0497.230-0522.280 | Y=0678.150-0687.470 | 1.500
P=2032 | X=0252.340-0288.570 | Y=0687.790-0699.030 | ĐT 741)
P=2032 | X=0342.360-0409.660 | Y=0687.790-0699.030 | và Thửa đất số
P=2032 | X=0342.360-0407.510 | Y=0699.310-0710.550 | 393, tờ bản đồ
P=2033 | X=0342.360-0366.700 | Y=0074.620-0083.940 | số 61
P=2033 | X=0252.340-0331.490 | Y=0090.740-0101.980 | Từ ranh Thửa đất
P=2033 | X=0252.340-0338.600 | Y=0102.260-0113.500 | số 39, tờ bản đồ số
P=2033 | X=0342.360-0399.800 | Y=0109.900-0119.220 | Giáp ranh xã
P=2033 | X=0090.020-0188.070 | Y=0113.780-0125.020 | 108 Đường tuyến số 3
P=2033 | X=0252.340-0333.560 | Y=0113.780-0125.020 | 63 và Thửa đất số
P=2033 | X=0412.460-0437.510 | Y=0115.660-0124.980 | 1.700
P=2033 | X=0459.050-0484.100 | Y=0115.660-0124.980 | 1.200
P=2033 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 1.000
P=2033 | X=0342.360-0395.500 | Y=0119.570-0130.810 | Tân Tiến cũ
P=2033 | X=0252.340-0330.680 | Y=0125.330-0136.570 | 393, tờ bản đồ số
P=2033 | X=0252.340-0263.460 | Y=0138.730-0148.050 | 61
P=2033 | X=0342.360-0402.060 | Y=0156.730-0166.050 | Cầu Suối Rạt
P=2033 | X=0252.340-0323.640 | Y=0160.610-0171.850 | Đất Ban quản lý
P=2033 | X=0342.360-0399.910 | Y=0166.370-0177.610 | (hết thửa đất
P=2033 | X=0252.340-0319.880 | Y=0174.010-0183.330 | khu kinh tế tỉnh
P=2033 | X=0090.020-0188.070 | Y=0177.650-0188.890 | 109 Đường tuyến số 3
P=2033 | X=0342.360-0437.510 | Y=0179.530-0188.850 | số 307 và số 1.500
P=2033 | X=0459.050-0484.100 | Y=0179.530-0188.850 | 1.100
P=2033 | X=0505.390-0522.030 | Y=0179.530-0188.850 | 920
P=2033 | X=0252.340-0332.560 | Y=0185.290-0194.610 | quản lý (giáp ranh
P=2033 | X=0342.360-0407.510 | Y=0189.170-0200.410 | 242, tờ bản đồ
P=2033 | X=0252.340-0340.410 | Y=0194.930-0206.170 | thị trấn Tân Phú cũ)
P=2033 | X=0342.360-0375.500 | Y=0202.590-0211.910 | số 116)
P=2033 | X=0342.360-0399.800 | Y=0220.590-0229.910 | Giáp ranh xã
P=2033 | X=0252.340-0396.780 | Y=0232.110-0241.430 | Cầu Suối Rạt (thửa Tân Lợi (hết
P=2033 | X=0252.340-0320.370 | Y=0241.750-0252.990 | đất số 87 và số
P=2033 | X=0342.360-0396.460 | Y=0241.750-0252.990 | Thửa đất số
P=2033 | X=0090.020-0188.070 | Y=0247.510-0258.750 | 110 Đường tuyến số 3
P=2033 | X=0412.460-0437.510 | Y=0249.390-0258.710 | 1.300
P=2033 | X=0467.210-0483.850 | Y=0249.390-0258.710 | 890
P=2033 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 770
P=2033 | X=0252.340-0402.310 | Y=0253.270-0264.510 | 245, tờ bản đồ số 26 và số 111,
P=2033 | X=0342.360-0398.380 | Y=0264.790-0276.030 | tờ bản đồ số
P=2033 | X=0252.340-0272.260 | Y=0266.670-0275.990 | 136)
P=2033 | X=0342.360-0362.280 | Y=0278.190-0287.510 | 138)
P=2033 | X=0252.340-0338.130 | Y=0294.340-0305.580 | Đường Cách Mạng
P=2033 | X=0107.330-0244.710 | Y=0300.100-0311.340 | Đường tuyến số 4 (Tổ 34, thôn
P=2033 | X=0342.360-0395.980 | Y=0300.100-0311.340 | Đường điện
P=2033 | X=0252.340-0341.490 | Y=0305.860-0317.100 | Tháng Tám (Đường
P=2033 | X=0090.020-0106.660 | Y=0307.740-0317.060 | 111
P=2033 | X=0412.460-0437.510 | Y=0307.740-0317.060 | 2.600
P=2033 | X=0459.050-0484.100 | Y=0307.740-0317.060 | 1.800
P=2033 | X=0497.230-0522.280 | Y=0307.740-0317.060 | 1.500
P=2033 | X=0107.330-0156.290 | Y=0313.500-0322.820 | Thắng Lợi)
P=2033 | X=0342.360-0372.380 | Y=0313.500-0322.820 | 500KV
P=2033 | X=0252.340-0288.570 | Y=0317.380-0328.620 | ĐT 741)
P=2033 | X=0107.330-0244.710 | Y=0335.380-0346.620 | Đường tuyến số 4 (tổ 34, Thôn
P=2033 | X=0342.360-0399.800 | Y=0337.260-0346.580 | Giáp ranh xã
P=2033 | X=0252.340-0338.780 | Y=0341.140-0352.380 | Đường điện 500KV
P=2033 | X=0090.020-0106.660 | Y=0343.020-0352.340 | 112
P=2033 | X=0412.460-0437.510 | Y=0343.020-0352.340 | 1.700
P=2033 | X=0459.050-0484.100 | Y=0343.020-0352.340 | 1.200
P=2033 | X=0497.230-0522.280 | Y=0343.020-0352.340 | 1.000
P=2033 | X=0107.330-0156.290 | Y=0348.780-0358.100 | Thắng Lợi)
P=2033 | X=0342.360-0376.780 | Y=0348.780-0358.100 | Tân Lợi
P=2033 | X=0090.020-0188.070 | Y=0364.900-0376.140 | 113 Đường tuyến số 4
P=2033 | X=0252.340-0308.120 | Y=0364.900-0376.140 | Đoạn còn lại
P=2033 | X=0412.460-0437.510 | Y=0366.780-0376.100 | 1.300
P=2033 | X=0467.210-0483.850 | Y=0366.780-0376.100 | 890
P=2033 | X=0505.390-0522.030 | Y=0366.780-0376.100 | 770
P=2033 | X=0342.360-0398.230 | Y=0382.920-0394.160 | Hết thửa đất
P=2033 | X=0107.330-0224.080 | Y=0388.680-0399.920 | Đường tuyến số 5 (đường
P=2033 | X=0252.340-0335.290 | Y=0388.680-0399.920 | Thửa đất số 42, tờ
P=2033 | X=0090.020-0106.660 | Y=0396.080-0405.400 | 114
P=2033 | X=0342.360-0401.500 | Y=0396.080-0405.400 | số 31, tờ bản
P=2033 | X=0412.460-0437.510 | Y=0396.080-0405.400 | 1.700
P=2033 | X=0459.050-0484.100 | Y=0396.080-0405.400 | 1.200
P=2033 | X=0497.230-0522.280 | Y=0396.080-0405.400 | 1.000
P=2033 | X=0252.340-0315.560 | Y=0399.960-0411.200 | bản đồ số 174
P=2033 | X=0107.330-0133.970 | Y=0401.840-0411.160 | nhựa)
P=2033 | X=0342.360-0386.140 | Y=0405.720-0416.960 | đồ số 199
P=2033 | X=0107.330-0233.190 | Y=0423.720-0434.960 | Đường kết nối các khu công
P=2033 | X=0252.340-0399.800 | Y=0429.480-0440.720 | Giáp ranh phường Giáp ranh xã
P=2033 | X=0090.020-0251.470 | Y=0437.120-0446.440 | 115 nghiệp Phía Tây Nam thành phố
P=2033 | X=0412.460-0437.510 | Y=0437.120-0446.440 | 1.700
P=2033 | X=0459.050-0484.100 | Y=0437.120-0446.440 | 1.200
P=2033 | X=0497.230-0522.280 | Y=0437.120-0446.440 | 1.000
P=2033 | X=0252.340-0306.360 | Y=0441.000-0452.240 | Bình Phước
P=2033 | X=0342.360-0395.500 | Y=0441.000-0452.240 | Tân Tiến cũ
P=2033 | X=0107.330-0167.390 | Y=0446.760-0458.000 | Đồng Xoài cũ
P=2033 | X=0107.330-0233.190 | Y=0464.780-0476.020 | Đường kết nối các khu công
P=2033 | X=0252.340-0399.800 | Y=0472.420-0481.740 | Giáp ranh Tân Phú Giáp ranh xã
P=2033 | X=0090.020-0251.470 | Y=0478.180-0487.500 | 116 nghiệp Phía Tây Nam thành phố
P=2033 | X=0412.460-0437.510 | Y=0478.180-0487.500 | 1.300
P=2033 | X=0467.210-0483.850 | Y=0478.180-0487.500 | 890
P=2033 | X=0505.390-0522.030 | Y=0478.180-0487.500 | 770
P=2033 | X=0252.340-0262.980 | Y=0482.060-0493.300 | cũ
P=2033 | X=0342.360-0392.620 | Y=0482.060-0493.300 | Tân Lập cũ
P=2033 | X=0107.330-0167.400 | Y=0487.820-0499.060 | Đồng Xoài cũ
P=2033 | X=0107.330-0233.190 | Y=0505.820-0517.060 | Đường kết nối các khu công
P=2033 | X=0342.360-0398.230 | Y=0511.580-0522.820 | Hết thửa đất
P=2033 | X=0107.330-0329.930 | Y=0519.220-0528.540 | nghiệp Phía Tây Nam thành phố Giáp ranh xã Tân
P=2033 | X=0090.020-0106.660 | Y=0524.980-0534.300 | 117
P=2033 | X=0342.360-0437.510 | Y=0524.980-0534.300 | số 288, tờ bản 1.300
P=2033 | X=0467.210-0483.850 | Y=0524.980-0534.300 | 890
P=2033 | X=0505.390-0522.030 | Y=0524.980-0534.300 | 770
P=2033 | X=0107.330-0285.300 | Y=0528.860-0540.100 | Đồng Xoài cũ (kết cấu Đường Tiến cũ
P=2033 | X=0342.360-0386.140 | Y=0534.650-0545.890 | đồ số 147
P=2033 | X=0107.330-0169.240 | Y=0540.410-0551.650 | trải lớp đá mi)
P=2033 | X=0107.330-0233.190 | Y=0564.170-0575.410 | Đường kết nối các khu công
P=2033 | X=0342.360-0398.230 | Y=0569.930-0581.170 | Hết thửa đất
P=2033 | X=0107.330-0335.290 | Y=0575.690-0586.930 | nghiệp Phía Tây Nam thành phố Thửa đất số 76, tờ
P=2033 | X=0090.020-0106.660 | Y=0583.330-0592.650 | 118
P=2033 | X=0342.360-0399.100 | Y=0583.330-0592.650 | số 425 và số
P=2033 | X=0412.460-0437.510 | Y=0583.330-0592.650 | 1.300
P=2033 | X=0467.210-0483.850 | Y=0583.330-0592.650 | 890
P=2033 | X=0505.390-0522.030 | Y=0583.330-0592.650 | 770
P=2033 | X=0107.330-0315.560 | Y=0587.210-0598.450 | Đồng Xoài cũ (kết cấu Đường bản đồ số 163
P=2033 | X=0342.360-0401.990 | Y=0592.970-0604.210 | 46, tờ bản đồ
P=2033 | X=0107.330-0169.240 | Y=0598.490-0609.730 | trải lớp đá mi)
P=2033 | X=0342.360-0372.220 | Y=0606.130-0615.450 | số 163
P=2033 | X=0107.330-0233.190 | Y=0622.270-0633.510 | Đường kết nối các khu công
P=2033 | X=0342.360-0398.230 | Y=0628.030-0639.270 | Hết thửa đất
P=2033 | X=0107.330-0340.820 | Y=0633.790-0645.030 | nghiệp Phía Tây Nam thành phố Thửa đất số 184, tờ
P=2033 | X=0090.020-0106.660 | Y=0641.430-0650.750 | 119
P=2033 | X=0342.360-0437.510 | Y=0641.430-0650.750 | số 227, tờ bản 1.300
P=2033 | X=0467.210-0483.850 | Y=0641.430-0650.750 | 890
P=2033 | X=0505.390-0522.030 | Y=0641.430-0650.750 | 770
P=2033 | X=0107.330-0315.560 | Y=0645.310-0656.550 | Đồng Xoài cũ (kết cấu Đường bản đồ số 162
P=2033 | X=0342.360-0386.140 | Y=0651.070-0662.310 | đồ số 162
P=2033 | X=0107.330-0169.240 | Y=0656.830-0668.070 | trải lớp đá mi)
P=2033 | X=0107.330-0233.190 | Y=0674.830-0686.070 | Đường kết nối các khu công
P=2033 | X=0342.360-0398.230 | Y=0674.830-0686.070 | Hết thửa đất
P=2033 | X=0252.340-0340.820 | Y=0680.590-0691.830 | Thửa đất số 156, tờ
P=2033 | X=0090.020-0251.470 | Y=0688.230-0697.550 | 120 nghiệp Phía Tây Nam thành phố
P=2033 | X=0342.360-0437.510 | Y=0688.230-0697.550 | số 147, tờ bản 1.300
P=2033 | X=0467.210-0483.850 | Y=0688.230-0697.550 | 890
P=2033 | X=0505.390-0522.030 | Y=0688.230-0697.550 | 770
P=2033 | X=0252.340-0315.560 | Y=0692.110-0703.350 | bản đồ số 175
P=2033 | X=0107.330-0240.420 | Y=0697.870-0709.110 | Đồng Xoài cũ (kết cấu Đường
P=2033 | X=0342.360-0386.140 | Y=0697.870-0709.110 | đồ số 175
P=2034 | X=0107.330-0169.240 | Y=0072.740-0083.980 | trải lớp đá mi)
P=2034 | X=0107.330-0233.190 | Y=0090.740-0101.980 | Đường kết nải các khu công
P=2034 | X=0342.360-0398.230 | Y=0096.500-0107.740 | Hết thửa đất
P=2034 | X=0107.330-0335.290 | Y=0102.260-0113.500 | nghiệp Phía Tây Nam thành phố Thửa đất số 73, tờ
P=2034 | X=0090.020-0106.660 | Y=0109.900-0119.220 | 121
P=2034 | X=0342.360-0437.510 | Y=0109.900-0119.220 | số 256, tờ bản 1.300
P=2034 | X=0467.210-0483.850 | Y=0109.900-0119.220 | 890
P=2034 | X=0505.390-0522.030 | Y=0109.900-0119.220 | 770
P=2034 | X=0107.330-0315.560 | Y=0113.780-0125.020 | Đồng Xoài cũ (kết cấu Đường bản đồ số 176
P=2034 | X=0342.360-0386.140 | Y=0119.570-0130.810 | đồ số 205
P=2034 | X=0107.330-0169.240 | Y=0125.330-0136.570 | trải lớp đá mi)
P=2034 | X=0342.360-0385.900 | Y=0145.210-0154.530 | Tiếp Giáp
P=2034 | X=0342.360-0394.780 | Y=0154.850-0166.090 | Đường Phú
P=2034 | X=0252.340-0338.130 | Y=0160.610-0171.850 | Đường Cách Mạng
P=2034 | X=0107.330-0243.510 | Y=0166.370-0177.610 | Đường tổ 43 (tiếp giáp với khu
P=2034 | X=0342.360-0403.190 | Y=0166.370-0177.610 | Riềng Đỏ kéo
P=2034 | X=0252.340-0341.490 | Y=0172.130-0183.370 | Tháng Tám (Đường
P=2034 | X=0090.020-0106.660 | Y=0174.010-0183.330 | 122
P=2034 | X=0412.460-0437.510 | Y=0174.010-0183.330 | 2.000
P=2034 | X=0459.050-0484.100 | Y=0174.010-0183.330 | 1.400
P=2034 | X=0497.230-0522.280 | Y=0174.010-0183.330 | 1.200
P=2034 | X=0107.330-0204.290 | Y=0177.650-0188.890 | dân cư Mỹ Khánh Vy)
P=2034 | X=0342.360-0389.250 | Y=0179.530-0188.850 | dài tới khu
P=2034 | X=0252.340-0288.570 | Y=0183.410-0194.650 | ĐT 741)
P=2034 | X=0342.360-0396.940 | Y=0191.050-0200.370 | công nghiệp
P=2034 | X=0342.360-0407.020 | Y=0200.710-0211.950 | Bắc Đồng Phú
P=2034 | X=0342.360-0396.460 | Y=0218.710-0229.950 | Thửa đất số
P=2034 | X=0107.330-0232.870 | Y=0224.470-0235.710 | Đường Tổ 21 (đường nhựa)
P=2034 | X=0252.340-0335.290 | Y=0224.470-0235.710 | Thửa đất số 46, tờ
P=2034 | X=0342.360-0401.990 | Y=0230.230-0241.470 | 69, tờ bản đồ
P=2034 | X=0090.020-0106.660 | Y=0232.110-0241.430 | 123
P=2034 | X=0412.460-0437.510 | Y=0232.110-0241.430 | 1.300
P=2034 | X=0467.210-0483.850 | Y=0232.110-0241.430 | 890
P=2034 | X=0505.390-0522.030 | Y=0232.110-0241.430 | 770
P=2034 | X=0107.330-0164.210 | Y=0235.990-0247.230 | (Tân Lập cũ)
P=2034 | X=0252.340-0315.560 | Y=0235.990-0247.230 | bản đồ số 237
P=2034 | X=0342.360-0372.220 | Y=0243.630-0252.950 | số 237
P=2034 | X=0107.330-0244.270 | Y=0259.750-0270.990 | Đường tổ 20, 26 và 36 (đường
P=2034 | X=0090.020-0106.660 | Y=0267.390-0276.710 | 124
P=2034 | X=0252.340-0302.600 | Y=0267.390-0276.710 | Toàn tuyến
P=2034 | X=0412.460-0437.510 | Y=0267.390-0276.710 | 1.000
P=2034 | X=0467.210-0483.850 | Y=0267.390-0276.710 | 710
P=2034 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 610
P=2034 | X=0107.330-0193.750 | Y=0271.270-0282.510 | nhựa) (Tân Lập cũ)
P=2034 | X=0252.340-0407.750 | Y=0289.300-0300.540 | Đầu ranh thửa đất Hết ranh Thửa
P=2034 | X=0107.330-0231.250 | Y=0295.060-0306.300 | Đường vào Trung tâm hành
P=2034 | X=0252.340-0392.910 | Y=0300.820-0312.060 | số 403, tờ bản đồ đất số 8, tờ
P=2034 | X=0090.020-0106.660 | Y=0302.700-0312.020 | 125
P=2034 | X=0412.460-0437.510 | Y=0302.700-0312.020 | 1.700
P=2034 | X=0459.050-0484.100 | Y=0302.700-0312.020 | 1.200
P=2034 | X=0497.230-0522.280 | Y=0302.700-0312.020 | 1.000
P=2034 | X=0107.330-0220.950 | Y=0306.580-0317.820 | chính mới xã Tân Tiến cũ
P=2034 | X=0342.360-0408.860 | Y=0312.340-0323.580 | bản đồ số 135)
P=2034 | X=0252.340-0285.460 | Y=0314.220-0323.540 | số 219)
P=2034 | X=0107.330-0235.820 | Y=0330.340-0341.580 | Đường giao thông nông thôn
P=2034 | X=0107.330-0229.820 | Y=0341.860-0353.100 | đấu nối trục Đường ĐT 741
P=2034 | X=0107.330-0244.830 | Y=0353.380-0364.620 | đoạn từ Đường tổ 33 (thửa đất
P=2034 | X=0107.330-0224.640 | Y=0364.900-0376.140 | số 206, tờ bản đồ số 221);
P=2034 | X=0107.330-0246.270 | Y=0376.200-0387.440 | Đường Tổ 28 (thửa đất số 211,
P=2034 | X=0090.020-0106.660 | Y=0383.840-0393.160 | 126
P=2034 | X=0252.340-0302.600 | Y=0383.840-0393.160 | Toàn tuyến
P=2034 | X=0412.460-0437.510 | Y=0383.840-0393.160 | 1.000
P=2034 | X=0467.210-0483.850 | Y=0383.840-0393.160 | 710
P=2034 | X=0505.390-0522.030 | Y=0383.840-0393.160 | 610
P=2034 | X=0107.330-0240.190 | Y=0387.720-0398.960 | tờ bản đồ số 221) đến Đường
P=2034 | X=0107.330-0243.780 | Y=0399.240-0410.480 | Tổ 27 (thửa đất số 143, tờ bản
P=2034 | X=0107.330-0247.140 | Y=0410.760-0422.000 | đồ số 224); Đường Tổ 22 (thửa
P=2034 | X=0107.330-0238.400 | Y=0422.280-0433.520 | đất số 147, tờ bản đồ số 224)
P=2034 | X=0107.330-0195.640 | Y=0435.680-0445.000 | trong phạm vi 200m
P=2034 | X=0107.330-0235.830 | Y=0451.820-0463.060 | Đường giao thông nông thôn
P=2034 | X=0107.330-0229.820 | Y=0463.340-0474.580 | đấu nối trục Đường ĐT 741
P=2034 | X=0107.330-0239.700 | Y=0474.860-0486.100 | đoạn từ giáp ranh thửa đất số
P=2034 | X=0107.330-0246.880 | Y=0486.380-0497.620 | 74, tờ bản đồ số 222; giáp ranh
P=2034 | X=0107.330-0233.460 | Y=0497.900-0509.140 | thửa đất số 87, tờ bản đồ số
P=2034 | X=0107.330-0248.190 | Y=0509.420-0520.660 | 222 đến đường Tổ 33 (thửa đất
P=2034 | X=0107.330-0224.640 | Y=0520.940-0532.180 | số 192, tờ bản đồ số 221);
P=2034 | X=0107.330-0249.150 | Y=0532.220-0543.460 | Đường Tổ 28 (thửa đất số 31 8,
P=2034 | X=0090.020-0237.000 | Y=0543.770-0555.010 | 127 tờ bản đồ số 221) và đoạn từ
P=2034 | X=0252.340-0302.600 | Y=0545.650-0554.970 | Toàn tuyến
P=2034 | X=0420.650-0437.290 | Y=0545.650-0554.970 | 850
P=2034 | X=0467.210-0483.850 | Y=0545.650-0554.970 | 600
P=2034 | X=0505.390-0522.030 | Y=0545.650-0554.970 | 510
P=2034 | X=0107.330-0246.270 | Y=0555.290-0566.530 | Đường Tổ 27 (thửa đất số 142,
P=2034 | X=0107.330-0251.940 | Y=0566.810-0578.050 | tờ bản đồ số 224); Đường Tổ 22
P=2034 | X=0107.330-0242.340 | Y=0578.330-0589.570 | (thửa đất số 395, tờ bản đồ số
P=2034 | X=0107.330-0239.700 | Y=0589.850-0601.090 | 224) đến hết ranh thửa đất số
P=2034 | X=0107.330-0245.940 | Y=0601.370-0612.610 | 256, tờ bản đồ số 224); Đường
P=2034 | X=0107.330-0247.950 | Y=0612.890-0624.130 | tổ 18 (hết ranh thửa đất số 268,
P=2034 | X=0107.330-0249.770 | Y=0624.430-0635.670 | tờ bản đồ số 224) trong phạm vi
P=2034 | X=0107.330-0132.290 | Y=0637.830-0647.150 | 200m
P=2034 | X=0107.330-0235.830 | Y=0653.950-0665.190 | Đường giao thông nông thôn
P=2034 | X=0107.330-0229.820 | Y=0665.470-0676.710 | đấu nối trục Đường ĐT 741
P=2034 | X=0090.020-0302.600 | Y=0676.750-0687.990 | 128 (đoạn từ Đường Tổ 23B (thửa Toàn tuyến
P=2034 | X=0420.650-0437.290 | Y=0678.630-0687.950 | 800
P=2034 | X=0467.210-0483.850 | Y=0678.630-0687.950 | 560
P=2034 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 480
P=2034 | X=0107.330-0238.400 | Y=0688.270-0699.510 | đất số 181, tờ bản đồ số 234)
P=2034 | X=0107.330-0251.310 | Y=0699.810-0711.050 | đến Đường tổ 9 (thửa đất số 17,
P=2035 | X=0107.330-0237.000 | Y=0072.740-0083.980 | tờ bản đồ số 242) và đoạn từ
P=2035 | X=0107.330-0236.820 | Y=0084.260-0095.500 | Thửa đất số 98, tờ bản đồ số
P=2035 | X=0107.330-0238.740 | Y=0095.780-0107.020 | 188) đến giáp ranh thành phố
P=2035 | X=0107.330-0229.820 | Y=0109.180-0118.500 | Hồ Chí Minh) trong phạm vi
P=2035 | X=0107.330-0132.290 | Y=0120.730-0130.050 | 200m
P=2035 | X=0107.330-0235.820 | Y=0136.850-0148.090 | Đường giao thông nông thôn
P=2035 | X=0107.330-0229.820 | Y=0148.370-0159.610 | đấu nối trục Đường ĐT 741
P=2035 | X=0090.020-0106.660 | Y=0156.010-0165.330 | 129
P=2035 | X=0252.340-0302.600 | Y=0156.010-0165.330 | Toàn tuyến
P=2035 | X=0420.650-0437.290 | Y=0156.010-0165.330 | 600
P=2035 | X=0467.210-0483.850 | Y=0156.010-0165.330 | 420
P=2035 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 360
P=2035 | X=0107.330-0224.770 | Y=0159.650-0170.890 | đoạn còn lại trong phạm vi
P=2035 | X=0107.330-0132.290 | Y=0173.050-0182.370 | 200m
P=2035 | X=0252.340-0325.880 | Y=0189.170-0200.410 | Thửa đất số 110
P=2035 | X=0252.340-0322.520 | Y=0200.710-0211.950 | đến thửa đất số
P=2035 | X=0252.340-0341.480 | Y=0212.230-0223.470 | 124 (trừ thửa đất số
P=2035 | X=0107.330-0250.980 | Y=0217.990-0229.230 | Đất đấu giá 23 lô tại khu Chợ xã
P=2035 | X=0252.340-0339.080 | Y=0223.750-0234.990 | 113) và thửa đất số
P=2035 | X=0090.020-0106.660 | Y=0225.630-0234.950 | 130
P=2035 | X=0412.460-0437.510 | Y=0225.630-0234.950 | 6.000
P=2035 | X=0459.050-0484.100 | Y=0225.630-0234.950 | 4.200
P=2035 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 3.600
P=2035 | X=0107.330-0209.830 | Y=0229.510-0240.750 | Tân Lập (đường nhựa)
P=2035 | X=0252.340-0333.130 | Y=0237.150-0246.470 | 75, 76, 77, 80, 81,
P=2035 | X=0252.340-0328.570 | Y=0248.670-0257.990 | 82, 85, 86, 89, tờ
P=2035 | X=0252.340-0310.040 | Y=0258.310-0269.550 | bản đồ số 76
P=2035 | X=0252.340-0339.330 | Y=0276.310-0287.550 | Thửa đất số 113 và
P=2035 | X=0107.330-0245.460 | Y=0282.100-0293.340 | Đất đấu giá 2 lô tại khu Chợ xã
P=2035 | X=0252.340-0337.460 | Y=0287.860-0299.100 | thửa đất số 125, tờ
P=2035 | X=0090.020-0106.660 | Y=0289.740-0299.060 | 131
P=2035 | X=0412.460-0437.510 | Y=0289.740-0299.060 | 6.800
P=2035 | X=0459.050-0484.100 | Y=0289.740-0299.060 | 4.800
P=2035 | X=0497.230-0522.280 | Y=0289.740-0299.060 | 4.100
P=2035 | X=0107.330-0209.830 | Y=0293.620-0304.860 | Tân Lập (đường nhựa)
P=2035 | X=0252.340-0310.040 | Y=0299.380-0310.620 | bản đồ số 76
P=2035 | X=0252.340-0330.450 | Y=0317.380-0328.620 | Các tuyến đường
P=2035 | X=0090.020-0238.100 | Y=0328.900-0340.140 | 132 Khu dân cư thôn 9 - Tân Lập.
P=2035 | X=0252.340-0325.870 | Y=0330.780-0340.100 | Nội bộ trong khu
P=2035 | X=0412.460-0437.510 | Y=0330.780-0340.100 | 4.300
P=2035 | X=0459.050-0484.100 | Y=0330.780-0340.100 | 3.000
P=2035 | X=0497.230-0522.280 | Y=0330.780-0340.100 | 2.600
P=2035 | X=0252.340-0283.560 | Y=0340.180-0351.420 | dân cư
P=2035 | X=0342.360-0405.190 | Y=0358.180-0369.420 | Đường Tổ 47,
