TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=134 | GROUPS=134 | REVIEW=134
ID=NQ28-085-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=1300,1200 | ROAD=Đường D4 Toàn | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=1300,1200 | ROAD=Đường Tôn Thất Toàn Tùng | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=1300,1200 | ROAD=Đường Suối Đá ấp Đường Thanh Trung Huệ | START=Nguyễn Hết ranh Thị Thùy | END=đất bà Bùi 1.900 Dung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=950,820 | ROAD=Hết Bùi Đường Suối Đá ấp Dung Thanh Trung số 212 đất | START=(thửa đất thửa đất bản đồ ranh đất bà Thị Thùy (thửa đất Suối Đá và thửa số 24, tờ | END=số 212 và số 24, tờ số 02) 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=1300,1200 | ROAD=bản Đường Suối Đá ấp Suối Thanh Trung | START=đồ số 02) Đá Đường | END=Lê Duẩn 1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=2200,1900 | ROAD=Giáp Đường Nguyễn Văn Hoàng Trỗi (nối dài) (D1) | START=đường Ngã ba Văn Thụ Thanh Bắc) | END=đi ấp 3 Hòa (phía 3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=1100,960 | ROAD=Ngã Đường Nguyễn Văn Thanh Trỗi (nổi dài) Bắc) | START=ba đi ấp 3 Ranh xã Hòa (phía (cũ) | END=Thanh Hòa 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=950,820 | ROAD=Đường ấp Thanh Đường Trung | START=Giáp ranh Hưng cũ Lê Duẩn số 01, 04) | END=xã Thiện (thửa đất 1.400 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=1000,860 | ROAD=Đường ranh ấp Đường Thanh Tâm - Thanh Sơn | START=Lê Duẩn Ngã ba | END=Kiết Lành 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=1000,860 | ROAD=Đường cặp hàng rào Đường Văn Công an huyện Đường giao thông | START=Hoàng Đến ranh Thụ lý thị trường | END=đội Quản 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
