TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
P=1811 | X=0119.090-0342.260 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1811 | X=0119.090-0405.830 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1811 | X=0119.090-0399.110 | Y=0165.650-0176.890 | đoạn từ Đường vào bến đò Đại An đến Cầu Chùm Bao có hiện
P=1811 | X=0119.090-0290.870 | Y=0177.170-0188.410 | trạng là đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0110.050 | Y=0185.050-0194.370 | 18
P=1811 | X=0455.690-0472.330 | Y=0185.050-0194.370 | 290
P=1811 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 180
P=1811 | X=0119.090-0404.900 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1811 | X=0119.090-0342.730 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1811 | X=0119.090-0404.350 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1811 | X=0119.090-0415.820 | Y=0241.510-0252.750 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An đến Cầu Chùm
P=1811 | X=0119.090-0346.570 | Y=0253.030-0264.270 | Bao có hiện trạng là đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0110.050 | Y=0260.910-0270.230 | 19
P=1811 | X=0455.690-0472.330 | Y=0260.910-0270.230 | 500
P=1811 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 330
P=1811 | X=0119.090-0350.170 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1811 | X=0119.090-0396.280 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1811 | X=0119.090-0404.350 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1811 | X=0119.090-0415.820 | Y=0317.380-0328.620 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An đến Cầu Chùm
